Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
ADMINISTRATOR BAZ DANYCH,Admin,office,mid,PKO Bank Polski,Pruszków,None-None,,"""PostgreSQL"" ""MySQL"" ""Oracle"" ""SQL"" ""Linux"" ""OLVM""","""Linux / Unix""",/offers/pko-bank-polski-administrator-baz-danych-pruszkow-307685
Front-end Developer (JS + VUE),JS,remote,mid,Accesto,Wrocław,,16000-20000,"""JavaScript"" ""HTML"" ""Vue.js"" ""SASS (BEM)"" ""Webpack"" ""Docker"" ""Git"" ""English""","""Angular 14+"" ""PHP + MySQL""",/offers/accesto-front-end-developer-js-vue-wroclaw
.NET Developer (In Poland),Net,remote,senior,NeoGames,Kraków,,15757-19697,"""ASP.NET"" ""ASP.NET MVC"" ""VB.Net"" ""C#""","""MsSQL""",/offers/neogames-net-developer-in-poland
Administrator IT ds. systemów i aplikacji,Admin,hybrid,mid,PKO Bank Polski,Pruszków,None-None,,"""Linux"" ""PostreSQL"" ""MS SQL Server""","""Docker"" ""Kubernetes""",/offers/pko-bank-polski-administrator-it-ds-systemow-i-aplikacji-pruszkow
License Manager / Software License Management Specialist,Admin,hybrid,mid,Centralny Ośrodek Informatyki,Warszawa,9000-12000,,"""zarządzanie licencjami"" ""ISO/IEC"" ""Software Asset Management"" ""Oracle"" ""VMware""","""Microsoft""",/offers/centralny-osrodekinformatyki-specjalista-specjalistka-ds-zarzadzania-licencjami
Strong Middle Full-Stack Developer (C#/JS),Net,hybrid,mid,Brocoders,Warsaw,,13788-17727,"""React"" ""MySQL"" ""ASP.NET"" "".NET Core"" ""Azure"" ""DevOps""",,/offers/brocoders-strong-middle-full-stack-developer-c-js
Starszy Specjalista IT,ERP,office,senior,Voss Fluid / VOSS Automotive,Strefa,None-None,,"""LAN"" ""WAN"" ""English"" ""MS Windows Server"" ""Windows Active Directory"" ""monitoring infrastruktury"" ""IT Security""",,/offers/voss-fluid-voss-automotive-starszy-specjalista-it-strefa
Ekspert Rozwiązań WMS,ERP,hybrid,c_level,ROHLIG SUUS LOGISTICS S.A.,Łódź,None-None,,"""Logistyka Kontraktowa"" ""SQL/PLSQL"" ""Angielski B2""",,/offers/rohlig-suus-logistics-s-a-ekspert-rozwiazan-wms-lodz
Lead Engineer in IT Security,Security,hybrid,senior,eService Sp. z o.o.,Warszawa,None-None,,"""IT Security""",,/offers/eservice-sp-z-o-o-lead-engineer-in-it-security-warszawa
Fullstack .Net Developer,Net,remote,mid,Axabee,Opole,,None-None,""".Net"" ""ReactJS"" ""JavaScript"" ""C#"" "".NET Core"" ""ASP.NET"" ""MySQL""",,/offers/axabee-fullstack-net-developer
Senior Golang Developer,Go,remote,senior,Hobly,Warszawa,,20000-24000,"""Golang"" ""Kubernetes"" ""DDD"" ""Microservice Architecture"" ""CQRS"" ""PostgreSQL"" ""CI/CD"" ""Docker"" ""RabbitMQ""","""Python""",/offers/hobly-senior-golang-developer-krakow
Team Leader (Python),Python,hybrid,senior,Connectis,Warszawa,,27000-33000,"""Python""",,/offers/connectis-team-leader-python
PHP Developer,PHP,remote,senior,Primotly,Warszawa,,16000-22000,"""PHP""",,/offers/primotly-php-developer-warszawa
Software Development Manager - Java,Java,hybrid,senior,Tesco Technology,Kraków,26000-36000,31000-43000,"""Databases"" ""Team Management"" ""SDLC"" ""Kubernetes"" ""Java 17"" ""Spring Boot""","""Cloud""",/offers/tesco-technology-software-development-manager-java
Junior Software Tester,Testing,remote,junior,CrowdWorx,Warszawa,6000-8000,6000-9000,"""English""","""Azure DevOps"" ""Confluence"" ""Git"" ""C#"" ""Microsoft SQL"" ""Powershell"" ""IIS"" ""SQL Server"" ""MailHog""",/offers/crowdworx-junior-software-tester-warszawa
Senior ML-MLOps Engineer,DevOps,remote,senior,Altimetrik Poland,Warszawa,,22000-32000,"""ML/AI model development"" ""Kubernetes"" ""Docker"" ""kubeflow"" ""AWS"" ""English"" ""Python"" ""Bash"" ""CI/CD""",,/offers/altimetrik-poland-senior-ml-mlops-engineer-warszawa
Senior PL/SQL Software Engineer,ERP,remote,senior,N-iX,Kraków,,19697-23636,"""Oracle"" ""PL/SQL""",,/offers/n-ix-senior-pl-sql-software-engineer-krakow
Product Owner,PM,hybrid,mid,inFakt,Kraków,11000-15000,13000-18000,"""Tableau"" ""JIRA"" ""Confluence"" ""MySQL"" ""GitHub""","""HTML5 / CSS3""",/offers/infakt-product-owner
Network Engineer,Security,remote,mid,Haddad Brands,Łódź,,15000-20000,"""English"" ""LAN"" ""WAN"" ""Wi-Fi"" ""Aruba"" ""Cisco"" ""FTD"" ""ISE"" ""Security""","""Kemp""",/offers/haddad-brands-security-engineer
Embedded Developer,C,office,mid,Omtech Sp. z o.o.,Warszawa,None-None,None-None,"""C"" ""STM32""","""Git"" ""C++"" ""GitHub"" ""JIRA""",/offers/omtech-sp-z-o-o-embedded-developer-warszawa-312945
(Senior) Analyst,Analytics,hybrid,mid,eService Sp. z o.o.,Warszawa,None-None,,"""UML"" ""BPMN"" ""PL/SQL"" ""Oracle""",,/offers/eservice-sp-z-o-o-senior-analyst
BigData Developer (PySpark),Data,remote,mid,emagine Polska,Warszawa,,None-None,"""Python"" ""Apache Spark"" ""Big Data"" ""SQL""",,/offers/emagine-polska-bigdata-developer-pyspark
Project Manager,PM,remote,mid,Miquido,Warszawa,9100-12700,10900-15100,"""English"" ""Agile"" ""Waterfall""","""JIRA"" ""Confluence""",/offers/miquido-project-manager-warszawa-306564
TechOps Engineer,DevOps,office,mid,Keepit,Kraków,12000-16000,,"""Ubuntu"" ""Linux"" ""Networking"" ""grep"" ""Shell"" ""PostgreSQL"" ""Pacemaker"" ""Corosync"" ""ITIL""",,/offers/keepit-techops
Inżynier(-ka) DevOps,DevOps,hybrid,mid,mBank,Warszawa,None-None,,""".Net"" ""MsSQL"" ""Powershell"" ""Azure DevOps"" ""CI/CD"" ""Docker"" ""Kubernetes""","""SSL"" ""Terraform"" ""Azure""",/offers/mbank-inzynier-ka-devops-warszawa-322315
Mid/Senior Data Engineer,Data,remote,senior,INSIGHT,Warszawa,16000-25000,19500-30000,"""ETL process"" ""DATA MODELLING"" ""Power BI"" ""Data Bricks"" ""SQL"" ""Azure Data Factory"" ""Data Warehouse""",,/offers/insight-mid-senior-data-engineer-9fbb0bd9-3fdb-40b0-bb11-e82ca0af2946
Inżynier Danych (SQL),Data,remote,mid,ProService Finteco Sp. z o.o,Warszawa,None-None,None-None,"""SQL"" ""Git""","""C#""",/offers/proservice-finteco-sp-z-o-o-programista-ms-sql-warszawa-328605
Java Developer/Projektant,Java,hybrid,mid,PKO Bank Polski,Pruszków,None-None,,"""Java"" ""Spring Boot"" ""Git"" ""REST"" ""SOAP"" ""XML"" ""GCP"" ""Kubernetes"" ""Docker"" ""Jenkins""",,/offers/pko-bank-polski-java-developer-projektant-pruszkow-332771
Senior / Lead Full Stack Java Developer,Java,hybrid,senior,EPAM Systems,Kraków,14000-24000,,"""Java"" ""Clean Code"" ""Data Structures"" ""Algorithms"" ""OOP"" ""Design Patterns"" ""Unit Testing""",,/offers/epam-systems-senior-lead-full-stack-java-developer-krakow-328272
AIX Administrator,Admin,remote,mid,WIPRO,Warszawa,None-None,None-None,"""AIX"" ""Patch management"" ""NIM"" ""HACMP"" ""Shell"" ""German""",,/offers/wipro-huawei-storage-admin
Senior React Developer,JS,remote,senior,VM.PL,Wrocław,15500-20000,21800-28600,"""React"" ""English"" ""TypeScript"" ""JavaScript"" ""JSON"" ""REST API"" ""Web components"" ""Git"" ""CSS""","""Omnichannel""",/offers/vm-pl-senior-react-developer
License Manager / Software License Management Specialist,Other,hybrid,mid,Centralny Ośrodek Informatyki,Warszawa,9000-12000,,"""zarządzanie licencjami"" ""ISO/IEC"" ""Software Asset Management"" ""Oracle"" ""VMware""","""Microsoft""",/offers/centralny-osrodekinformatyki-specjalista-specjalistka-ds-zarzadzania-licencjami-warszawa
Python Developer with German,Python,remote,mid,VM.PL,Wrocław,12000-19000,16800-26900,"""German"" ""Python"" ""Microservice Architecture"" ""TypeScript"" ""JavaScript"" ""Bitbucket"" ""Unit Testing"" ""PostgreSQL""","""React""",/offers/vm-pl-python-developer-with-german
WordPress Developer,HTML,remote,mid,DigitLabs Sp. z o.o.,Wrocław,,8000-12000,"""WordPress"" ""HTML"" ""WooCommerce"" ""PHP"" ""JavaScript"" ""CSS""","""UX""",/offers/digitlabs-sp-z-o-o-wordpress-developer-wroclaw
SailPoint Solution Architect,Architecture,remote,senior,HRO Digital,Kraków,,29000-35000,"""SailPoint"" ""Architecture"" ""Identity and Access"" ""PAM"" ""Cybersecurity""",,/offers/hro-digital-sailpoint-solution-architect
Senior Azure DevOps Engineer,DevOps,remote,senior,Accenture,Warszawa,None-None,,"""Azure"" ""CI/CD""","""Powershell"" ""Python"" ""Bash""",/offers/accenture-senior-azure-devops-engineer
Informatyk,Support,office,mid,GOLDBECK Elementy Polska,Łódź,None-None,,"""Microsoft Windows"" ""IT Support""",,/offers/goldbeck-elementy-polska-informatyk-lodz
Senior DevOps Engineer (GCP),DevOps,remote,senior,GetInData | Part of Xebia,Warszawa,,25200-31080,"""Google Cloud Platform"" ""Apache Kafka"" ""Prometheus"" ""CI/CD"" ""Deployment Manager"" ""Terraform"" ""Ansible""","""Airflow"" ""BigQuery"" ""Python""",/offers/getindata-part-of-xebia-senior-devops-engineer-gcp-warszawa-311185
Junior Tester,Testing,hybrid,mid,Alter Solutions Polska,Warszawa,,8400-15288,,"""Testing"" ""JIRA"" ""Confluence""",/offers/alter-solutions-polska-junior-tester
Młodszy/a Specjalista/ka ds. Helpdesku,Support,office,junior,MCBS SP. Z O. O.,Warszawa,None-None,,"""Windows Server"" ""Active Directory"" ""IT Support"" ""Angielski"" ""Windows 10-11""",,/offers/mcbs-sp-z-o-o-mlodszy-a-specjalista-ka-ds-helpdesku
Team Leader Angular/Java,Java,office,mid,KALASOFT,Luboń,,None-None,"""Angular"" ""Java""",,/offers/kalasoft-team-leader-angular-java-lubon
IT Administrator,Admin,hybrid,senior,Equiem,Warsaw,,None-None,"""Cybersecurity"" ""Mac OS"" ""JIRA"" ""Google Workspace"" ""Windows Administration""",,/offers/equiem-it-administrator
Mobile Lead,Mobile,remote,senior,ICEO - Venture Builder,Kraków,,25000-35000,"""Mobile Apps"" ""Android"" ""Flutter"" ""React Native"" ""iOS""",,/offers/iceo-venture-builder-mobile-lead
React Developer,JS,remote,mid,MindPal,Gliwice,,None-None,"""JavaScript"" ""React"" ""TypeScript""",,/offers/mindpal-react-developer
Principal Engineer,Architecture,remote,c_level,DAC.digital,Gdańsk,,35000-45000,"""Architecture"" ""Maths"" ""Software Development"" ""Software Architecture"" ""English""",,/offers/dac-digital-principal-engineer
Regular IT System Analyst,Analytics,hybrid,mid,Primaris,Warszawa,,18480-20160,"""UML"" ""BPMN"" ""Confluence"" ""JIRA""","""Enterprise Architect""",/offers/primaris-regular-it-system-analyst
