Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Product Support Representative Senior,Support,hybrid,senior,FIS Technology Services,Wrocław,None-None,,"""MS Office""",,/offers/fis-technology-services-product-support-representative-senior-wroclaw
DevOps Engineer,DevOps,remote,senior,L2BEAT,Kraków,,24169-36253,"""Ansible"" ""Terraform"" ""Docker"" ""Git"" ""Grafana"" ""Prometheus"" ""AWS""",,/offers/l2beat-devops-engineer-krakow1
Team Lead SAP ABAP Developer,ERP,remote,senior,EPAM Systems,Katowice,None-None,,"""ABAP"" ""ABAP RAP"" ""SAP ABAP"" ""Core Data Services"" ""AMDP"" ""Software Development""","""SAP S/4HANA"" ""SAP Fiori""",/offers/epam-systems-team-lead-sap-abap-developer-katowice
Senior Fullstack Engineer (.Net+React),JS,hybrid,senior,SoftServe,Wrocław,,19000-25000,""".Net"" ""GraphQL"" ""React""",,/offers/softserve-senior-fullstack-engineer-net-react-wroclaw
Tester Oprogramowania,Testing,hybrid,mid,NASK S.A.,Warszawa,None-None,,"""JIRA"" ""Confluence"" ""Python"" ""REST API"" ""Selenium"" ""Postman"" ""SoapUI""",,/offers/nask-s-a-tester-oprogramowania
Java/Python Developer (working from the office),Java,hybrid,senior,Gibbs Hybrid Poland,Warszawa,,31710-37170,"""SDLC"" ""SQL"" ""RESTful""",,/offers/gibbs-hybrid-poland-java-python-developer-working-from-the-office-warszawa
Project Manager,PM,hybrid,mid,DPDgroup IT Solutions,Warszawa,10000-16000,12000-18000,"""English"" ""Project Management"" ""MS Office"" ""Agile"" ""JIRA""",,/offers/dpdgroup-it-solutions-project-manager-krakow
Senior React Native Developer,JS,remote,senior,Callstack,Poznań,,22000-33000,"""JavaScript"" ""ReactJS"" ""English"" ""React Native"" ""Android"" ""iOS"" ""Mobile""",,/offers/callstack-senior-react-native-developer-poznan
Senior PHP Developer with Symfony,PHP,remote,senior,Idego,Toruń,,24000-28000,"""PHP"" ""Symfony"" ""Cloud"" ""AWS"" ""Architecture""",,/offers/idego-senior-php-developer-with-symfony-torun
Inż. infrastruktury,Admin,hybrid,mid,AGORA S.A.,Warszawa,10000-14000,10000-14000,"""Linux"" ""Kubernetes"" ""Apache"" ""Varnish"" ""HAProxy"" ""Ansible"" ""Terraform"" ""Java""","""Grafana"" ""VMware""",/offers/agora-s-a-inz-infrastruktury
Senior Mobile QA Engineer,Mobile,hybrid,senior,CAE Flight Services Poland,Kraków,None-None,None-None,"""Java/Groovy"" ""Mobile Apps Testing"" ""CI/CD tools""","""AWS"" ""Oracle"" ""Git"" ""JIRA""",/offers/cae-flight-services-poland-senior-mobile-qa-engineer-krakow
Principal Technical Consultant,Support,remote,senior,Fujitsu,Łódź,None-None,,"""BigQuery"" ""BigLake"" ""Dockers"" ""Kubernetes""",,/offers/fujitsu-principal-technical-consultant
Senior/Lead Golang Developer,Go,remote,senior,Spyrosoft,Białystok,13550-21600,18480-29400,"""Golang"" ""Kubernetes"" ""Operator Framework"" ""Ingress Controller"" ""English""",,/offers/spyrosoft-senior-lead-golang-developer
Systems Engineer (Linux),Admin,hybrid,senior,XPERI Poland,Warszawa,None-None,None-None,"""Linux / Unix"" ""Hardware"" ""VMware"" ""Amazon AWS""",,/offers/xperi-poland-sr-engineer-information-systems
Entry ServiceNow Specialist,Admin,hybrid,junior,Arla,Gdańsk,None-None,,"""ServiceNow""","""JavaScript""",/offers/arla-entry-servicenow-specialist
Senior DevOps Engineer (GCP),DevOps,remote,senior,GetInData | Part of Xebia,Kraków,,25200-31080,"""Google Cloud Platform"" ""Apache Kafka"" ""Prometheus"" ""CI/CD"" ""Deployment Manager"" ""Terraform"" ""Ansible""","""Airflow"" ""BigQuery"" ""Python""",/offers/getindata-part-of-xebia-senior-devops-engineer-gcp-krakow-326007
