Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Devops Engineer,DevOps,remote,senior,dotLinkers,Kraków,22000-26000,22000-26000,"""AWS"" ""Docker"" ""CI/CD"" ""SQL"" ""Terraform""",,/offers/dotlinkers-devops-engineer-krakow-317587
IT Operations Resilience Analyst,Analytics,hybrid,senior,HSBC Service Delivery,Kraków,None-None,,"""IT Operations"" ""Problem Solving"" ""Frameworks"" ""management tools""","""ITIL""",/offers/hsbc-service-delivery-it-operations-resilience-analyst
DevOps Engineer,DevOps,remote,mid,Happy Team,Łódź,,25000-34000,"""Angielski"" ""ELK Stack"" ""Git"" ""Python"" ""Ansible""",,/offers/happy-team-remote-devops-engineer-1d6f00cf-6652-42c9-9638-5c8e00c0ce1b
Digital Services Developer,JS,hybrid,mid,Beesafe,Warszawa,,13000-20000,"""JavaScript"" ""TypeScript"" ""Node.js"" ""React"" ""Agile""",,/offers/beesafe-digital-services-developer
👉 Middle QA Automation Specialist (Python),Testing,remote,mid,Xebia sp. z o.o.,Wrocław,9500-16500,12500-21500,"""Python"" ""GitLab"" ""SDLC"" ""Selenium WebDriver"" ""Behave"" ""browserstack"" ""wiremock""",,/offers/xebia-sp-z-o-o-middle-qa-automation-specialist-python
Scrum Master,Support,remote,mid,MindPal,Gdańsk,,16000-25000,"""Scrum Master""","""C#"" "".Net"" ""Java"" ""Python""",/offers/mindpal-scrum-master-gdansk
Senior Fullstack PHP Developer,PHP,remote,senior,Leroy Merlin Polska,Warszawa,None-None,,"""PHP"" ""Symfony"" ""Open API"" ""JSON"" ""SOAP"" ""JavaScript"" ""jQuery"" ""MySQL"" ""Docker"" ""Kubernetes""",,/offers/leroy-merlin-polska-senior-fullstack-php-developer
Project Manager,PM,remote,mid,300DEVS Sp. z o.o.,Bydgoszcz,,10000-14000,"""Agile""",,/offers/300devs-sp-z-o-o-project-manager-bydgoszcz
JavaScript Frontend/Fullstack Developer,JS,hybrid,mid,Schibsted,Kraków,12000-17000,14000-20000,"""React"" ""HTML5 / CSS3""","""Node.js""",/offers/schibsted-javascript-frontend-fullstack-developer
Senior Google Cloud Architect,Architecture,remote,senior,NORDCLOUD,Berlin,36156-45558,,"""Cloud Computing"" ""Google Cloud"" ""Google Cloud Platform"" ""CI/CD""","""Bash"" ""Python"" ""Terraform""",/offers/nordcloud-senior-google-cloud-architect
Senior PWA Developer (React),JS,remote,senior,Altimetrik Poland,Katowice,,19000-26000,"""React"" ""HTML"" ""CSS"" ""TypeScript"" ""PWA"" ""TDD"" ""BDD"" ""JSON"" ""Redux"" ""SaaS""",,/offers/altimetrik-poland-senior-pwa-developer-react-katowice
Test Automation Engineer,Testing,hybrid,mid,Itera,Kraków,,16487-20826,"""Test Automation"" ""ISTQB Foundation""",,/offers/itera-test-automation-engineer
Azure AI/ML Consultant,Data,hybrid,mid,Onex Group,Warszawa,,None-None,"""Python"" ""Azure Machine learning"" ""Azure OpenAI"" ""Azure Cognitive Services"" ""AI"" "".Net"" ""SQL""",,/offers/onex-group-azure-ai-ml-consultant-warszawa-320434
Senior Data Engineer - DataOps,Data,remote,senior,Tidio,Warszawa,18000-25000,22000-30000,"""Python"" ""AWS"" ""Airflow"" ""Terraform"" ""Ansible"" ""Docker"" ""CI/CD""",,/offers/tidio-senior-data-engineer-dataops
