Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Machine Learning Engineer,Data,hybrid,mid,SmartWays Recruitment,Kraków,22000-28000,22000-28000,"""Python"" ""Machine Learning"" ""PySpark"" ""Hadoop"" ""Apache Hadoop"" ""SQL""",,/offers/smartways-recruitment-machine-learning-engineer
Senior Cloud Architect,Architecture,hybrid,senior,KMD Poland,Warszawa,,24192-35616,"""Kubernetes"" ""Elastic"" ""Azure""",,/offers/kmd-poland-senior-cloud-architect
IT Security Architect,Security,hybrid,mid,Warner Bros. Discovery,Warsaw,None-None,,"""Cybersecurity""",,/offers/warner-bros-discovery-it-security-architect-warsaw
Full Stack Engineer,Other,remote,mid,ITELENCE,Warszawa,,22000-31000,"""NodeJS"" ""React"" ""AWS""",,/offers/itelence-full-stack-engineer
MES Developer,Other,hybrid,mid,RITS Professional Services,Kraków,8000-16000,,"""Oracle"" ""PL/SQL"" ""XML"" ""TCP/IP"" ""WebService"" ""MS Office"" ""Windows""",,/offers/rits-professional-services-mes-developer
Analityk biznesowy,Data,remote,mid,SPIID,Rybnik,None-None,None-None,"""SQL"" ""UML"" ""Enterprise Architect"" ""JIRA"" ""SharePoint"" ""ETL""","""PostgreSQL""",/offers/spiid-analityk-biznesowy-rybnik
Software Architect (wage in € option),Java,remote,senior,Unikie,Szczecin,,20000-30000,"""Kafka"" ""C++"" ""Java"" ""Prometheus"" ""Elasticsearch""",,/offers/unikie-software-architect-wage-in-option-2bf3dd7e-115b-4b8f-b260-65257277474f
Azure Devops Engineer,DevOps,remote,mid,DAC.digital,Wrocław,,26000-29000,"""Microsoft Azure Cloud"" ""CI/CD"" ""Grafana"" ""Azure DevOps"" ""Prometheus""",,/offers/dac-digital-azure-devops-engineer-wroclaw-323355
Frontend Engineer,JS,remote,senior,Focal Systems,Łódź,,37000-55000,"""JavaScript"" ""CSS"" ""React"" ""TypeScript"" ""Redux"" ""Node.js""","""Docker""",/offers/focal-systems-frontend-engineer-lodz
Senior Java Backend Engineer,Java,remote,senior,Schenker Technology Center,Wrocław,20800-31200,20800-31200,"""Java"" ""Spring"" ""Hibernate"" ""Microservices"" ""PostgreSQL"" ""Docker"" ""AWS"" ""web security""",,/offers/schenker-technology-center-senior-java-backend-engineer-wroclaw
Java Regular,Java,remote,mid,Dietly.pl,Gdańsk,,14500-16500,"""Java"" ""Git"" ""Spring Data"" ""junit5"" ""SQL""","""NoSQL""",/offers/dietly-pl-java-regular-gdansk
Senior Java Developer,Java,remote,senior,Trimetis Services,Warszawa,,20000-25600,"""Java"" ""SOLID Principles"" ""SOA"" ""Microservices"" ""REST"" ""English""","""Databases""",/offers/trimetis-services-senior-java-developer-warszawa
Azure Architect,Architecture,remote,c_level,IN Team,Warszawa,,28560-35280,"""Azure"" ""API"" ""REST"" ""RPC"" ""English"" ""Powershell"" ""Linux Shell""",,/offers/in-team-azure-architect
Oracle/SQL Server LDBA,Data,remote,senior,Nortal,Poznań,,25000-33000,"""Oracle DB"" ""MS SQL"" ""Swing"" ""NoSQL"" ""PL/SQL"" ""Docker""",,/offers/nortal-oracle-sql-server-ldba-poznan
Specialist GRC,Admin,hybrid,mid,GSK,Poznań,None-None,,"""Testing"" ""Risk Management"" ""Internal Controls"" ""CISA"" ""Audit"" ""Archer"" ""ServiceNow"" ""ICA""",,/offers/gsk-specialist-grc
Software Engineer,Java,remote,mid,NaviParking,Warszawa,10000-17000,12000-20000,"""Java"" ""SQL"" ""Spring Boot"" ""Node"" ""Git""","""Kubernetes"" ""Docker"" ""Prometheus"" ""Grafana"" ""ELK Stack""",/offers/naviparking-software-engineer-warszawa
Android Developer,Mobile,remote,mid,Szkoła w Chmurze,Warszawa,,10000-20000,"""MVVM"" ""Kotlin"" ""Compose"" ""Code Review"" ""Kotlin Coroutines"" ""Dagger"" ""Hilt"" ""Shared Perferences"" ""Room""",,/offers/szkola-w-chmurze-android-developer-warszawa
Native iOS developer,Mobile,remote,mid,AutoDialog NV,Warszawa,,43437-86874,"""Swift"" ""Objective-C"" ""iOS SDK"" ""Mobile Development"" ""RESTful API"" ""GitHub""",,/offers/autodialog-nv-native-ios-developer-warszawa
Technical Support Analyst with SQL,Support,remote,mid,Zoovu,Wrocław,7000-9500,,"""HTML"" ""CSS"" ""JavaScript""","""SQL""",/offers/zoovu-technical-support-analyst-with-sql
Big Data Developer z j. niemieckim,Data,remote,senior,Crestt,Wrocław,,26880-33600,"""Scala"" ""SQL"" ""Apache Spark"" ""Spark Streaming"" ""Kafka"" ""hBase"" ""Hive"" ""Hadoop/Cloudera""",,/offers/crestt-big-data-developer-z-j-niemieckim-wroclaw
Java (Kotlin) Developer with German,Java,hybrid,mid,Reply Polska Sp. z o. o.,Katowice,,16000-28000,"""Java"" ""Kotlin"" ""German""",,/offers/reply-polska-sp-z-o-o-kotlin-developer-with-german
Senior Python Developer,Python,remote,senior,MindPal,Gliwice,,20000-23000,"""Django Rest Framework"" ""Django"" ""Docker"" ""Git"" ""GitFLow""","""Flask"" ""Kubernetes"" ""GraphQL""",/offers/mindpal-senior-python-developer
Azure Solutions Engineer,DevOps,remote,mid,C&F S.A.,Kraków,None-None,None-None,"""Azure"" ""Terraform"" ""Azure DevOps"" ""ARM"" ""GitHub""",,/offers/c-f-s-a-azure-solutions-engineer-krakow
C++ Developer,C,hybrid,mid,Onwelo Sp. z o.o.,Kraków,12000-17000,14700-22000,"""C++"" ""Qt"" ""Linux""",,/offers/onwelo-sp-z-o-o-c-developer-krakow
Senior Frontend Developer (Vue/React),JS,remote,senior,Ragnarson,Warszawa,,19000-26800,"""JavaScript"" ""JavaScript Framework"" ""English"" ""TypeScript""",,/offers/ragnarson-senior-frontend-developer-vue-react-warszawa-335872
Senior Fullstack Java Developer,Java,remote,senior,NATEK,Warszawa,18000-21000,22000-27000,"""Angular"" ""Spring"" ""Oracle"" ""JavaScript"" ""Kafka"" ""RabbitMQ"" ""MongoDB""",,/offers/natek-senior-fullstack-java-developer
Cloud Architect & Data Science Specialist,Data,remote,senior,Josera,Szczecin,None-None,,"""Cloud Experience"" ""Python"" ""SQL"" ""NoSQL"" ""Docker"" ""Kubernetes"" ""API"" ""JIRA"" ""Confluence""",,/offers/josera-cloud-architect-data-science-specialist-szczecin
.NET Developer,Net,remote,mid,Inhabit,Warszawa,14000-17000,16000-20000,"""C#"" "".Net"" ""ASP.NET"" ""ASP.NET MVC""","""JavaScript""",/offers/supercontrol-net-developer-warszawa-324951
Junior Java Developer,Java,office,junior,GreenMinds Sp. z o.o.,Lublin,8000-13000,8000-13000,,"""Java 8+"" ""SQL"" ""Spring Boot"" ""REST"" ""Hibernate"" ""ORM""",/offers/greenminds-sp-z-o-o-junior-java-develper
Document Template Developer,PM,hybrid,junior,Commerzbank,Łódź,None-None,,"""InDesign"" ""Confluence"" ""JIRA"" ""XML""","""German""",/offers/commerzbank-document-template-developer-lodz
Performance Test Architect,Architecture,hybrid,senior,PAYBACK,Warszawa,None-None,,"""Java EE"" ""Spring"" ""Spring Boot"" ""REST"" ""AWS"" ""Oracle"" ""PostgreSQL"" ""Maven"" ""Jenkins"" ""Git""",,/offers/payback-performance-test-architect-warszawa
Application Operation Engineer - Payment Transactions,Architecture,remote,mid,Commerzbank,Warszawa,None-None,,"""Tomcat 9.0.x"" ""Java OpenJDK"" ""Data Integration"" ""TeamCity"" ""Bitbucket"" ""SonarQube"" ""Elias"" ""DaSi"" ""Tivoli Workload Scheduler""","""Ticketing system""",/offers/commerzbank-application-operation-engineer-payment-transactions
DevOps Database Specialist,Data,hybrid,mid,ITDS,Warsaw,,17000-22000,"""Polish"" ""MS SQL"" ""SSRS"" ""SSIS""","""Ansible"" ""Grafana"" ""Azure""",/offers/itds-devops-database-specialist-warsaw-333962
Konsultant SAP PP,ERP,remote,senior,Accenture Sp. z o. o.,Warszawa,None-None,None-None,"""SAP PP""",,/offers/accenture-sp-z-o-o-konsultant-sap-pp
Learning Experienced Architect,Architecture,hybrid,senior,Capgemini Polska,Kraków,None-None,,"""LMS"" ""LXP"" ""Project Management""",,/offers/capgemini-polska-learning-experienced-architect
Senior Backend Engineer for IoT Solutions,Java,hybrid,senior,Samsung R&D Institute Poland,Warszawa,None-None,,"""Java"" ""JEE"" ""JavaScript"" ""Python"" ""UML"" ""NoSQL"" ""SQL"" ""Cloud Computing""","""Front-End"" ""DevOps""",/offers/samsung-r-d-institute-poland-senior-backend-engineer-for-iot-solutions
Embedded Developer,C,office,mid,Neptis S.A.,Poznań,,,"""STM32"" ""C"" ""Embedded"" ""Hardware""","""Git""",/offers/neptis-s-a-embedded-developer-poznan
Software Developer,Net,remote,mid,Occubee,Katowice,None-None,,""".Net"" ""Angular"" ""C#"" ""HTML"" ""CSS"" ""JavaScript"" ""TypeScript"" ""ORM"" ""SQL"" ""Git""",,/offers/occubee-software-developer
Java Developer,Java,hybrid,senior,ITLT,Warszawa,,22000-25800,"""Java"" ""English B2+"" ""Spring""","""Spring Cloud"" ""Cloud""",/offers/itlt-java-developer-warszawa-335144
QA Analyst,Testing,remote,mid,Sapiens Software Solutions,Katowice,None-None,,"""Microsoft SQL"" ""Manual Testing"" ""Functional Testing"" ""Testing Tools"" ""Web Application Testing"" ""Testing""","""JIRA"" ""Selenium"" ""ISTQB""",/offers/sapiens-software-solutions-qa-analyst
Inżynier IT ds. DevOps,DevOps,hybrid,mid,PKO Bank Polski,Warszawa,None-None,,"""Ansible"" ""Terraform"" ""Jenkins"" ""Kubernetes""",,/offers/pko-bank-polski-inzynier-it-ds-devops-warszawa-313349
DevSecOps,Security,office,mid,T-Mobile Polska S.A.,Warszawa,None-None,,"""DevOps"" ""Security"" ""AWS"" ""OpenStack"" ""GitLab"" ""Kubernetes""",,/offers/t-mobile-polska-s-a-devsecops
Front-End Developer (Next.js),JS,remote,mid,Amsterdam Standard,Kraków,,16000-22000,"""Azure"" ""SEO"" ""GraphSQL"" ""Next.js""","""Contentful"" ""Git"" ""GitHub""",/offers/amsterdam-standard-front-end-developer-next-js
Java Developer,Java,office,mid,Look4IT,Kraków,,12-16,"""Java"" ""SQL"" ""Hibernate"" ""Maven"" ""SOAP i REST""",,/offers/look4it-java-developer
Project Manager,PM,hybrid,mid,POLSKIE ePŁATNOŚCI S.A.,Rzeszów,9000-14000,9000-14000,"""Project Management"" ""Agile"" ""Scrum"" ""Kanban"" ""PRINCE2"" ""PMBOK"" ""JIRA""",,/offers/polskie-eplatnosci-s-a-project-manager
IT Business Analyst (engineering),Analytics,hybrid,mid,Primaris,Warszawa,,20160-24360,"""UML"" ""BPMN"" ""SDLC""",,/offers/primaris-it-business-analyst-engineering
Senior Data Quality Specialist,Data,hybrid,senior,Heineken,Kraków,None-None,,"""Data"" ""SAP"" ""Leading""",,/offers/heineken-senior-data-quality-specialist
Senior Full Stack Developer (.NET),Net,remote,senior,Primotly,Kraków,,18000-24000,""".Net"" ""ASP.NET Core"" ""MongoDB""",,/offers/primotly-senior-full-stack-developer-net-krakow-328855
Frontend Engineer I (React),JS,hybrid,junior,LegalZoom,Kraków,11000-16000,11000-16000,,"""React/Angular"" ""JavaScript"" ""HTML"" ""Cypress""",/offers/legalzoom-frontend-engineer-i-react
Fullstack Java Developer,Java,remote,mid,Q-PERIOR Polska,Kraków,None-None,None-None,"""Java (8/11/15)"" ""Azure/AWS"" ""Angular"" ""SQL"" ""Spring"" ""Git"" ""Jenkins"" ""Scrum""","""Docker"" ""Kubernetes""",/offers/q-perior-polska-fullstack-java-developer-krakow
IoT Fullstack Developer,Java,remote,mid,ARCHE CONSULTING,Katowice,,20000-29000,"""React"" ""Node"" ""TypeScript""","""Java"" ""Python"" ""AWS""",/offers/arche-consulting-iot-fullstack-developer-katowice
Appian Developer,Admin,remote,mid,Craon.pl,Warsaw,,None-None,"""Appian"" ""MsSQL"" ""JIRA"" ""Agile""",,/offers/craon-pl-appian-developer
AIX Administrator,Admin,remote,mid,WIPRO,Warszawa,None-None,None-None,"""AIX"" ""Patch management"" ""NIM"" ""HACMP"" ""Shell"" ""German""",,/offers/wipro-huawei-storage-admin
Azure Cloud Architect (Data),Architecture,remote,senior,Link Group,Kraków,,35280-40000,"""Azure"" ""ETL"" ""Architecture"" ""Big Data"" ""Data modeling"" ""Data Warehousing""",,/offers/link-group-azure-cloud-architect-data-krakow
iOS Developer,Mobile,hybrid,mid,ASTEK Polska,Warszawa,12500-16000,19000-23000,"""Swift"" ""SwiftUI"" ""Combine"" ""REST API"" ""Git"" ""GitFLow"" ""JIRA"" ""MVVM"" ""Bitbucket""","""Objective-C""",/offers/astek-polska-ios-developer-warszawa-330015
Head Of Next Generation Networks,Security,hybrid,c_level,dotCommunity,Kraków,None-None,,"""Network"" ""Agile"" ""Cybersecurity"" ""Risk Management""",,/offers/dotcommunity-head-of-next-generation-networks
UI/Webflow Designer (6hrs/day),UX/UI,remote,mid,Adchitects,Warszawa,,7000-10000,"""English"" ""User Interface Design"" ""Team Player"" ""Figma"" ""Webflow""","""UX principles"" ""Prototyping""",/offers/adchitects-ui-webflow-designer-6hrs-day-warszawa
SASE Engineer,Security,remote,mid,Codilime,Poznań,,8000-15000,"""Network"" ""Network Security"" ""network platforms"" ""WAN technologies"" ""routing protocols"" ""tunneling protocols"" ""SASE"" ""Python"" ""NGFW""",,/offers/codilime-sase-engineer-poznan
Manager for Automation & Infrastructure Department,Admin,hybrid,senior,Arla,Sopot,None-None,,"""DevOps"" "".Net"" ""Project Management"" ""Data""",,/offers/arla-manager-for-automation-infrastructure-department-sopot
NLP Engineer,Data,remote,mid,STX Next,Wrocław,,16800-28560,"""Python 3.x"" ""PyTorch"" ""Pandas"" ""MySQL"" ""Machine Learning""",,/offers/stx-next-data-scientist-wroclaw
Test Engineer,Testing,hybrid,mid,WIPRO,Otwock,None-None,None-None,"""Network Protocols"" ""Wireshark"" ""DevOps"" ""Analysis"" ""HTTP""",,/offers/wipro-test-engineer-otwock
IT Service Manager (Input Management),Admin,hybrid,mid,ERGO Technology & Services,Warszawa,None-None,,"""Document processing"" ""German"" ""Database administration"" ""MS SQL Server"" ""Windows OS"" ""Powershell"" ""Service Management"" ""ITIL""","""Azure DevOps"" ""Opentext Intelligent Cap.""",/offers/ergo-technology-services-it-service-manager-input-management-warszawa
Programista SQL (systemy WMS),Data,hybrid,mid,Asseco Business Solutions,Lublin,None-None,None-None,"""MS SQL""",,/offers/asseco-business-solutions-programista-sql-systemy-wms-lublin
Android Developer,Mobile,hybrid,mid,ASTEK Polska,Warszawa,13500-16500,18900-23100,"""Android"" ""Android SDK"" ""Java/Kotlin"" ""Kotlin Coroutines/Flow"" ""MVVM"" ""dependency injection"" ""REST API"" ""Material Design"" ""Bitbucket""",,/offers/astek-polska-android-developer-warszawa-329901
SQL Intern in Automation,ERP,office,junior,GGS IT Consulting,Kraków,,,,"""Microsoft SQL"" ""PL/SQL"" ""Oracle""",/offers/ggs-it-consulting-sql-intern-in-automation-krakow
Python Django Developer,Python,hybrid,mid,FanServ,Kraków,,13090-23801,"""Django"" ""SQL"" ""Software Architecture""","""Docker"" ""AWS""",/offers/fanserv-python-django-developer
Senior Data Engineer,Analytics,hybrid,senior,GSK,Poznań,None-None,,"""Data Engineering"" ""Analytics"" ""Agile"" ""Azure DevOps"" ""Databricks"" ""Azure""",,/offers/gsk-senior-data-engineer-poznan-334871
