Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Application Security Analyst,Java,office,mid,First Line Software,Poznań,,17800-23734,"""Vulnerability Management"" ""Code Review"" ""Security Analysis"" ""penetration testing"" ""Java"" ""Python"" ""Programming""","""Powershell""",/offers/first-line-software-application-security-analyst-poznan
Test Lead (IAM),Testing,remote,senior,ITDS,Kraków,14000-16000,20000-22000,"""JMeter"" ""LoadRunner""","""IAM"" ""PAM""",/offers/itds-test-lead-iam
Frontend Developer (React.js),Java,hybrid,mid,mBank,Łódź,None-None,,"""JavaScript"" ""ReactJS"" ""Solid"" ""MsSQL"" ""Visual Studio"" ""Git"" ""TeamCity""","""Ansible"" ""Kubernetes"" ""Powershell""",/offers/mbank-frontend-developer-react-js
Architekt Danych,Data,hybrid,senior,Leroy Merlin Polska,Warszawa,15000-22600,,"""Collibra"" ""Enterprise Architect""",,/offers/leroy-merlin-polska-architekt-danych-warszawa
Architect PHP developer,Architecture,hybrid,senior,Helmes_Solbeg,Warsaw,,15000-24000,"""PHP"" ""PHP 5.4"" ""PHP 7"" ""Linux"" ""Apache"" ""MySQL""",,/offers/helmes_solbeg-architect-php-developer
Senior UX Designer,UX/UI,remote,senior,Egnyte Poland,Warszawa,,None-None,"""Figma"" ""Sketch"" ""Adobe CC"" ""B2B/B2C SaaS app design""",,/offers/egnyte-poland-senior-ux-designer-warszawa-325732
Senior SAP Consultant (EWM),ERP,remote,senior,Fabres,Poznań,,40320-45360,"""SAP"" ""EWM""",,/offers/fabres-senior-sap-consultant-ewm
Product Manager,PM,hybrid,senior,WearTech,Wrocław,,19000-25000,"""Scrum"" ""BPMN"" ""Agile"" ""Kanban""",,/offers/weartech-product-manager
Cloud Platform Architect,DevOps,hybrid,mid,KION Business ServicesPolska,Kraków,None-None,,"""English"" ""Azure"" ""Google Cloud Platform"" ""GitHub"" ""Terraform"" ""Kubernetes"" ""Powershell""","""Azure DevOps""",/offers/kion-business-servicespolska-cloud-platform-architect-krakow
Fullstack .Net Developer,Net,remote,mid,Axabee,Opole,,None-None,""".Net"" ""ReactJS"" ""JavaScript"" ""C#"" "".NET Core"" ""ASP.NET"" ""MySQL""",,/offers/axabee-fullstack-net-developer
Support engineer/Integrations consultant,Support,hybrid,junior,Helmes_Solbeg,Warsaw,,5000-10000,"""IT Support"" ""English""","""SQL""",/offers/helmes_solbeg-support-engineer-integrations-consultant
SAP FI/CO Functional Consultant with S/4 HANA,ERP,remote,mid,emagine Polska,Warszawa,,None-None,"""English"" ""SAP FI/CO"" ""SAP HANA"" ""Cloud""",,/offers/emagine-polska-sap-fi-co-functional-consultant-with-s-4-hana
Data Engineer for Voice Assistant (Warsaw),Python,hybrid,mid,Samsung R&D Institute Poland,Warszawa,None-None,,"""Linux"" ""Bash"" ""Git"" ""Jenkins"" ""Docker"" ""PostgreSQL"" ""Voila""",,/offers/samsung-r-d-institute-poland-data-engineer-for-voice-assistant-warsaw
Technical Support Escalation Engineer,Support,remote,mid,PubNub,Katowice,,7500-11667,"""Python"" ""Java"" ""Android"" ""Ruby"" ""Go"" ""Node"" ""C"" ""C#"" ""API rest"" ""Git""",,/offers/pubnub-technical-support-escalation-engineer
Cloud Architect,Architecture,hybrid,senior,ITLT,Warszawa,,33400-36740,"""GCP"" ""Cloud Native"" ""English B2""","""GitLab/Jenkins/Terraform""",/offers/itlt-cloud-architect
DevOps Engineer/SRE,Other,remote,mid,Ramp Network,Kraków,,17000-26000,"""Kubernetes"" ""GCP"" ""Grafana Cloud""",,/offers/ramp-network-site-reliability-engineer-krakow
Automation Test Lead - 100% remotely,Testing,remote,senior,Crestt,Poznań,15000-16300,19200-21200,"""Java"" ""Selenium"" ""Cucumber""","""Jenkins""",/offers/crestt-automation-test-lead-100-remotely
Data Engineer,Python,hybrid,mid,B.Braun,Poznań,None-None,,"""MS Azure Data Factory"" ""MS Azure Databricks"" ""SAP BW"" ""Apache Spark"" ""Python"" ""SQL"" ""SAP HANA"" ""Data modeling""",,/offers/b-braun-data-engineer-poznan
Automotive Cybersecurity Researcher,Security,remote,senior,Harman Connected Services,Łódź,11700-19000,15600-25300,"""Cybersecurity"" ""Embedded"" ""C"" ""C++"" ""Python""",,/offers/harman-connected-services-automotive-cybersecurity-researcher
Engineering Manager - Consumer (mobile),Mobile,remote,mid,InPost,Warszawa,None-None,None-None,"""Swift"" ""Kotlin"" ""Java"" ""Agile""","""English""",/offers/inpost-engineering-manager-consumer-mobile-warszawa
Azure Architect,Architecture,remote,c_level,IN Team,Warszawa,,28560-35280,"""Azure"" ""API"" ""REST"" ""RPC"" ""English"" ""Powershell"" ""Linux Shell""",,/offers/in-team-azure-architect
Analityk biznesowy oprogramowania,Analytics,remote,mid,Aberg Connect,Warszawa,None-None,None-None,"""Analiza Biznesowa"" ""Communication Skills"" ""User Interface"" ""User Stories""","""Agile""",/offers/aberg-connect-analityk-biznesowy-oprogramowania
Internship - Software Engineer,Python,office,junior,Air Space Intelligence,Gdańsk,9400-9400,,,"""Django"" ""Kubernetes"" ""Helm"" ""Terraform"" ""Google Cloud Platform"" ""JavaScript"" ""ReactJS""",/offers/airspace-intelligence-internship-software-engineer
ELK Stack Specialist,Admin,hybrid,mid,DSV ISS,Warszawa,None-None,,"""ELK Stack"" ""Elasticsearch"" ""OpenStack"" ""Azure"" ""GCP"" ""Docker"" ""Kubernetes"" ""Ansible"" ""Terraform"" ""Jenkins""",,/offers/dsv-iss-elk-stack-specialist
Mid Python Developer German language*,Python,remote,mid,MindPal,Gdańsk,,8000-16000,"""Git"" ""GitFLow""","""Django"" ""Django Rest Framework"" ""Docker"" ""Flask"" ""Kubernetes"" ""GraphQL"" ""Blockchain""",/offers/mindpal-mid-python-developer-german-language-gdansk
Senior Java Developer,Java,hybrid,senior,Randstad Polska Sp. z o.o.,Warszawa,None-None,,"""Java EE"" ""Java"" ""Spring"" ""SQL"" ""Docker""",,/offers/randstad-polska-sp-z-o-o-senior-java-developer-warszawa-331919
SAP Basis Administrator,Admin,remote,mid,Schaeffler Global Services Europe Sp. z o.o.,Bydgoszcz,None-None,,"""Admin"" ""ERP"" ""Data"" ""PM"" ""IT Support""",,/offers/schaeffler-sap-basis-administrator-bydgoszcz
Senior Tester Oprogramowania,Testing,hybrid,senior,Oferteo,Wrocław,12000-15500,13200-17050,"""Testing"" ""SEO"" ""Mobile App Testing"" ""ISTQB"" ""SQL"" ""JIRA"" ""Automated Testing""",,/offers/oferteo-senior-tester-oprogramowania
AI Engineer,Other,remote,senior,BlockLabs,Kraków,,25000-35000,,"""AI"" ""Stable diffusion"" ""Python"" ""Machine Learning""",/offers/blocklabs-ai-engineer-krakow
Junior Fullstack Developer,Java,remote,junior,RD Projekt,Łódź,,,"""English"" ""Polish""","""Java"" ""REST"" ""React"" ""C++"" ""Kotlin""",/offers/rd-projekt-junior-backend-developer-lodz
Customer Support Specialist,Support,office,junior,Woodpecker.co,Wrocław,None-None,None-None,,"""Helpdesk"" ""Slack"" ""LiveChat"" ""Google Docs""",/offers/woodpecker-co-customer-support-specialist
Technical Event Support,Support,remote,junior,Gridaly,Warszawa,,,"""English"" ""Customer Support"" ""IT Support""","""Project Management"" ""HTML"" ""CRM""",/offers/gridaly-technical-event-support
Regular IT System Analyst,Analytics,hybrid,mid,Primaris,Warszawa,,18480-20160,"""UML"" ""BPMN"" ""Confluence"" ""JIRA""","""Enterprise Architect""",/offers/primaris-regular-it-system-analyst
