Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Architect in Client Reporting,Architecture,remote,senior,SimCorp,Warszawa,None-None,,""".NET Core"" ""ASP.NET"" ""RESTful API"" ""C#"" ""SOLID Principles"" ""HTML5 / CSS3"" ""OOP"" ""JavaScript (jQuery)"" ""JSON"" ""Ajax""",,/offers/simcorp-architect-in-client-reporting
Senior Data Engineer/GCP,Data,remote,senior,Next Technology Professional,Wrocław,,26000-33000,"""GCP"" ""Data Warehousing""","""Python"" ""CI/CD""",/offers/next-technology-professional-senior-data-engineer-gcp-wroclaw
Fullstack .Net Developer,Net,remote,senior,Reply Polska Sp. z o. o.,Łódź,13000-22000,,,"""JavaScript"" ""TypeScript"" ""Angular"" ""React"" ""Azure"" ""Docker""",/offers/reply-polska-sp-z-o-o-fullstack-net-developer-lodz
Group Manager,Game,hybrid,senior,Playtika,Warsaw,None-None,,"""Project Management"" ""Scrum"" ""People Management""",,/offers/playtika-group-manager-warsaw
UX Design Lead (with German),UX/UI,remote,senior,Crealogix,Poznań,,24000-28800,"""HTML"" ""CSS"" ""Figma"" ""InVision"" ""Zeplin"" ""German""",,/offers/crealogix-ux-design-lead-with-german
Senior Data Base Developer,Python,hybrid,senior,ASTEK Polska,Warszawa,,20000-22000,"""Snowflake"" ""SQL"" ""DB2"" ""Bitbucket"" ""Git""",,/offers/astek-polska-senior-data-base-developer
Remote Architekt Oprogramowania (Angular),Architecture,remote,senior,apreel,Warszawa,,25200-29400,"""AWS"" ""Azure"" ""Angular"" ""HTML"" ""CSS"" ""JIRA"" ""Angielski""",,/offers/apreel-remote-architekt-oprogramowania-angular
Software Development Team Lead,Net,hybrid,senior,PPG,Wrocaw,None-None,,""".NET Core"" "".NET C#"" ""Angular"" ""ASP.NET"" ""Web API"" ""Azure"" ""VB.Net""",,/offers/ppg-software-development-team-lead
Młodszy Specjalista ds. IT,Admin,hybrid,junior,Berlin-Chemie/Menarini,Warszawa,,,"""Communication Skills"" ""Helpdesk"" ""Microsoft Windows""","""Active Directory"" ""Bazy Danych"" ""Hyper-V"" ""iOS"" ""ITIL"" ""Windows Administration"" ""Zabbix""",/offers/berlin-chemie-menarini-mlodszy-specjalista-ds-it-warszawa
Ruby Developer - Remote/ Wrocław,Ruby,remote,mid,Sofomo,Wrocław,10000-18000,12000-21000,"""Ruby"" ""Rails"" ""Team Player"" ""English""","""Microservices"" ""frontend"" ""API’s"" ""AWS""",/offers/sofomo-ruby-developer-remote-wroclaw-wroclaw
