Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Symfony Full Stack Developer-TALENT POOL,PHP,remote,mid,Polcode,Wrocław,None-None,None-None,"""PHP"" ""ReactJS"" ""Vue.js"" ""HTML5 / CSS3"" ""MySQL"" ""English""",,/offers/polcode-symfony-full-stack-developer-talent-pool
Manager Działu IT,PM,hybrid,senior,Emotivo Sp. z o.o.,Puławy,,8000-12000,"""English"" ""People Management"" ""IT Security"" ""IT Support""",,/offers/emotivo-sp-z-o-o-menedzer-it
Chief Project Electronics Engineer,Architecture,office,c_level,Human4Human Recruitment,Kraków,28000-34000,,"""Architecture"" ""Software Architecture""",,/offers/human4human-recruitment-chief-project-electronics-engineer
Młodszy specjalista / Młodsza specjalistka ds. Procesów IT,Analytics,remote,junior,Centralny Ośrodek Informatyki,Kraków,5000-9000,,,"""Microsoft Office"" ""Analityczne Myślenie"" ""JIRA"" ""ISTQB Foundation Level,""",/offers/centralny-osrodekinformatyki-mlodszy-specjalista-ds-procesow-it-krakow
Azure Solutions Engineer,Data,remote,mid,C&F,Wrocław,None-None,None-None,"""Databricks"" ""Data Lake"" ""Synapse"" ""Azure SQL"" ""Azure Data Factory"" ""ETL tools"" ""Azure Data Explorer""",,/offers/c-f-s-a-azure-solutions-engineer-wroclaw-321122
System & Application Security Specialist,Security,remote,mid,Rentals United,Warszawa,,None-None,"""IT Security"" ""Cybersecurity"" ""Information Security"" ""GDPR"" ""SOC 2"" ""PCI SSC"" ""Amazon AWS"" ""ISO security standards""","""penetration testing"" ""Vanta""",/offers/rentals-united-system-application-security-specialist-warszawa-325166
Automation Software Tester,Testing,remote,mid,Profitroom,Poznań,8000-11500,9600-13800,"""Cypress"" ""SQL""",,/offers/profitroom-automation-software-tester
Business Analyst,Analytics,hybrid,mid,Reply Polska Sp. z o. o.,Katowice,9000-16000,,"""English"" ""User Stories"" ""UML"" ""JIRA"" ""Confluence""","""Java"" ""German""",/offers/reply-polska-sp-z-o-o-business-analyst
Cybersecurity Lead Analyst,Security,hybrid,senior,HSBC Service Delivery,Kraków,None-None,,"""Cybersecurity"" ""IT Security"" ""EDR"" ""Windows"" ""Linux"" ""AWS"" ""Azure"" ""Google""",,/offers/hsbc-service-delivery-cybersecurity-lead-analyst
Senior Frontend Developer,JS,remote,senior,Simplicity Recruitment,Warszawa,None-None,None-None,"""JavaScript"" ""WebSocket"" ""Events Emitters"" ""HTML5 / CSS3"" ""TypeScript"" ""Vue.js"" ""ReactJS""",,/offers/simplicity-recruitment-senior-frontend-developer
Data Engineer II - Fulfillment,Data,hybrid,mid,Tesco Technology,Kraków,17000-25000,20000-30000,"""Hadoop"" ""Scala"" ""Kafka"" ""Spark""","""Kubernetes""",/offers/tesco-technology-software-development-engineer-ii
Administrator IT utrzymania aplikacji,Admin,hybrid,mid,PKO Bank Polski,Warszawa,None-None,,"""Linux"" ""Red Hat"" ""Apache"" ""NGINX"" ""Bash"" ""Perl"" ""Python""",,/offers/pko-bank-polski-administrator-it-utrzymania-aplikacji-warszawa-325268
DevOps Engineer with AWS,DevOps,remote,senior,Objectivity,Wroclaw,15000-20300,23520-30240,"""AWS"" ""Terraform"" ""CI/CD"" ""Git"" ""English""","""Docker"" ""Kubernetes""",/offers/objectivity-devops-engineer-with-aws
SAP Migration & Development Analyst/Consultant/Expert,ERP,remote,mid,Accenture,Gdansk,None-None,,"""SAP Migration"" ""master data""",,/offers/accenture-sap-migration-development-analyst-consultant-expert-gdansk
Starszy Programista / Starsza Programistka Java,Java,remote,senior,Centralny Ośrodek Informatyki,Gdańsk,15000-20500,,"""Java"" ""Hibernate"" ""Spring Framework"" ""GraphQL"" ""Kubernetes"" ""SOAP"" ""Docker"" ""GitLab"" ""Kafka"" ""Jenkins""",,/offers/centralny-osrodekinformatyki-starszy-programista-starsza-programistka-java-gdansk
Architect SAP SD,Architecture,remote,senior,NTT DATA Business Solutions,Warszawa,,,"""SAP"" ""SAP SD""",,/offers/ntt-data-business-solutions-architect-sap-sd-warszawa
Senior Data Engineer,Data,remote,senior,SIX,Warszawa,None-None,,"""Python"" ""SQL"" ""Business Intelligence"" ""Business Analysis""",,/offers/six-senior-data-engineer
Internship - Data Developer,Data,hybrid,junior,Accenture,Katowice,,,"""Data warehouse knowledge""","""SQL"" ""Java"" ""C#"" ""Python"" ""C++""",/offers/accenture-internship-data-developer
Inżynier testów jednostkowych C#,Testing,hybrid,mid,Soneta Sp. z o.o.,Kraków,None-None,None-None,"""TDD"" ""C#"" ""Git"" ""CI/CD"" ""testy""","""Azure DevOps"" ""Agile/Scrum""",/offers/soneta-sp-z-o-o-inzynier-testow-jednostkowych-c-krakow-322867
Senior Business Analyst,Analytics,remote,senior,Inspeerity,Bydgoszcz,,18000-25000,"""JIRA"" ""Confluence"" ""English"" ""User Stories"" ""BPMN"" ""UML"" ""Agile""",,/offers/inspeerity-business-analyst-bydgoszcz
Administrator IT,Admin,office,mid,Promatic Group,Jelenia Góra,None-None,None-None,"""Active Directory"" ""JIRA"" ""Confluence"" ""Microsoft Azure""","""SVN"" ""Zabbix"" ""Elasticsearch""",/offers/promatic-group-administrator-it
PHP Developer PrestaShop,PHP,remote,mid,X13,Poznań,,9000-18000,"""PrestaShop"" ""PHP"" ""MySQL"" ""Git""","""Symfony"" ""HTML"" ""CSS"" ""JavaScript""",/offers/x13-php-developer-prestashop-poznan-322060
Remote Mid Data Engineer,Python,remote,mid,Kingfisher plc,Kraków,15000-19000,,"""Python"" ""AWS"" ""Data modeling""",,/offers/kingfisher-plc-remote-mid-data-engineer
Administrator sieci LAN/WAN,Admin,hybrid,senior,Polkomtel Sp. z o. o.,Warszawa,None-None,,"""LAN/WAN"" ""VPN"" ""Cisco"" ""Juniper""",,/offers/polkomtel-sp-z-o-o-administrator-sieci-lan-wan-warszawa-319902
Mid .Net Developer,Net,remote,mid,Axabee,Wrocław,,9000-14000,"""C#"" ""ASP.NET Web API"" ""SQL"" ""Git"" ""Entity Framework"" "".Net 8""","""React Native"" ""PostgreSQL""",/offers/axabee-mid-net-developer-wroclaw
CERT Specialist with German,Security,remote,senior,Experis Manpower Group,Wrocław,,28560-31920,"""Security"" ""MITRE ATT&CK"" ""German"" ""English"" ""Network Protocols""",,/offers/experis-manpower-group-cert-specialist-with-german-wroclaw
Software Engineer (mid/senior),JS,remote,mid,CKSource,Wrocław,,22000-32000,"""TypeScript"" ""JavaScript"" ""React""",,/offers/cksource-software-engineer-mid-senior-wroclaw
Python Developer,Python,hybrid,mid,KUBO,Gdynia,,17000-23000,"""Python"" ""Angular"" ""SQL"" ""Flask"" ""TypeScript""",,/offers/kubo-python-developer-gdynia
SCOM Administrator,Admin,remote,mid,WIPRO,Warszawa,None-None,None-None,"""SCOM"" ""German"" ""English""","""ITIL""",/offers/wipro-scom-administrator
