Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
QA Engineer,Testing,hybrid,senior,Codibly,Kraków,10400-16700,12600-20160,"""REST API"" ""Microservices"" ""RabbitMQ"" ""ISTQB Foundation"" ""Git"" ""CI/CD""","""JavaScript"" ""TypeScript"" ""Cypress""",/offers/codibly-qa-engineer-krakow-321451
DevOps Engineer,DevOps,office,mid,DSV ISS,Warszawa,None-None,,"""CI/CD"" ""DevOps"" ""RCA""","""Linux"" ""Python"" ""Groovy"" ""Bash""",/offers/dsv-iss-devops-engineer-warszawa-316580
Cloud Engineer - Carfax US,DevOps,hybrid,mid,S&P Global,Gdańsk,13000-17000,15400-20100,"""AWS"" ""Kubernetes"" ""Pair Programming"" ""DevOps""","""JavaScript"" ""Security"" ""Java"" ""Python""",/offers/s-p-global-cloud-engineer-carfax-us
Software Development Engineer II - Data Engineering (Forecasting),Data,hybrid,mid,Tesco Technology,Kraków,17000-25000,20000-30000,"""Spark"" ""PySpark"" ""Scala"" ""Big Data"" ""Hadoop""",,/offers/tesco-technology-software-development-engineer-ii-data-engineering-forecasting
ASIC Design Verification Engineer,Game,office,senior,Luxoft Poland,Gdańsk,None-None,,"""ASIC Design Flow"" ""Design Verification"" ""SystemVerilog"" ""Python"" ""Perl"" ""Ruby"" ""UVM/OVM/VMM"" ""RTL"" ""HLS tools""","""PCIe""",/offers/luxoft-poland-asic-design-verification-engineer
Senior/Lead Data Engineer (Healthcare),Data,remote,senior,Sigma Software,Warszawa,None-None,None-None,"""Python"" ""Databricks"" ""Azure Services"" ""Snowflake"" ""Spark""",,/offers/sigma-software-senior-lead-data-engineer-healthcare
Lead UI/UX Designer,UX/UI,remote,senior,Next Technology Professionals,Kraków,,17883-21857,"""Sketch"" ""Adobe XD"" ""Figma""","""React Native"" ""React""",/offers/next-technology-professional-lead-ui-ux-designer
"Praktyki w obszarze IT (PHP, JAVA, SQL, C++, Python, JavaScript)",Other,remote,junior,Accenture,Kraków,,,"""programming basics"" ""English""","""SQL""",/offers/accenture-praktyki-w-obszarze-it-php-java-sql-c-python-javascript-krakow
Java Developer/ basic german,Java,hybrid,senior,Cpl Poland,Poznań,16000-24000,,"""Java 8+"" ""Linux"" ""Spring""","""AWS""",/offers/cpl-poland-java-developer-basic-german-warszawa
Analityk w zakresie nowych technologii w Departamencie Innowacji Finansowych FinTech,Analytics,hybrid,mid,Urząd Komisji Nadzoru Finansowego,Warszawa,None-None,,"""Blockchain"" ""Bitcoin"" ""Analityczne Myślenie"" ""LightingNetwork"" ""Ethereum""","""Python"" ""JavaScript"" ""TypeScript""",/offers/urzad-knf-analityk-w-zakresie-nowych-technologii
Industrial Controls System Support Specialist,Support,office,mid,Vesuvius Sp. z o.o.,Skawina,None-None,,"""ERP"" ""Controls System Support"" ""Windows 10"" ""Linux"" ""Scada""",,/offers/vesuvius-sp-z-o-o-industrial-controls-system-support-specialist
Senior Backend Engineer (Payments),JS,remote,senior,Ramp Network,Warszawa,,21000-31000,"""TypeScript"" ""nestJS (Node.js)"" ""PostgreSQL"" ""RabbitMQ""",,/offers/ramp-network-senior-backend-engineer-payments
Starszy Specjalista ds. Raportów i Analiz,Analytics,hybrid,senior,Raiffeisen Bank,Warszawa,None-None,,"""SQL"" ""Power BI""","""SAS""",/offers/raiffeisen-bank-starszy-specjalista-ds-raportow-i-analiz
Software Development Engineer in Test,Testing,remote,senior,Aspire Systems Poland,Warszawa,13300-18300,16000-22000,"""Testing"" "".NET C#"" ""Automation Tools"" ""Testing Tools"" ""Programming"" ""Azure DevOps"" ""Scrum"" ""CI/CD""",,/offers/aspire-systems-poland-software-development-engineer-in-test-warszawa
Senior DevOps Engineer,DevOps,hybrid,senior,Equal Experts,Warszawa,,34630-51945,"""Kubernetes"" ""Docker"" ""Apache Kafka"" ""AWS"" ""GitLab""",,/offers/equal-experts-senior-devops-engineer
Test Engineer,Testing,remote,junior,VESOFTx,Warszawa,,12000-20000,"""Python"" ""SIL testing"" ""Automotive industry""","""Modeling"" ""simulation"" ""CarMaker""",/offers/vesoftx-test-engineer-warszawa
Java Developer,Java,remote,mid,Nexio Management,Warszawa,,16000-25000,"""Java"" ""Spring Boot""",,/offers/nexio-management-java-developer
Java Developer (algorithmic trading),Java,office,mid,Match-Trade Technologies,Warszawa,,15000-23500,"""Java"" ""Clean Code"" ""Git"" ""Spring"" ""SQL""",,/offers/match-trade-technologies-java-developer-4e5b4467-620d-419c-8a4e-b556eddb61c9
IT Business Analyst,Analytics,hybrid,senior,home.pl,Poznań,None-None,None-None,"""analiza"" ""Business Analysis"" ""Reporting""",,/offers/home-pl-it-business-analyst-poznan
