Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
macOS Developer,Other,remote,senior,Scalo,Wrocaw,,28500-33600,"""Swift"" ""Mac OS"" ""Objective-C""",,/offers/scalo-macos-developer
Senior Azure DevOps,DevOps,remote,senior,DXC Technology,Warszawa,None-None,None-None,"""Powershell"" ""DevOps"" ""Microsoft Azure Cloud"" ""Azure Services"" ""Docker""",,/offers/dxc-technology-senior-azure-devops-warszawa
Senior DevOps Engineer,DevOps,remote,senior,SoftServe,Kraków,,16000-32000,"""Kubernetes"" ""GitLab"" ""Helm"" ""Red Hat""",,/offers/softserve-senior-devops-engineer-krakow-327303
Frontend-JavaScript/TypeScript-Developer,JS,office,mid,cronn Polska,Białystok,12000-20000,12000-20000,"""Agile"" ""JavaScript"" ""TypeScript"" ""ReactJS"" ""Git"" ""Clean Code"" ""Docker""","""Gradle"" ""Microservices"" ""Cloud""",/offers/cronn-polska-frontend-javascript-typescript-developer-bialystok-322563
Senior Java Developer #Warsaw,Java,hybrid,senior,Cpl Poland,Warszawa,20000-24000,,"""Kafka"" ""Azure""",,/offers/cpl-poland-senior-java-developer-warsaw
Senior Python Developer,Python,remote,senior,Infermedica,Warszawa,,20000-27000,"""English"" ""Python"" ""Web Development"" ""FasAPI"" ""Docker"" ""Databases"" ""API Testing""","""Scrum"" ""Redis"" ""K8S""",/offers/infermedica-python-developer-warszawa-325122
Junior SQL Developer (ETL/IPC),Data,hybrid,junior,mBank,Warszawa,None-None,,,"""SQL"" ""ETL"" ""Informatica Powercenter""",/offers/mbank-junior-sql-developer-etl-ipc
Analityk biznesowo-systemowy,Analytics,remote,mid,SPIID,Rybnik,None-None,None-None,"""SQL"" ""Oracle"" ""ETL"" ""PostgreSQL"" ""JIRA"" ""SharePoint""","""Git""",/offers/spiid-sp-z-o-o-analityk-biznesowo-systemowy
Senior Data Engineer,Data,hybrid,senior,Hempel Paints,Gdańsk,None-None,,"""Data Engineering"" ""SQL"" ""Python"" ""ETL""",,/offers/hempel-paints-senior-data-engineer
Młodszy Programista SQL,Data,office,junior,Sente,Wrocław,6000-7000,7500-8800,,"""SQL""",/offers/sente-mlodszy-programista-sql-wroclaw-323639
Test Engineer,Testing,remote,mid,Infoprojekt,Gdańsk,,8000-14000,"""Testing"" ""Git"" ""Selenium"" ""English""","""T-SQL"" ""C#"" ""Powershell""",/offers/infoprojekt-test-engineer
Administrator IT / DevOps,DevOps,remote,mid,Sorigo,Warszawa,None-None,,"""Kubernetes"" ""Docker"" ""Ansible""","""DevOps"" ""Terraform"" ""Puppet""",/offers/sorigo-draft-administrator-devops
Programista C#/C++,C,remote,mid,Symfonia,Warszawa,,None-None,"""C#"" "".Net"" ""Git""","""C++"" "".Net Framework"" ""WPF"" ""Linq"" ""EF"" ""REST"" ""GraphQL""",/offers/symfonia-programista-c-c
DevOps Engineer,DevOps,hybrid,mid,CFI/ELEARNDEV sp. z o.o.,Warszawa,,20000-27500,"""Amazon AWS"" ""Docker"" ""Ansible"" ""CI/CD""","""Kubernetes""",/offers/cfi-elearndev-sp-z-o-o-devops-engineer
(Senior) Analyst,Analytics,hybrid,mid,eService Sp. z o.o.,Warszawa,None-None,,"""UML"" ""BPMN"" ""PL/SQL"" ""Oracle""",,/offers/eservice-sp-z-o-o-senior-analyst
Senior Python Developer,Python,remote,senior,MindPal,Gliwice,,20000-23000,"""Django Rest Framework"" ""Django"" ""Docker"" ""Git"" ""GitFLow""","""Flask"" ""Kubernetes"" ""GraphQL""",/offers/mindpal-senior-python-developer
Azure Cloud Architect (Data),Architecture,remote,senior,Link Group,Kraków,,35280-40000,"""Azure"" ""ETL"" ""Architecture"" ""Big Data"" ""Data modeling"" ""Data Warehousing""",,/offers/link-group-azure-cloud-architect-data-krakow
Android Framework Developer,Mobile,hybrid,mid,Tietoevry,Wrocław,None-None,None-None,"""Communication Skills"" ""English"" ""Android""",,/offers/tietoevry-android-framework-developer
Embedded Software Engineer,C,hybrid,mid,Rainlabs Services Sp.z o.o.,Kraków,11000-16000,16800-28560,"""CMake"" ""Linux"" ""C++"" ""English""","""QNX"" ""gRPC"" ""SOME/IP"" ""DOIP"" ""UDS"" ""ProtoBuf""",/offers/rainlabs-services-sp-z-o-o-embedded-software-engineer
SAP Basis Administrator ,Admin,remote,mid,Schaeffler Global Services Europe Sp. z o.o.,Wrocław,None-None,,"""Admin"" ""ERP"" ""Data"" ""PM"" ""IT Support""",,/offers/schaeffler-sap-basis-administrator-wroclaw
Associate Product Manager - Platforms,PM,hybrid,c_level,Stonex Poland,Kraków,None-None,,"""Managment"" ""UX/UI"" ""CS principles"" ""CFD/FX trading"" ""Agile"" ""Backlog managment"" ""software dev cycle""",,/offers/stonex-poland-associate-product-manager-platforms
System Architect,Java,hybrid,senior,Primaris,Warszawa,,None-None,"""Java"" ""Spring"" ""Hibernate"" ""SOAP"" ""REST"" ""Git"" ""JUnit""","""Angular 2+""",/offers/primaris-system-architect-warszawa-323914
Programista/ka Mainframe - obszar bankowości,Other,remote,mid,Accenture,Łódź,None-None,,"""z/os"" ""Cobol"" ""JCL"" ""DB2""",,/offers/accenture-programista-ka-mainframe-obszar-bankowosci
Cyber Security Architect,Architecture,remote,senior,Fujitsu,Łódź,None-None,None-None,"""SIEM"" ""Network Security"" ""Cloud"" ""Azure"" ""Data protection"" ""Cybersecurity"" ""English""",,/offers/fujitsu-cyber-security-architect-lodz
Associate Software Engineer,JS,remote,junior,WP Engine,Warszawa,11000-14000,,,"""Go"" ""JavaScript"" ""React"" ""Elastic"" ""Google Cloud Platform"" ""Kubernetes"" ""GraphQL""",/offers/wp-engine-associate-software-engineer-warszawa
Lead DevOps Engineer,Game,hybrid,senior,11 bit studios,Warsaw,,20000-23000,"""Python"" ""Docker"" ""Ansible"" ""Grafana""","""Unreal Engine""",/offers/11-bit-studios-lead-devops-engineer-warsaw-330672
Backend Engineer,JS,remote,mid,Square One,Warszawa,,20100-23520,"""Node.js"" ""GCP"" ""Google Cloud Platform"" ""SQL Server"" ""NoSQL"" ""JavaScript""","""Firestore""",/offers/square-one-backend-engineer
Senior Fullstack Software Engineer,Net,hybrid,senior,Volue Sp. z o.o.,Sopot,20000-26000,23000-29000,""".NET 6"" ""REST API"" ""English"" ""C#"" ""ReactJS"" ""Docker"" ""MySQL"" ""JavaScript""","""AWS""",/offers/volue-sp-z-o-o-senior-fullstack-software-engineer-sopot-318259
BI Developer,Data,hybrid,mid,Primaris,Warszawa,,None-None,"""Oracle DB"" ""SQL"" ""PL/SQL""",,/offers/primaris-bi-developer
Site Reliability Engineering Lead with Java or Python,Python,hybrid,senior,EPAM Systems,Kraków,None-None,,"""Team Management"" ""Cloud"" ""Linux Administration"" ""Automation Tools"" ""Scripting"" ""Java"" ""Python""",,/offers/epam-systems-site-reliability-engineering-lead-with-java-or-python-krakow
