Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Product Engineer (Mechatronics),Inżynieria elektryczna,,Senior,N-iX,Remote,,19812  – 24963  PLN,"""PLC"" ""Communication skills"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/product-engineer-mechatronics-n-ix-remote
"Full Stack Developer (Java, Angular)",Fullstack,Angular,Senior,Ness Solution Sp. z o. o.,Wrocław,,21840  – 29400  PLN,"""Angular"" ""Java"" ""Spring"" ""TypeScript"" ""REST API"" ""Oracle"" ""Polski (C1)"" ","""GitLab"" ""Jenkins"" ""Mendix"" ",https://nofluffjobs.com/pl/job/full-stack-developer-java-angular-ness-solution-wroclaw
PHP developer,Frontend,Angular,Mid,GOtrack Sp. z o.o.,Warka,8000  – 15000  PLN,8000  – 15000  PLN,"""Angular"" ""Git"" ""Polski"" ","""Angielski"" ",https://nofluffjobs.com/pl/job/php-developer-gotrack-warka
Frontend Developer,Frontend,JavaScript,Senior,Grupa Morizon-Gratka Sp. z o.o.,Warszawa,10000  – 18000  PLN,12000  – 21000  PLN,"""Vue.js"" ""JavaScript"" ""TypeScript"" ""HTML5"" ""SCSS"" ""Git"" ""Polski"" ""Angielski"" ","""AI"" ""Nuxt.js"" ""GraphQL"" ""Twig"" ""Jest"" ""Cypress"" ""Docker"" ""GitLab CI"" ",https://nofluffjobs.com/pl/job/frontend-developer-grupa-morizon-gratka-warszawa
(Remote) Data Engineer,Data,Apache NiFi,Mid,Ness Solution Sp. z o. o.,Remote,,21000  – 26880  PLN,"""Apache NiFi"" ""Python"" ""ETL"" ""Polski (C1)"" ","""Azure"" ""PostgreSQL"" ""Bash script"" ",https://nofluffjobs.com/pl/job/remote-data-engineer-ness-solution
(Remote) Programista Power BI + Azure,Business Intelligence,,Mid,Ness Solution Sp. z o. o.,Remote,,21000  – 25200  PLN,"""Power BI"" ""Azure"" ""Polski (C1)"" ","""PostgreSQL"" ",https://nofluffjobs.com/pl/job/remote-programista-power-bi-azure-ness-solution
Senior Java Engineer - Remote (f/m/x),Backend,Java,Senior,AUTO1 Polska Sp.z o.o.,Remote,20000  – 25000  PLN,,"""Java"" ""Microservices"" ""Angielski"" ","""JavaScript"" ""TypeScript"" ""Spring Boot"" ""Spring Cloud"" ""React"" ",https://nofluffjobs.com/pl/job/senior-java-engineer-remote-f-m-x-auto1-polska
Java Engineer - Remote (f/m/x),Backend,Java,Mid,AUTO1 Polska Sp.z o.o.,Remote,12000  – 17000  PLN,,"""Java"" ""Microservices"" ""Angielski"" ","""JavaScript"" ""TypeScript"" ""Spring Boot"" ""Spring Cloud"" ""React"" ",https://nofluffjobs.com/pl/job/java-engineer-remote-f-m-x-auto1-polska
Product Designer,Design,,Mid,300.codes,Remote,,9000  – 13000  PLN,"""Figma"" ""UI"" ""UX"" ""Angielski (B2)"" ""Polski (C2)"" ","""Prototyping"" ""Design System"" ""Wireframing"" ""Hotjar"" ""Mockups"" ""Webflow"" ",https://nofluffjobs.com/pl/job/product-designer-300-codes-remote-1
Lead AEM Engineer,Backend,Java,Expert,Valtech,Remote,,25961  – 31153  PLN,"""Java"" ""AEM"" ""Adobe Experience Manager"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/lead-aem-engineer-valtech-remote
