Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
"Senior C#/.net Developer (remote, Austrian comp.)",Backend,C#,Senior,ec3 NetWorks GmbH,Remote,,17330  – 28162  PLN,"""C#"" "".NET Framework"" ""SQL Server"" ""Angielski (C1)"" ",""".NET CORE"" ""MVC"" ""estjs"" ""Android"" ""iOS"" ""Ruby on Rails"" ""C++"" ""Niemiecki (C1)"" ",https://nofluffjobs.com/pl/job/senior-c-net-developer-remote-austrian-comp--ec3-networks-1
IT Project Manager (ERP) - Remote,Project Manager,,Senior,Link Group,Remote,20000  – 24000  PLN,,"""Prince2"" ""PMP"" ""ERP"" ""SAP"" ""DMS"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/it-project-manager-erp-remote-link-group-1
Senior QA Engineer,Testing,SQL,Senior,Hitachi Energy,Kraków,15000  – 23000  PLN,,"""SQL"" ""QA"" ""C#"" ""Selenium"" ""Git"" ""Azure DevOps"" ""Angielski"" ","""RabbitMQ"" ""Kubernetes"" ""Kafka"" ",https://nofluffjobs.com/pl/job/senior-qa-engineer-hitachi-energy-krakow
Embedded Deweloper,Embedded,C++,Mid,Devire,Kraków,10000  – 20000  PLN,,"""C++"" ""Python"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/embedded-deweloper-devire-krakow
Administrator IT,Sys. Administrator,,Mid,Devire,Orzesze,10000  – 15000  PLN,,"""Windows"" ""Cisco"" ""Angielski (B2)"" ","""ERP"" ",https://nofluffjobs.com/pl/job/administrator-it-devire-orzesze-1
Support Engineer,IT Support,,Mid,Devire Sp. z o.o.,Kraków,16000  – 20000  PLN,,"""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/support-engineer-devire-krakow
IT Business Analyst,Business Analysis,,Mid,Link Group,Remote,14000  – 18000  PLN,,"""Angielski (B2)"" ""Polski"" ",,https://nofluffjobs.com/pl/job/it-business-analyst-link-group-remote-2
Operator (frezer/tokarz) CNC,Automatyka,,Mid,L.M. Group Poland,Poznań,5000  – 7000  PLN,,"""Polski"" ",,https://nofluffjobs.com/pl/job/operator-frezer-tokarz-cnc-l-m-group-poland-poznan
Team Leader / Java Developer,Fullstack,Java,Senior,Bersi Sp. z o.o.,Bydgoszcz,10000  – 20000  PLN,,"""Java"" ""JavaScript"" ""SQL"" ""HTML"" ""CSS"" ""Spring"" ""Hibernate"" ""SOAP"" ""REST API"" ","""Maven"" ""Git"" ""Jenkins"" ""PostgreSQL"" ""Tomcat"" ""Linux"" ""Angielski (C1)"" ",https://nofluffjobs.com/pl/job/team-leader-java-developer-bersi-bydgoszcz
Middle/Senior DevOps Engineer,DevOps,Jenkins,Mid,Convista Poland,Remote,12000  – 22500  PLN,20160  – 33600  PLN,"""Jenkins"" ""Kubernetes"" ""OpenShift"" ""ArgoCD"" ""Python"" ""Linux"" ""Ansible"" ""API Gateway"" ""Prometheus"" ""SSO"" ""Git"" ""SAML"" ""Niemiecki (B1)"" ","""KMS"" ""Secret Manager"" ""Vault"" ""Sonar"" ""Nexus"" ""Groovy"" ""Go"" ""Kong"" ",https://nofluffjobs.com/pl/job/middle-senior-devops-engineer-convista-poland-remote
"Senior Support Engineer, Technical Account Manager",IT Support,,Senior,Devire Sp. z o.o.,Kraków,22000  – 30000  PLN,,"""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-support-engineer-technical-account-manager-devire-krakow
IT Infrastructure Specialist,IT Support,,Mid,Devire,dąbrowa górnicza,10000  – 16000  PLN,,"""CI"" ""TCP"" ""DNS"" ""DHCP"" ""PKI"" ""ADFS"" ""Exchange Online"" ""PowerShell"" ""Azure"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/it-infrastructure-specialist-devire-dabrowagornicza
Remote Java Developer with React,Fullstack,React,Mid,Objectivity - part of Accenture,Remote,10000  – 17500  PLN,15960  – 26880  PLN,"""Java 11/17"" ""JUnit5"" ""Java"" ""React"" ""Degree"" ""DevOps"" ""Kotlin"" ""Angielski (B2)"" ","""Microservices"" ""React"" ""TypeScript"" ""AWS"" ""Spring Integration"" ""Mockito"" ",https://nofluffjobs.com/pl/job/remote-java-developer-with-react-objectivity-part-of-accenture
IT System Administrator,Sys. Administrator,,Mid,GOG,Warsaw,14000  – 21000  PLN,14000  – 21000  PLN,"""Linux"" ""KVM"" ""Docker"" ""Terraform"" ""Ansible"" ""Packer"" ""Kubernetes"" ""OpenStack"" ""Consul"" ""DNS"" ""Cloud"" ""Polski"" ""Angielski"" ","""MySQL"" ""Elasticsearch"" ""Golang"" ""Python"" ""AWS"" ""GCP"" ",https://nofluffjobs.com/pl/job/it-system-administrator-gog-warsaw
MuleSoft Developer,Backend,,Mid,Devire,Remote,,26880  – 30240  PLN,"""MuleSoft"" ""API"" ""Java"" ""XML"" ""JSON"" ""SQL"" ""REST API"" ""SOAP"" ""EDI"" ""Git"" ""Bitbucket"" ""LAN"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/mulesoft-developer-devire-remote
Backend Software Engineer,Backend,Java,Mid,SmartRecruiters Inc.,Remote,14000  – 19000  PLN,16500  – 22000  PLN,"""Java"" ""PostgreSQL"" ""Microservices"" ""REST API"" ""JUnit"" ""Angielski (B2)"" ","""MongoDB"" ""Docker"" ""Elasticsearch"" ""Kubernetes"" ""AWS"" ",https://nofluffjobs.com/pl/job/backend-software-engineer-smartrecruiters-remote-2
Senior Frontend Developer,Frontend,Angular,Senior,Ework Group,Warszawa,,25200  – 28560  PLN,"""Angular"" ""TypeScript"" ""HTML"" ""CSS"" ""JavaScript"" ""npm"" ""Angular Material"" ""Polski (NATIVE)"" ",,https://nofluffjobs.com/pl/job/senior-frontend-developer-ework-group-warszawa
.NET Developer,Fullstack,.NET,Mid,ITCenter,Warszawa,,10000  – 15000  PLN,""".NET"" "".NET CORE"" ""Entity Framework"" ""REST API"" ""MSSQL"" ""Git"" ""Docker"" ""JavaScript"" ""JQuery"" ""CSS"" ","""Angielski (B1)"" ""Polski (B1)"" ",https://nofluffjobs.com/pl/job/net-developer-itcenter-warszawa-1
Senior Cloud Security Engineer,Security,AWS,Senior,Snowflake,Warszawa,35000  – 70000  PLN,,"""Cloud security"" ""Security"" ""Python"" ""Network Security"" ""Kubernetes"" ""Infrastructure as Code"" ""AWS"" ""Angielski"" ","""AWS"" ""Azure"" ""GCP"" ""CI"" ""CD pipelines"" ""Site reliability engineering"" ",https://nofluffjobs.com/pl/job/senior-cloud-security-engineer-snowflake-warszawa
Senior DataOps Engineer,Data,Python,Senior,Devire,Remote,,25000  – 30000  PLN,"""Apache Airflow"" ""Data engineering"" ""Git"" ""Python"" ""SQL"" ""dbt"" ""AWS"" ""Cloud platform"" ""Redshift"" ""MWAA"" ""Glue"" ""AWS Lambda"" ""AWS S3"" ""DevOps"" ""GitLab"" ""CI/CD"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-dataops-engineer-devire-remote-1
MuleSoft System Administrator,Sys. Administrator,,Senior,Devire,Remote,,23500  – 27500  PLN,"""MuleSoft"" ""Operating system"" ""Networking"" ""OpenShift"" ""Docker"" ""AWS"" ""Ansible"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/mulesoft-system-administrator-devire-remote-1
Operator CNC,Automatyka,,Mid,L.M. Group Poland,Łódź,7000  – 8500  PLN,,"""Polski"" ",,https://nofluffjobs.com/pl/job/operator-cnc-l-m-group-poland-lodz
Product Designer – Telco,Design,,Senior,AVSystem,Kraków,8300  – 12600  PLN,10000  – 15000  PLN,"""Figma"" ""Miro"" ""UX design"" ""UI design"" ""Communication skills"" ""Angielski (B2)"" ""Polski (C1)"" ","""Design System"" ""Styleguides"" ",https://nofluffjobs.com/pl/job/product-designer-telco-avsystem-krakow-1
Programista C++ Embedded,Embedded,C++,Mid,Sii Polska,Katowice,10000  – 17500  PLN,16800  – 25200  PLN,"""C++"" ""Embedded"" ""Angielski"" ""Polski"" ","""Ethernet"" ""PLC"" ""Scrum"" ",https://nofluffjobs.com/pl/job/programista-c-embedded-sii-polska-katowice-1
