Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Customer technical support engineer,IT Support,,Mid,Neontri,Remote,,15120  – 21840  PLN,"""Java"" ""Oracle"" ""IBM Db2"" ""SQL"" ""MySQL"" ""Linux"" ""Unix"" ""Operating system"" ""Tomcat"" ""IBM WebSphere"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/customer-technical-support-engineer-neontri-remote
Remote PHP Developer,Backend,PHP,Mid,Cleeng sp.z.o.o,Remote,10000  – 15700  PLN,11000  – 17000  PLN,"""PHP"" ""OPP"" ""REST API"" ""Angielski (C2)"" ",,https://nofluffjobs.com/pl/job/remote-php-developer-cleeng-3
Remote Data Engineer (Spark),Data,Scala,Mid,Varwise,Remote,,26720  – 36691  PLN,"""Spark"" ""AWS"" ""Linux"" ""NoSQL"" ""SQL"" ""Kafka"" ""Java"" ""Scala"" ""AWS Lambda"" ""Glue"" ""Athena"" ""Cassandra"" ""Neo4j"" ""Databricks"" ""Angielski (C2)"" ","""Kinesis"" ""Airflow"" ""Jenkins"" ""Datadog"" ""Python"" ""TensorFlow"" ",https://nofluffjobs.com/pl/job/remote-data-engineer-spark-varwise
Remote Senior Data Engineer (Spark),Data,Scala,Senior,Varwise,Remote,,33899  – 41876  PLN,"""Spark"" ""AWS"" ""Linux"" ""NoSQL"" ""SQL"" ""Kafka"" ""Java"" ""Scala"" ""AWS Lambda"" ""Glue"" ""Athena"" ""Cassandra"" ""Neo4j"" ""Databricks"" ""Angielski (C2)"" ","""Kinesis"" ""Airflow"" ""Jenkins"" ""Datadog"" ""Python"" ""TensorFlow"" ",https://nofluffjobs.com/pl/job/remote-senior-data-engineer-spark-varwise
DevOps (Infrastructure) Engineer,DevOps,AWS,Senior,VOLT.io Open Banking Payments,Warszawa,21900  – 25800  PLN,25500  – 30000  PLN,"""AWS"" ""Docker"" ""Team player"" ""Communication skills"" ""CI/CD"" ""Terraform"" ""CloudWatch"" ""GitLab"" "".NET"" ""Linux"" ""macOS"" ""Scripting language"" ""Bash"" ""Ruby"" ""Python"" ""Java"" ""PHP"" ""Google Workspace"" ""AWS EC2"" ""ECS"" ""AWS ECS"" ""IAM"" ""Amazon RDS"" ""Route53"" ""SQL"" ""Networking"" ""DNS"" ""Load balancing"" ""Angielski"" ""Polski"" ","""ECS/Kubernetes"" ""DevOps"" ""Kubernetes"" ",https://nofluffjobs.com/pl/job/devops-infrastructure-engineer-volt-io-open-banking-payments-warszawa
Embedded Deweloper,Embedded,C++,Mid,Devire,Kraków,10000  – 20000  PLN,,"""C++"" ""Python"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/embedded-deweloper-devire-krakow
Remote Mid QA Engineer,Testing,REST API,Mid,Codibly,Remote,6400  – 10400  PLN,7728  – 12600  PLN,"""REST API"" ""Microservices"" ""RabbitMQ"" ""ISTQB"" ""Git"" ""GitLab"" ""CI"" ""CD"" ""Polski (B2)"" ""Angielski (B2)"" ","""JavaScript"" ""TypeScript"" ""Cypress"" ""Renewables"" ",https://nofluffjobs.com/pl/job/remote-mid-qa-engineer-codibly
Administrator IT,Sys. Administrator,,Mid,Devire,Orzesze,10000  – 15000  PLN,,"""Windows"" ""Cisco"" ""Angielski (B2)"" ","""ERP"" ",https://nofluffjobs.com/pl/job/administrator-it-devire-orzesze-1
Support Engineer,IT Support,,Mid,Devire Sp. z o.o.,Kraków,16000  – 20000  PLN,,"""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/support-engineer-devire-krakow
Data Engineer,Data,Python,Mid,hubQuest,Remote,,30000  – 37000  PLN,"""Python"" ""SQL"" ""ETL"" ""Data engineering"" ""pandas"" ""NumPy"" ""SQLAlchemy"" ""FastAPI"" ""SQL Server"" ""Snowflake"" ""Kubernetes"" ""GitLab"" ""Argo CD"" ""Grafana"" ""Prometheus"" ""Angielski (C1)"" ""Polski (C1)"" ","""Agile"" ""AWS"" ""AWS SageMaker"" ""Athena"" ""Glue"" ""AWS S3"" ""Step Functions"" ",https://nofluffjobs.com/pl/job/data-engineer-hubquest-remote-4
