Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Business Intelligence Consultant,Business Intelligence,,Mid,ScriptFactory Sp. z o.o.,Remote,,13440  – 20160  PLN,"""SQL"" ""ETL"" ""SQL Server"" ""Team player"" ""Communication skills"" ""Critical thinking"" ""Problem solving"" ""Proactivity"" ""T-SQL"" ""Python"" ""Azure"" ""Spark"" ""Spark SQL"" ""Polski"" ""Angielski"" ","""Data warehouse modeling"" ""Project organization"" ""Databricks"" ",https://nofluffjobs.com/pl/job/business-intelligence-consultant-scriptfactory-remote
Senior Data Engineer with Python,Data,Databricks,Senior,Objectivity - part of Accenture,Remote,14000  – 20000  PLN,21840  – 30240  PLN,"""Python"" ""PySpark"" ""Databricks"" ""Lakehouse"" ""NoSQL"" ""Data modelling"" ""Azure"" ""Angielski (B2)"" ","""Snowflake"" ""Microsoft Fabric"" ""BS"" ",https://nofluffjobs.com/pl/job/senior-data-engineer-with-python-objectivity-part-of-accenture-remote-2
Senior BI Consultant (Power BI),Business Intelligence,,Expert,Onwelo S.A.,Remote,,23100  – 27300  PLN,"""Power BI"" ""DWH"" ""BI"" ""SQL"" ""T-SQL"" ""DAX"" ""REST API"" ""Gateway"" ""Angielski (B2)"" ","""AWS"" ""Azure"" ""Tableau"" ""TIBCO Spotfire"" ""QlikView"" ",https://nofluffjobs.com/pl/job/senior-bi-consultant-power-bi-onwelo-remote
Remote Data Engineer,Data,,Mid,SoftKraft,Remote,,16100  – 21100  PLN,"""Python"" ""Apache Airflow"" ""Git"" ""ETL"" ""Cloud data warehouse"" ""Polski"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/remote-data-engineer-softkraft
QA Engineer,Testing,Python,Mid,Stellar Blu Solutions,Remote,,10069  – 19332  PLN,"""Python"" ""Linux"" ""Critical thinking"" ""Git"" ""Bash"" ""Networking"" ""Test automation"" ""Angielski (B2)"" ","""Docker"" ""GitHub Actions"" ""Aviation Industry Background"" ""Telecommunication Industry Background"" ""Jira"" ""Zephyr"" ""Networks"" ""Network protocols"" ""Redis"" ""MQTT"" ""REST"" ""GraphQL"" ",https://nofluffjobs.com/pl/job/qa-engineer-stellar-blu-solutions-remote
QA Test Automation Engineer,Testing,Java,Senior,Ework Group,Warszawa,,21840  – 25200  PLN,"""Java"" ""Test automation"" ""REST API"" ""Cucumber"" ""Postman"" ""Chrome DevTools"" ""Git"" ""CI"" ""CD"" ""Jenkins"" ""Bamboo"" ""Docker"" ""SQL"" ""XML"" ""CSV"" ""JSON"" ""ISTQB"" ""QA"" ""Communication skills"" ""Angielski (B2)"" ""Polski (C1)"" ",,https://nofluffjobs.com/pl/job/qa-test-automation-engineer-ework-group-warszawa
Senior AQA Engineer,Testing,Java,Senior,Soft Industry Alliance,Remote,,15305  – 17319  PLN,"""AQA"" ""Agile"" ""Test automation"" ""Java"" ""SDLC"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-aqa-engineer--soft-industry-alliance-remote
Senior Data Scientist,Data,Python,Senior,Harvey Nash Technology,Warszawa,20000  PLN,,"""Python"" ""Machine Learning"" ""AWS"" ""scikit-learn"" ""pandas"" ""TensorFlow"" ""PyTorch"" ""Airflow"" ""PySpark"" ""SQL"" ""NoSQL"" ""Snowflake"" ""CI/CD"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-data-scientist-harvey-nash-technology-warszawa
Cloud Security Engineer,Security,,Mid,HL Tech,Remote,13000  – 18500  PLN,15000  – 21000  PLN,"""AWS"" ""Lambda"" ""Kenisis Firehose"" ""Angielski"" ""Polski"" ",,https://nofluffjobs.com/pl/job/cloud-security-engineer-hl-tech-remote
Senior DevOps Engineer,DevOps,Python,Expert,Intellias,Remote,,26880  – 30240  PLN,"""DevOps"" ""Terraform"" ""CI/CD pipelines"" ""Python"" ""Docker"" ""Elasticsearch"" ""AWS"" ""Jenkins"" ""JFrog Artifactory"" ""ELK Stack"" ""Prometheus"" ""Grafana"" ""SonarQube"" ""Opsgenie"" ""PagerDuty"" ""PowerShell"" ""Java Script"" ""Amazon Web Services"" ""Infrastructure as a Code"" ""Angielski (B2)"" ","""High availability"" ""ECS"" ""AWS ECS"" ""Amazon EKS"" ""ITIL"" ",https://nofluffjobs.com/pl/job/senior-devops-engineer-intellias-remote
