Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Senior IT Analyst,Business Analysis,,Senior,Ework Group,Gdańsk,,16800  – 21840  PLN,"""Data mapping"" ""REST API"" ""Kafka"" ""SAFe"" ""Polski (B2)"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/senior-it-analyst-ework-group-gdansk-1
Remote Senior Azure Architect,Architecture,Azure,Senior,Novaris,Remote,,31920  – 35280  PLN,"""Azure"" ""Terraform"" ""Bicep"" ""Puppet"" ""PowerShell"" ""Python"" ""Bash"" ""GitHub"" ""Azure Pipelines"" ""Angielski (B2)"" ""Polski (B2)"" ",,https://nofluffjobs.com/pl/job/remote-senior-azure-architect-novaris
Business Intelligence Consultant,Business Intelligence,,Mid,ScriptFactory Sp. z o.o.,Remote,,13440  – 20160  PLN,"""SQL"" ""ETL"" ""SQL Server"" ""Team player"" ""Communication skills"" ""Critical thinking"" ""Problem solving"" ""Proactivity"" ""T-SQL"" ""Python"" ""Azure"" ""Spark"" ""Spark SQL"" ""Polski"" ""Angielski"" ","""Data warehouse modeling"" ""Project organization"" ""Databricks"" ",https://nofluffjobs.com/pl/job/business-intelligence-consultant-scriptfactory-remote
Project Manager (part -time),Project Manager,,Mid,Sigma IT Poland,Remote,13800  – 18000  PLN,16800  – 21840  PLN,"""Project management"" ""ERP"" ""Project Data Management"" ""PLM systems"" ""master data"" ""Polski (NATIVE)"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/project-manager-part-time-sigma-it-poland-remote-1
Senior Data Engineer,Data,,Senior,Zowie,Remote,,18000  – 24000  PLN,"""Data engineering"" ""Data modeling"" ""Data integration"" ""ETL"" ""Extract, transform, and load"" ""Data migration"" ""Data Lakes"" ""Data Hubs"" ""Data warehouses"" ""Cloud"" ""Angielski (B2)"" ""Polski (C1)"" ","""PostgreSQL"" ""BigQuery"" ""CloudComposer"" ",https://nofluffjobs.com/pl/job/senior-data-engineer-zowie-remote
PHP Backend Developer - Laravel,Backend,PHP,Mid,Sailing Byte,Remote,,10000  – 15000  PLN,"""PHP"" ""HTML"" ""CSS"" ""Laravel"" ""Angielski (B2)"" ","""CI/CD"" ""JQuery"" ""Ajax"" ""CMS"" ""WordPress"" ""Joomla"" ""Unit testing"" ",https://nofluffjobs.com/pl/job/php-backend-developer-laravel-sailing-byte-remote
UX Product Manager (Kraków),Design,,Mid,Link Group,Kraków,18000  – 25000  PLN,,"""Communication skills"" ""UX design"" ""Product design"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/ux-product-manager-krakow-link-group-krakow
Remote Senior Data Engineer,Data,Python,Senior,Kingfisher plc.,Remote,22000  – 25000  PLN,,"""Python"" ""AWS"" ""SQL"" ""Angielski (B2)"" ","""Azure"" ""Polski"" ",https://nofluffjobs.com/pl/job/remote-senior-data-engineer-kingfisher-plc-
Senior Akeneo Developer,ERP,,Senior,Exorigo-Upos S. A.,Remote,,10000  – 20000  PLN,"""PIM"" ""Magento"" ""ERP"" ""CRM"" ""REST API"" ""SOAP"" ""MySQL"" ""Polski"" ",,https://nofluffjobs.com/pl/job/senior-akeneo-developer-exorigo-upos-remote
Senior DevOps Engineer,DevOps,Python,Senior,Exorigo-Upos S. A.,Remote,,10000  – 20000  PLN,"""DevOps"" ""ELK Stack"" ""Grafana"" ""Prometheus"" ""MS SQL"" ""CA"" ""Bash"" ""Python"" ""PowerShell"" ""Ansible"" ""Puppet"" ""CI/CD"" ""GitLab"" ""Jenkins"" ""Docker"" ""Linux"" ""Angielski"" ","""SOAP"" ""REST API"" ""Microsoft Azure"" ""Google Cloud Platform"" ""AWS"" ""Jira"" ""Redmine"" ",https://nofluffjobs.com/pl/job/senior-devops-engineer-exorigo-upos-remote
