Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Deep Learning Engineer,AI,,Mid,in4ge sp. z o.o.,Remote,,18000  – 28000  PLN,"""Keras"" ""TensorFlow"" ""PyTorch"" ""Angielski (B2)"" ""Polski (C1)"" ",,https://nofluffjobs.com/pl/job/deep-learning-engineer-in4ge-remote
Machine Learning Engineer,AI,,Mid,in4ge sp. z o.o.,Remote,,18000  – 26000  PLN,"""Python"" ""TensorFlow"" ""PyTorch"" ""ML"" ""Angielski (B2)"" ""Polski (C1)"" ",,https://nofluffjobs.com/pl/job/machine-learning-engineer-in4ge-remote
Senior Data Scientist,AI,,Senior,in4ge sp. z o.o.,Remote,,20000  – 28000  PLN,"""Data science"" ""Deep learning"" ""Python"" ""R"" ""TensorFlow"" ""PyTorch"" ""scikit-learn"" ""Computer vision"" ""Machine learning"" ""Angielski (B2)"" ""Polski (C1)"" ",,https://nofluffjobs.com/pl/job/senior-data-scientist-in4ge-remote
Remote .NET Developer,Fullstack,.NET,Senior,Prognetics,Remote,,23520  – 28560  PLN,"""REST API"" ""JavaScript"" ""TypeScript"" ""DevOps"" ""CAN"" ""SQL"" ""Git"" ""OAuth"" ""SDLC"" "".NET"" ""Angielski (B2)"" ""Polski (C1)"" ","""Azure"" ""SOA"" ""Microservices"" ""RabbitMQ"" ""Kubernetes"" ""NoSQL"" ",https://nofluffjobs.com/pl/job/remote-net-developer-prognetics-1
Java Cloud Engineer,Fullstack,Java,Mid,Infoniqa Poland Sp. z o.o.,Remote,17500  – 22500  PLN,21840  – 28560  PLN,"""Java"" ""Spring"" ""Hibernate"" ""Microsoft Azure"" ""Docker"" ""Kubernetes"" ""Kafka"" ""React"" ""Spring Boot"" ""REST API"" ""Angielski (B2)"" ","""JavaScript"" ""HTML"" ""MS SQL"" ""CSS"" ""JSP"" ""GraphQL"" ""CQRS"" ""PostgreSQL"" ""Terraform"" ""Ansible"" ""CI/CD Pipelines"" ""Maven"" ""GitLab"" ""TypeScript"" ",https://nofluffjobs.com/pl/job/java-cloud-engineer-infoniqa-poland-remote-2
Senior Python Developer z wiedzą bio/ chemiczną,Backend,Python,Senior,Code Poets sp. z o.o.,Remote,,16800  – 23520  PLN,"""Python"" ""Git"" ""Polski"" ""Angielski"" ","""React"" ""Docker"" ""Linux"" ""Django"" ""Celery"" ""CSS"" ""Angular"" ",https://nofluffjobs.com/pl/job/senior-python-developer-z-wiedza-bio-chemiczna-code-poets-remote
3D Developer,Game dev,,Senior,in4ge sp. z o.o.,Remote,,18480  – 23520  PLN,"""Unreal Engine"" ""Blueprints"" ""Maya"" ""Redshift"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/3d-developer-in4ge-remote
Senior Python Developer with Front End skills,Fullstack,Python,Senior,AVENGA,Gdynia,15500  – 18000  PLN,20160  – 23520  PLN,"""Python"" ""Angular"" ""Flask"" ""Angielski (B2)"" ","""Polski"" ",https://nofluffjobs.com/pl/job/senior-python-developer-with-front-end-skills-avenga-gdynia
Programista BI,Business Intelligence,,Mid,Leroy Merlin Polska,Warszawa,8800  – 17300  PLN,,"""SQL"" ""Looker"" ""Google Cloud Platform"" ""GitHub"" ""Power BI"" ""Polski (NATIVE)"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/programista-bi-leroy-merlin-polska-warszawa-1
Senior PHP (Full Stack) Engineer,Fullstack,PHP,Senior,Proxet,Wroclaw,,21950  – 25941  PLN,"""PHP"" ""Symfony"" ""Angular"" ""REST API"" ""Git"" ""CI/CD"" ""JavaScript"" ""HTML"" ""CSS"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-php-full-stack-engineer-proxet-wroclaw
