Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Mid Fullstack Python Developer,Fullstack,Python,Mid,Lokey,Remote,,7000  – 12000  PLN,"""Python"" ""Vue.js"" ""VueJs"" ""Angielski"" ""Polski"" ","""Git"" ""vue.js"" ""REST"" ""Flask"" ",https://nofluffjobs.com/pl/job/mid-fullstack-python-developer-lokey-remote
Scrum Master/Project Manager,Inne IT,,Mid,Knowit,Remote,9000  – 14500  PLN,13440  – 20160  PLN,"""Communication skills"" ""Data engineering"" ""Project management"" ""Polski"" ""Angielski (B2)"" ","""SAFe"" ",https://nofluffjobs.com/pl/job/scrum-master-project-manager-knowit-remote
Senior DevOps Engineer,DevOps,GCP,Senior,Adaptiq,Remote,26117  – 27323  PLN,26117  – 27323  PLN,"""GCP"" ""Kubernetes"" ""MySQL"" ""MongoDB"" ""Redis"" ""GitHub Actions"" ""Jenkins"" ""production environments"" ""CI/CD"" ""Angielski"" ","""Terraform"" ""Kubernetes Operators"" ""React"" ",https://nofluffjobs.com/pl/job/senior-devops-engineer-adaptiq-remote-1
Platform Engineer,DevOps,,Senior,AVSystem,Kraków,,18000  – 28000  PLN,"""Kubernetes"" ""Linux"" ""Prometheus"" ""Thanos"" ""Terraform"" ""Ansible"" ""ArgoCD"" ""Flux"" ""Rancher Fleet"" ""SRE"" ""DevOps"" ""Angielski (B2)"" ","""Python"" ""Go"" ""Shell"" ""GCP"" ""Istio"" ""Cilium"" ",https://nofluffjobs.com/pl/job/platform-engineer-avsystem-krakow
Senior Akeneo Developer,ERP,,Senior,Exorigo-Upos S. A.,Remote,,10000  – 20000  PLN,"""PIM"" ""Magento"" ""ERP"" ""CRM"" ""REST API"" ""SOAP"" ""MySQL"" ""Polski"" ",,https://nofluffjobs.com/pl/job/senior-akeneo-developer-exorigo-upos-remote
Senior DevOps Engineer,DevOps,Python,Senior,Exorigo-Upos S. A.,Remote,,10000  – 20000  PLN,"""DevOps"" ""ELK Stack"" ""Grafana"" ""Prometheus"" ""MS SQL"" ""CA"" ""Bash"" ""Python"" ""PowerShell"" ""Ansible"" ""Puppet"" ""CI/CD"" ""GitLab"" ""Jenkins"" ""Docker"" ""Linux"" ""Angielski"" ","""SOAP"" ""REST API"" ""Microsoft Azure"" ""Google Cloud Platform"" ""AWS"" ""Jira"" ""Redmine"" ",https://nofluffjobs.com/pl/job/senior-devops-engineer-exorigo-upos-remote
Senior C++ Developer,Embedded,C++,Senior,Code Poets sp. z o.o.,Remote,16800  – 23520  PLN,,"""C++"" ""Blockchain"" ""Ethereum"" ""CAN"" ""Solidity"" ""Degree"" ""Boost"" ""RPG"" ""Angielski (C1)"" ""Polski (NATIVE)"" ","""GitHub"" ""CMake"" ""Git"" ",https://nofluffjobs.com/pl/job/senior-c-developer-code-poets-remote-2
Magento Developer,Backend,PHP,Senior,Exorigo-Upos S. A.,Remote,,10000  – 20000  PLN,"""Magento"" ""PHP"" ""HTML"" ""CSS"" ""JavaScript"" ""jQuery"" ""XML"" ""MySQL"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/magento-developer-exorigo-upos-remote
Senior Python Developer z wiedzą bio/ chemiczną,Backend,Python,Senior,Code Poets sp. z o.o.,Remote,,16800  – 23520  PLN,"""Python"" ""Git"" ""Polski"" ""Angielski"" ","""React"" ""Docker"" ""Linux"" ""Django"" ""Celery"" ""CSS"" ""Angular"" ",https://nofluffjobs.com/pl/job/senior-python-developer-z-wiedza-bio-chemiczna-code-poets-remote
Full Stack Senior Software Developer,Fullstack,.NET,Senior,Orbus Software Sp. z o.o.,Remote,,18000  – 22000  PLN,"""C#"" "".NET"" ""React"" ""TypeScript"" ""SQL Server"" ""Azure"" ""Object-oriented programming"" ""Microservices"" ""Angielski (B2)"" ","""SaaS"" ""Git"" ""Domain Driven Design"" ""AI"" ""Kubernetes"" ",https://nofluffjobs.com/pl/job/full-stack-senior-software-developer-orbus-software-remote
