Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Remote PHP Developer,Backend,PHP,Mid,Cleeng sp.z.o.o,Remote,10000  – 15700  PLN,11000  – 17000  PLN,"""PHP"" ""OPP"" ""REST API"" ""Angielski (C2)"" ",,https://nofluffjobs.com/pl/job/remote-php-developer-cleeng-3
Middle/Senior Full-Stack Engineer (Node/React),Fullstack,,Mid,Innovecs,Remote,,13189  – 21982  PLN,"""Node.js"" ""React"" ""Angielski (B2)"" ","""Serverless computing"" ",https://nofluffjobs.com/pl/job/middle-senior-full-stack-engineer-node-react-innovecs-remote
Senior Software Engineer (Java/Kotlin+JavaScript),Fullstack,,Senior,Innovecs,Remote,,17986  – 24780  PLN,"""Kotlin"" ""Java"" ""Spring"" ""Hibernate"" ""Gradle"" ""Maven"" ""Git"" ""Jira"" ""User stories"" ""Angielski (B2)"" ","""JavaScript"" ",https://nofluffjobs.com/pl/job/senior-software-engineer-java-kotlin-javascript-innovecs-remote
Senior Remote Devops Engineer (Kubernetes expert),DevOps,kubernetes,Senior,Qualicode,Remote,,21982  – 31975  PLN,"""Kubernetes"" ""AWS"" ""DevOps"" ""Docker"" ""linux"" ""Helm Charts"" ""Angielski (B2)"" ","""OpenShift"" ""Open source"" ""Golang"" ""Network protocols"" ",https://nofluffjobs.com/pl/job/senior-remote-devops-engineer-kubernetes-expert-qualicode
Full-Stack Engineer with AWS Expertise,Fullstack,,Senior,Adaptiq,Remote,25180  – 25979  PLN,25180  – 25979  PLN,"""AWS"" ""AWS S3"" ""serverless architecture"" ""SQL"" ""NoSQL"" ""Node.js"" ""React"" ""REST API"" ""HTML"" ""CSS"" ""JavaScript"" ""AWS Bedrock/ML"" ""Amazon Kendra"" ""AWS services"" ""Angielski"" ","""AngularJS"" ""Machine learning"" ""Deep learning"" ",https://nofluffjobs.com/pl/job/full-stack-engineer-with-aws-expertise-adaptiq-remote
Python Engineer,Backend,Python,Senior,Adaptiq,Remote,25180  – 25979  PLN,25180  – 25979  PLN,"""Python"" ""Django"" ""Celery"" ""AWS"" ""MongoDB"" ""AWS S3"" ""serverless architecture"" ""CI/CD"" ""Jenkins"" ""Docker"" ""Kubernetes"" ""SQL"" ""NoSQL"" ""Angielski"" ","""Machine learning"" ""Deep learning"" ",https://nofluffjobs.com/pl/job/python-engineer-adaptiq-remote
Automation Quality Assurance Specialist Mid/Senior,Testing,PLAYWRIGHT,Mid,Monogo,Warszawa,10000  – 18000  PLN,10000  – 20000  PLN,"""PLAYWRIGHT"" ""Test automation"" ""Cypress"" ""Angielski"" ","""CMS"" ""CAN"" ""Git"" ""JavaScript"" ""Java"" ""Magento"" ""DevOps"" ""Test case"" ""CI/CD Pipelines"" ""Jenkins"" ""JMeter"" ",https://nofluffjobs.com/pl/job/automation-quality-assurance-specialist-mid-senior-monogo-warszawa
DevOps Engineer (Azure),DevOps,,Senior,DahliaMatic Sp. z o.o.,Warszawa,,28000  – 39000  PLN,"""DevOps"" ""Azure"" ""Polski (NATIVE)"" ""Angielski (B2)"" ","""Java"" ""Kubernetes"" ",https://nofluffjobs.com/pl/job/devops-engineer-azure-dahliamatic-warszawa-1
Mid / Senior Embedded C Developer,Embedded,C,Mid,Antal Poland,Kraków,17000  – 25000  PLN,17000  – 25000  PLN,"""C"" ""FreeRTOS"" ""ARM"" ""I2C"" ""SPI"" ""CAN"" ""SVN"" ""Git"" ""Polski"" ""Angielski (B1)"" ","""CI/CD"" ""Docker"" ""Linux"" ""JavaScript"" ""HTML"" ""CSS"" ""C#"" ""PC"" ""Python"" ""Django"" ""Windows"" ""TCP"" ""MODBUS"" ""Bluetooth"" ""Jenkins"" ""Altium"" ",https://nofluffjobs.com/pl/job/mid-senior-embedded-c-developer-antal-poland-krakow
FullStack Developer (Backend 70%),Fullstack,Java,Senior,Devire,Kraków,,23000  – 28000  PLN,"""Java"" ""JavaScript"" ""React"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/fullstack-developer-backend-70--devire-krakow
PHP Developer,Backend,PHP,Mid,XTB,Remote,10000  – 17000  PLN,10000  – 17000  PLN,"""PHP"" ""Symfony 3"" ""OOP"" ""SQL/MySQL"" ""Javascript"" ""Git"" ""Linux/Ubuntu"" ""Polski"" ","""Redis"" ""Elasticsearch"" ""Docker"" ""tdd"" ""Jenkins"" ""SQL"" ""GitLab"" ""Varnish"" ""TDD"" ""Selenium"" ""Continuous integration"" ""CI"" ",https://nofluffjobs.com/pl/job/php-developer-xtb-remote-1
Embedded Software Developer,Embedded,C++,Senior,Ework Group,Kraków,15000  – 25000  PLN,20160  – 28560  PLN,"""C++"" ""C"" ""Python"" ""Linux"" ""Embedded C++"" ""Embedded C"" ""Embedded system"" ""Angielski (C1)"" ","""QNX"" ""AUTOSAR"" ""Polski (C1)"" ",https://nofluffjobs.com/pl/job/embedded-software-developer-ework-group-krakow
Inżynier Systemu,Sys. Administrator,,Junior,Grafton Recruitment,Warszawa,7000  – 12000  PLN,,"""Windows"" ""Linux"" ""SQL Server"" ""MySQL"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/inzynier-systemu-grafton-recruitment-warszawa
Data Engineer with Snowflake,Data,Snowflake,Senior,VirtusLab,Remote,15500  – 20500  PLN,21000  – 27000  PLN,"""Snowflake"" ""SQL"" ""AWS"" ""Data modeling"" ""Programming"" ""dbt"" ""Terraform"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/data-engineer-with-snowflake-virtuslab-remote-1
