Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Senior C++ Developer,Backend,C++,Senior,OpenVPN,Remote,,24884  – 35252  PLN,"""C++"" ""Linux"" ""Networking"" ""AWS"" ""VPN"" ""Protocols"" ""TCP"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-c-developer-openvpn-remote-1
Software Developer,DevOps,.NET,Mid,Macrobond Financial,Szczecin,8000  – 13000  PLN,,"""Computer science degree/ experience"" ""Communication skills"" ""Problem solving"" ""MySQL & PgSQL"" "".net"" ""rest"" ""Http"" ""json"" ""integration"" ""C#"" ""Web API"" ""Angielski (B2)"" ""Polski"" ","""Team player"" ""Critical thinking"" ""MS Excel"" ",https://nofluffjobs.com/pl/job/software-developer-macrobond-financial-szczecin
Mid Fullstack Python Developer,Fullstack,Python,Mid,Lokey,Remote,,7000  – 12000  PLN,"""Python"" ""Vue.js"" ""VueJs"" ""Angielski"" ""Polski"" ","""Git"" ""vue.js"" ""REST"" ""Flask"" ",https://nofluffjobs.com/pl/job/mid-fullstack-python-developer-lokey-remote
Junior QA Exploratory Tester,Testing,Android,Senior,HSBC Technology Poland,Kraków,6000  – 8000  PLN,,"""Jira"" ""Confluence"" ""Testing"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/junior-qa-exploratory-tester-hsbc-technology-poland-krakow
Senior Backend Node.js Engineer,Backend,Node.js,Senior,Adaptiq,Remote,26128  – 26958  PLN,26128  – 26958  PLN,"""AWS"" ""AWS S3"" ""serverless architecture"" ""SQL"" ""NoSQL"" ""Node.js"" ""React"" ""REST API"" ""HTML"" ""CSS"" ""JavaScript"" ""AWS Bedrock/ML"" ""Amazon Kendra"" ""AWS services"" ""Angielski"" ","""AngularJS"" ""Machine learning"" ""Deep learning"" ",https://nofluffjobs.com/pl/job/senior-backend-node-js-engineer-adaptiq-remote
Senior DevOps Engineer,DevOps,GCP,Senior,Adaptiq,Remote,26958  – 28202  PLN,26958  – 28202  PLN,"""GCP"" ""Kubernetes"" ""MySQL"" ""MongoDB"" ""Redis"" ""GitHub Actions"" ""Jenkins"" ""production environments"" ""CI/CD"" ""Angielski"" ","""Terraform"" ""Kubernetes Operators"" ""React"" ",https://nofluffjobs.com/pl/job/senior-devops-engineer-adaptiq-remote-1
Operator (frezer/tokarz) CNC,Automatyka,,Mid,L.M. Group Poland,Poznań,5000  – 7000  PLN,,"""Polski"" ",,https://nofluffjobs.com/pl/job/operator-frezer-tokarz-cnc-l-m-group-poland-poznan
Information Security Manager,Security,,Senior,BinaryCortex LLC,Remote,,25000  – 32000  PLN,"""Networks"" ""Security"" ""Docker"" ""Kubernetes"" ""Cybersecurity"" ""Git"" ""Angielski"" ","""Cassandra"" ""Kafka"" ""Redis"" ""IP routing"" ""SIEM"" ",https://nofluffjobs.com/pl/job/information-security-manager-binarycortex-llc-remote
Remote Senior DevOps Engineer,DevOps,Jenkins,Senior,Kingfisher plc.,Remote,27000  – 31000  PLN,,"""DevOps"" ""CAN"" ""Jenkins"" ""Public cloud"" ""OpenStack"" ""AWS"" ""Google cloud"" ""Angielski (B2)"" ","""Azure"" ""Polski"" ",https://nofluffjobs.com/pl/job/remote-senior-devops-engineer-kingfisher-plc--1
.Net Fullstack Developer,Fullstack,.NET,Mid,Avenga,Remote,,25200  – 28560  PLN,""".NET"" "".NET CORE"" ""JavaScript"" ""TDD"" ""Unit testing"" ""Automated testing"" ""Web services"" ""Bitbucket"" ""Git"" ""Angielski (B2)"" ","""React"" ""React native"" ""Docker"" ""CI/CD"" ",https://nofluffjobs.com/pl/job/net-fullstack-developer-avenga-remote-1
Senior Java Trading Systems Developer / Tech Lead,Backend,Java,Expert,"Koliber Services - for Bank of Montreal, Capital Markets",Remote,,28000  – 32000  PLN,"""Degree"" ""Java"" ""Data structures"" ""Git"" ""SQL"" ""Angielski (C1)"" ","""JUnit"" ""PostgreSQL"" ""FIX Protocol"" ",https://nofluffjobs.com/pl/job/senior-java-trading-systems-developer-tech-lead-koliber-services-for-bank-of-montreal-capital-markets-remote
