Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Maintenance Technician,Automatyka,,Mid,Axos Group,Grudziądz,6000  – 8000  PLN,,"""PLC"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/maintenance-technician-axos-group-grudziadz
Maintenance Technician,Automatyka,,Mid,Axos Group,Koszalin,6000  – 7500  PLN,,"""SEP"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/maintenance-technician-axos-group-koszalin
Mobile Engineer (iOS),Mobile,iOS,Mid,OLX,Remote,16000  – 20000  PLN,,"""iOS"" ""Swift"" ""REST API"" ""Flutter"" ""SwiftUI"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/mobile-engineer-ios-olx-remote
Cloud Enginner,DevOps,Ansible,Mid,PKO Finat Sp. z o.o.,Remote,,21840  – 30240  PLN,"""GCP"" ""Ansible"" ""Polski"" ","""Docker"" ""OpenShift"" ""Kubernetes"" ",https://nofluffjobs.com/pl/job/cloud-enginner-pko-finat-remote-1
DevOps Tech Lead,DevOps,,Senior,Lingaro,Remote,,28560  – 38640  PLN,"""DevOps"" ""Azure Cloud"" ""Docker"" ""Kubernetes"" ""Prometheus"" ""Terraform"" ""K8s"" ""Networking"" ""monitoring"" ""Azure"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/devops-tech-lead-lingaro-remote
Junior Java Developer,Fullstack,Java,Junior,Bersi Sp. z o.o.,Bydgoszcz,4000  – 8000  PLN,,"""Java"" ""JavaScript"" ""SQL"" ""HTML"" ""CSS"" ""Spring"" ""Hibernate"" ""SOAP"" ""REST API"" ","""Maven"" ""Git"" ""Jenkins"" ""PostgreSQL"" ""Tomcat"" ""Linux"" ""Angielski (B1)"" ",https://nofluffjobs.com/pl/job/junior-java-developer-bersi-bydgoszcz-1
MES Developer,ERP,,Mid,Link Group,Kraków,10000  – 16000  PLN,,"""MES"" ""Relational database"" ""Oracle"" ""Angielski"" ","""PL/SQL"" ""Python"" ""XML"" ",https://nofluffjobs.com/pl/job/mes-developer-link-group-krakow
Inżynier Procesu,Automatyka,,Mid,Talent Partners,Tychy,8000  – 10000  PLN,,"""MS Office"" ""Rysunek techniczny"" ""Procesy produkcyjne"" ""Procesy montażowe"" ""IATF 16949"" ""FMEA"" ""Control Plan"" ""TPM"" ""Angielski"" ","""Niemiecki"" ",https://nofluffjobs.com/pl/job/inzynier-procesu-talent-partners-tychy
Senior JavaScript Developer (AI projects),AI,Node.js,Senior,10Clouds,Remote,15000  – 25000  PLN,17000  – 28000  PLN,"""Node.js"" ""JavaScript"" ""Git"" ""Express.js"" ""Linux/Unix"" ""Proactivity"" ""Communication skills"" ""Node"" ""React"" ""TypeScript"" ""CAN"" ""Kubernetes"" ""SQL"" ""NoSQL"" ""AI"" ""Angielski"" ","""Scrum"" ""AWS"" ""Docker"" ""Agile"" ""Next.js"" ""Vue.js"" ",https://nofluffjobs.com/pl/job/senior-javascript-developer-ai-projects-10clouds-remote
Senior Scala Engineer,Backend,Scala,Senior,Sumo Logic,Remote,20000  – 27000  PLN,,"""Scala"" ""Strong coding skills"" ""Troubleshooting skills"" ""Unix"" ""TCP/IP fundamentals"" ""Distributed systems"" ""BSc or MSc in Computer Science (or STEM)"" ""4+ years of experience"" ""AWS"" ""Java"" ""Angielski (B2)"" ","""Linux"" ""Docker"" ""Kafka"" ""Team player"" ""Problem solving"" ""NoSQL"" ""Elasticsearch"" ""Zookeeper"" ""TDD"" ""High Availability"" ""Scalability"" ""Self-driven"" ""Kubernetes"" ""Terraform"" ""Polski"" ",https://nofluffjobs.com/pl/job/senior-scala-engineer-sumo-logic-remote-2
