Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Senior Data Engineer,Data,BigQuery,Senior,SentinelOne,Remote,17720  – 23036  PLN,,"""Automated testing"" ""Python"" ""BigQuery"" ""Angielski (B2)"" ","""Python"" ""Jenkins"" ""VMware"" ",https://nofluffjobs.com/pl/job/senior-data-engineer-sentinelone-remote
Staff Site Reliability Engineer,DevOps,,Expert,SentinelOne,Remote,21264  – 28352  PLN,,"""AWS"" ""Kubernetes"" ""Angielski (B2)"" ","""Python"" ""Terraform"" ""Azure"" ""GCP"" ""Kafka"" ""Redis"" ",https://nofluffjobs.com/pl/job/staff-site-reliability-engineer-sentinelone-remote
Ruby / Ruby on Rails - Backend Engineer,Backend,Ruby on Rails,Senior,Knowde,Remote,,18000  – 25000  PLN,"""Ruby"" ""Ruby on Rails"" ""SQL"" ""Web service"" ""Angielski (C1)"" ""Polski (C2)"" ","""Elasticsearch"" ""AWS"" ""Python"" ""Golang"" ",https://nofluffjobs.com/pl/job/ruby-ruby-on-rails-backend-engineer-knowde-remote-1
Project Manager,Project Manager,,Mid,Devire,Warsaw,,14280  – 15960  PLN,"""Audit"" ""Stakeholder management"" ""Angielski"" ","""PM"" ",https://nofluffjobs.com/pl/job/project-manager-devire-warsaw
(Remote) Data Engineer,Data,Apache NiFi,Mid,Ness Solution Sp. z o. o.,Remote,,21000  – 26880  PLN,"""Apache NiFi"" ""Python"" ""ETL"" ""Polski (C1)"" ","""Azure"" ""PostgreSQL"" ""Bash script"" ",https://nofluffjobs.com/pl/job/remote-data-engineer-ness-solution
(Remote) Programista Power BI + Azure,Business Intelligence,,Mid,Ness Solution Sp. z o. o.,Remote,,21000  – 25200  PLN,"""Power BI"" ""Azure"" ""Polski (C1)"" ","""PostgreSQL"" ",https://nofluffjobs.com/pl/job/remote-programista-power-bi-azure-ness-solution
DevOps Engineer,DevOps,Ansible,Senior,Fluke,Remote,,18480  – 30240  PLN,"""Ansible"" ""AWS"" ""Kubernetes"" ""Python"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/devops-engineer-fluke-remote
Engineering Tools Specialist,IT Support,,Mid,Fluke,Wroclaw,7000  – 13000  PLN,,"""CAD"" ""Python"" ""JavaScript"" ""Angielski (B2)"" ","""Niemiecki"" ",https://nofluffjobs.com/pl/job/engineering-tools-specialist-fluke-wroclaw
Principal Fullstack Engineer,Fullstack,.NET,Expert,Fluke Reliability,Remote,,25200  – 42000  PLN,"""Degree"" ""AWS"" ""Azure"" ""RabbitMQ"" ""CSS"" ""Sass"" ""UX"" ""Continuous integration"" ""Communication skills"" ""React"" "".NET"" ""Angielski (B2)"" ","""Domain-driven design"" "".NET"" ""REST API"" ""GraphQL"" ""React"" ""TypeScript"" ",https://nofluffjobs.com/pl/job/principal-fullstack-engineer-fluke-reliability-remote
Implementation Specialist with English and German,IT Support,,Mid,Fluke Reliability,Remote,5500  – 10000  PLN,,"""Degree"" ""Communication skills"" ""Angielski (B2)"" ""Niemiecki (B2)"" ",,https://nofluffjobs.com/pl/job/implementation-specialist-with-english-and-german-fluke-reliability-remote
