Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Java Developer,Backend,Java,Mid,Lingaro,Remote,,18480  – 26880  PLN,"""Java"" ""Spring"" ""Microsoft Azure"" ""Angielski (B2)"" ","""Big Data"" ",https://nofluffjobs.com/pl/job/java-developer-lingaro-remote-6
FinOps Specialist,Business Analysis,,Mid,Link Group,Warszawa,,18480  – 25200  PLN,"""PowerBI"" ""Azure"" ""SQL"" ""Angielski (B2)"" ""Polski (B2)"" ",,https://nofluffjobs.com/pl/job/finops-specialist-link-group-warszawa
Junior Frontend Software Engineer (Angular),Frontend,Angular,Junior,vonRoll Infratec.com,Kraków,10000  – 16000  PLN,10000  – 16000  PLN,"""Angular"" ""JavaScript"" ""CSS"" ""HTML"" ""Git"" ""Ionic"" ""HTML5"" ""CSS3"" ""Angielski"" ""Polski"" ","""Sass"" ""Protractor"" ""Cypress"" ",https://nofluffjobs.com/pl/job/junior-frontend-software-engineer-angular-vonroll-infratec-com-krakow
Java Developer with React,Frontend,React,Mid,Objectivity - part of Accenture,Remote,10000  – 17500  PLN,15960  – 26880  PLN,"""Java 11/17"" ""JUnit5"" ""Java"" ""React"" ""Degree"" ""DevOps"" ""Kotlin"" ""Angielski (B2)"" ","""Microservices"" ""React"" ""TypeScript"" ""AWS"" ""Spring Integration"" ""Mockito"" ",https://nofluffjobs.com/pl/job/java-developer-with-react-objectivity-part-of-accenture-remote
Remote Senior DevOps,DevOps,Jenkins,Senior,RemoDevs,Remote,,30131  – 34767  PLN,"""DevOps"" ""AWS"" ""Jenkins"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/remote-senior-devops-remodevs
Mobile Profiler Software Engineer,Mobile,,Mid,Mangopay Group,Remote,,17000  – 20000  PLN,"""Android and iOS"" ""Android"" ""iOS"" ""CI/CD"" ""Python"" ""Design Patterns"" ""Unix"" ""SQL"" ""HTTP"" ""Docker"" ""Kubernetes"" ""Angielski (B2)"" ","""JavaScript"" ""Networking"" ""Protocols"" ""Objective-C"" ""Swift"" ""Big Data"" ""Hadoop"" ""Amazon EMR"" ""AWS"" ",https://nofluffjobs.com/pl/job/mobile-profiler-software-engineer-mangopay-group-remote
Automatyk - Elektryk,Automatyka,,Mid,Tubądzin Management Group Sp. z o.o.,Ozorków,6500  – 7000  PLN,,"""PLC"" ""Polski"" ",,https://nofluffjobs.com/pl/job/automatyk-elektryk-tubadzin-management-group-ozorkow
Python DevOps Developer,DevOps,Python,Senior,Sigma IT Poland,Remote,14600  – 21200  PLN,17600  – 25600  PLN,"""Python"" ""AWS"" ""MySQL"" ""PostgreSQL"" ""Docker"" ""Git"" ""Angielski"" ","""Flask"" ""pandas"" ""Jenkins"" ""polars"" ",https://nofluffjobs.com/pl/job/python-devops-developer-sigma-it-poland-remote-1
DevOps Engineer,DevOps,,Mid,SPEEDNET SP. Z O.O.,Remote,,17000  – 22000  PLN,"""DevOps"" ""Linux"" ""Windows"" ""Docker"" ""CI/CD"" ""Git"" ""Gitflow"" ""Prometheus"" ""Angielski (B2)"" ","""Ansible"" ""Terraform"" ""GCP"" ""CDN"" ""Jenkins"" ",https://nofluffjobs.com/pl/job/devops-engineer-speednet-remote
Golang / C++ for Linux Engineer,Backend,Golang,Mid,Adaptiq,Remote,21848  – 26218  PLN,21848  – 26218  PLN,"""C++"" ""Networking"" ""Protocols"" ""Golang"" ""Angielski"" ","""NoSQL"" ""cloud environment"" ""DevOps mentality"" ",https://nofluffjobs.com/pl/job/golang-c-for-linux-engineer-adaptiq-remote
