Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Senior lead engineer,Backend,Java,Expert,AppVelocity Inc,Kraków,,20000  – 32000  PLN,"""Java"" ""Spring"" ""Spring Boot"" ""REST API"" ""JPA"" ""Design Patterns"" ""Redis"" ""RDBMS"" ""MySQL"" ""Angielski (C2)"" ","""RabbitMQ"" ""Microservices"" ""Spring Cloud"" ""PostgreSQL"" ",https://nofluffjobs.com/pl/job/senior-lead-engineer-appvelocity-krakow
Wi-Fi Embedded Firmware Engineer,Embedded,C,Senior,Ubiquiti Inc.,Kraków,16000  – 23000  PLN,,"""C"" ""Linux"" ""Git"" ""Bash"" ""Shell"" ""Python"" ""Angielski"" ""Polski"" ","""C++"" ""ARM"" ""Embedded Linux"" ""Clean Code"" ""OpenWRT"" ""Protocols"" ""SPI"" ""I2C"" ""Ethernet"" ",https://nofluffjobs.com/pl/job/wi-fi-embedded-firmware-engineer-ubiquiti-krakow
Linux Developer,Embedded,C,Senior,Ubiquiti Inc.,Kraków,16000  – 24000  PLN,,"""C++"" ""C"" ""Linux"" ""Bash"" ""Angielski"" ""Polski"" ","""ONL"" ""SnapRoute"" ""Cumulus Network"" ""OpenSwitch"" ""BSP"" ",https://nofluffjobs.com/pl/job/linux-developer-ubiquiti-krakow
QA Engineer - Manual Testing,Testing,,Mid,Ubiquiti Inc.,Kraków,10000  – 16000  PLN,,"""QA"" ""UX"" ""UI"" ""REST API"" ""Web applications"" ""Networking"" ""Angielski"" ""Polski"" ","""Web security"" ""OWASP"" ""OAuth"" ""TCP"" ""Docker"" ""Linux"" ""Clean Code"" ""SVC"" ",https://nofluffjobs.com/pl/job/qa-engineer-manual-testing-ubiquiti-krakow
Motion Graphic Designer,Design,,Mid,EasyLlama,Remote,6500  – 8000  PLN,,"""Animation"" ""Adobe After Effect"" ""Adobe Premiere"" ""Photoshop"" ""Illustrator"" ""Typography"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/motion-graphic-designer-easyllama-remote-3
"Senior LEAD - Frontend Developer ( React, Java)",Frontend,React,Expert,AppVelocity Inc,Katowice,,20000  – 30000  PLN,"""React"" ""JavaScript"" ""HTML5"" ""CSS3"" ""Redux"" ""TypeScript"" ""Webpack"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-lead-frontend-developer-react-java-appvelocity-katowice
Analityk DWH (Data Warehouse),Data,SQL,Senior,Square One Resources,Warsaw,,18000  – 25000  PLN,"""SQL"" ""Data warehouse"" ""Data modeling"" ""Process modelling"" ""ETL"" ""Angielski"" ","""Agile"" ""Microsoft Azure"" ",https://nofluffjobs.com/pl/job/analityk-dwh-data-warehouse-square-one-resources-warsaw
Senior Azure Devops Engineer (IaC),DevOps,,Senior,EPAM,Remote,14000  – 21000  PLN,21100  – 24100  PLN,"""Azure"" ""DevOps"" ""IaC"" ""WAF"" ""API"" ""Gateway"" ""Azure Event Hub"" ""AKS"" ""Azure Kubernetes Service"" ""Terraform"" ""Azure DevOps"" ""Docker"" ""Angielski"" ","""PostgreSQL"" ",https://nofluffjobs.com/pl/job/senior-azure-devops-engineer-iac-epam-remote
Remote Software Engineer,Backend,Golang,Mid,Mend.io,Remote,25449  – 27469  PLN,28277  – 30297  PLN,"""Golang"" ""Java"" ""NoSQL"" ""AWS"" ""Web Services"" ""REST API"" ""Protocols"" ""MongoDB"" ""Amazon EKS"" ""SAST"" ""Angielski (B2)"" ","""Ruby"" ",https://nofluffjobs.com/pl/job/remote-software-engineer-mend-io
Remote Lead Data Designer/Modeller,Data,SQL,Senior,Kingfisher plc.,Remote,17600  – 29500  PLN,,"""Data modelling"" ""SQL"" ""Data mapping"" ""Angielski (B2)"" ","""Data warehouse"" ""Polski"" ",https://nofluffjobs.com/pl/job/remote-lead-data-designer-modeller-kingfisher-plc-
Cloud Platform Developer,DevOps,Cloud,Mid,EPAM,Remote,14000  – 21000  PLN,21100  – 24100  PLN,"""Cloud platform"" ""DevOps"" ""GCP"" ""Shell"" ""GitHub Actions"" ""Terraform"" ""Service mesh"" ""Istio"" ""Networking"" ""Cloud"" ""Angielski (B2)"" ","""Niemiecki"" ",https://nofluffjobs.com/pl/job/cloud-platform-developer-epam-remote-2
Java Developer - Regulatory Reporting,Backend,Java,Mid,LeoVegas,Warsaw,17000  – 21500  PLN,20000  – 26000  PLN,"""Java"" ""Spring Boot"" ""MySQL"" ""Microservices"" ""Angielski (B2)"" ","""Kotlin"" ""Google cloud platform"" ""Kafka"" ""RabbitMQ"" ",https://nofluffjobs.com/pl/job/java-developer-regulatory-reporting-leovegas-warsaw
Analytics Product Manager,Product Management,,Expert,Railsware,Remote,,20198  PLN,"""SQL"" ""Tableau"" ""Defining business requirements"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/analytics-product-manager-railsware-remote
Senior SAP ABAP Consultant,ERP,,Senior,N-iX,Remote,,30297  – 34336  PLN,"""Degree"" ""SAP"" ""ABAP"" ""SD"" ""HANA"" ""Script"" ""Adobe"" ""EDI"" ""SOAP"" ""Web Services"" ""Angielski"" ","""Fiori"" ""JavaScript"" ""SAP Screen Personas"" ""IS-RETAIL Component"" ""WebDynpro"" ""MDM"" ""SAP  Portal Development"" ",https://nofluffjobs.com/pl/job/senior-sap-abap-consultant-n-ix-remote
Python Developer,Backend,Python,Senior,Hays Poland,Remote,,23520  – 28056  PLN,"""Python"" ""Azure DevOps"" ""Azure Databricks"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/python-developer-hays-poland-remote-3
Technical Support Specialist I (FR/SP),IT Support,,Mid,Jamf,Remote,8750  – 11500  PLN,,"""macOS"" ""Technical Support Experience"" ""Angielski"" ""Hiszpański"" ""Francuski"" ""Polski"" ",,https://nofluffjobs.com/pl/job/technical-support-specialist-i-fr-sp-jamf-remote
Elk Technical Lead,Security,ELK,Senior,emagine Sp. Z o.o.,Remote,,23520  – 30240  PLN,"""ELK"" ""Linux"" ""OpenShift"" ""DevOps"" ""Excel"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/elk-technical-lead-emagine-remote-1
Mid/Senior Kotlin Engineer,Mobile,,Mid,Silvair,Kraków,15000  – 18000  PLN,17000  – 21000  PLN,"""Kotlin"" ""Unit testing"" ""UI"" ""Polski (C1)"" ""Angielski (C1)"" ","""UX"" ""Android"" ""iOS"" ""Continuous integration"" ""Bluetooth"" ",https://nofluffjobs.com/pl/job/mid-senior-kotlin-engineer-silvair-krakow
Cybersecurity Analyst,Security,,Senior,Prewave GmbH,Vienna,15331  – 18637  PLN,,"""Security"" ""Penetration Testing"" ""Angielski"" ","""ISO"" ""NIST"" ""Certified Ethical Hacker"" ""OSCP"" ",https://nofluffjobs.com/pl/job/cybersecurity-analyst-prewave-vienna
React Developer,Frontend,React,Senior,Hays Poland,Remote,,21840  – 26712  PLN,"""React"" ""JavaScript"" ""Polski (B2)"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/react-developer-hays-poland-remote-1
Senior/Middle .NET (C#),Backend,.NET,Mid,Intaker,Remote,,12118  – 24237  PLN,""".NET"" ""C#"" ""SQL"" ""NoSQL"" ""Entity Framework"" ""Microservices"" ""Domain Driven Design"" ""Azure"" ""AWS"" ""GCP"" ""OAuth"" ""RabbitMQ"" ""Redis"" ""Elasticsearch"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-middle-net-c--intaker-remote
Functional Salesforce Tester,Testing,Selenium,Mid,emagine Sp. Z o.o.,Warsaw,,16800  – 20664  PLN,"""UAT"" ""SDLC"" ""STLC"" ""Integration test"" ""E2E"" ""Functional testing"" ""Scrum"" ""Angielski"" ""Polski"" ","""Selenium"" ""Salesforce"" ",https://nofluffjobs.com/pl/job/functional-salesforce-tester-emagine-warsaw
Data Engineer,AI,Scala,Mid,Develocraft,Remote,17000  – 22000  PLN,,"""Python"" ""AWS"" ""Spark"" ""Scala"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/data-engineer-develocraft-remote
Senior Data Engineer,AI,Python,Senior,Develocraft,Remote,18000  – 22000  PLN,23000  – 28500  PLN,"""Python"" ""AWS"" ""Spark"" ""SQL"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-data-engineer-develocraft-remote
Remote Senior NetSuite Developer,ERP,,Senior,DataArt,Remote,,18000  – 23000  PLN,"""NetSuite"" ""ERP"" ""OOP"" ""Design Patterns"" ""CI"" ""CD"" ""Angielski"" ""Polski"" ",,https://nofluffjobs.com/pl/job/remote-senior-netsuite-developer-dataart
