Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Senior IT Analyst,Business Analysis,,Senior,Ework Group,Gdańsk,,16800  – 21840  PLN,"""Data mapping"" ""REST API"" ""Kafka"" ""SAFe"" ""Polski (B2)"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/senior-it-analyst-ework-group-gdansk-1
Project Manager (part -time),Project Manager,,Mid,Sigma IT Poland,Remote,13800  – 18000  PLN,16800  – 21840  PLN,"""Project management"" ""ERP"" ""Project Data Management"" ""PLM systems"" ""master data"" ""Polski (NATIVE)"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/project-manager-part-time-sigma-it-poland-remote-1
Senior Software Engineer (Scala),Backend,Scala,Senior,GetInData | Part of Xebia,Remote,,27720  – 33600  PLN,"""Scala"" ""Java"" ""OpenAI"" ""Play Framework"" ""Akka"" ""Kubernetes"" ""NoSQL"" ""GCP"" ""Polski"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-software-engineer-scala-getindata-part-of-xebia-remote
Junior QA Exploratory Tester,Testing,Android,Senior,HSBC Technology Poland,Kraków,6000  – 8000  PLN,,"""Jira"" ""Confluence"" ""Testing"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/junior-qa-exploratory-tester-hsbc-technology-poland-krakow
Senior Remote Devops Engineer (Kubernetes expert),DevOps,kubernetes,Senior,Qualicode,Remote,,22782  – 33138  PLN,"""Kubernetes"" ""AWS"" ""DevOps"" ""Docker"" ""linux"" ""Helm Charts"" ""Angielski (B2)"" ","""OpenShift"" ""Open source"" ""Golang"" ""Network protocols"" ",https://nofluffjobs.com/pl/job/senior-remote-devops-engineer-kubernetes-expert-qualicode
Regular Front-end Developer,Frontend,React,Mid,Solvbot sp. z o.o.,Kraków,9200  – 18400  PLN,11100  – 22200  PLN,"""React"" ""REST API"" ""JavaScript"" ""CSS3"" ""SCSS"" ""HTML5"" ""Angielski (B2)"" ","""SaaS product management"" ""UX"" ""UI"" ""Jest"" ""Polski (B2)"" ",https://nofluffjobs.com/pl/job/regular-front-end-developer-solvbot-krakow
Full-Stack Engineer with AWS Expertise,Fullstack,,Senior,Adaptiq,Remote,26096  – 26924  PLN,26096  – 26924  PLN,"""AWS"" ""AWS S3"" ""serverless architecture"" ""SQL"" ""NoSQL"" ""Node.js"" ""React"" ""REST API"" ""HTML"" ""CSS"" ""JavaScript"" ""AWS Bedrock/ML"" ""Amazon Kendra"" ""AWS services"" ""Angielski"" ","""AngularJS"" ""Machine learning"" ""Deep learning"" ",https://nofluffjobs.com/pl/job/full-stack-engineer-with-aws-expertise-adaptiq-remote
Python Engineer,Backend,Python,Senior,Adaptiq,Remote,26096  – 26924  PLN,26096  – 26924  PLN,"""Python"" ""Django"" ""Celery"" ""AWS"" ""MongoDB"" ""AWS S3"" ""serverless architecture"" ""CI/CD"" ""Jenkins"" ""Docker"" ""Kubernetes"" ""SQL"" ""NoSQL"" ""Angielski"" ","""Machine learning"" ""Deep learning"" ",https://nofluffjobs.com/pl/job/python-engineer-adaptiq-remote
Senior Brand Designer,Design,,Senior,Zowie,Remote,,10000  – 18000  PLN,"""Adobe Photoshop"" ""Adobe Illustrator"" ""Adobe Experience Manager"" ""Design"" ""Brand strategy"" ""Graphic design"" ""Web design"" ""Figma"" ""Angielski (C1)"" ","""UX"" ""Art direction"" ""Animation"" ""Marketing videos"" ",https://nofluffjobs.com/pl/job/senior-brand-designer-zowie-remote
Software Development Engineer,Backend,Golang,Mid,Remitly Poland sp. z o.o.,Kraków,20000  – 25000  PLN,,"""Golang"" ""Java"" ""SQL"" ""NoSQL"" ""Angielski"" ""Polski"" ","""python"" ""AWS"" ""PHP"" ""Docker"" ""Kubernetes"" ",https://nofluffjobs.com/pl/job/software-development-engineer-remitly-poland-krakow-1
"Senior Product Manager, Product Risk",Product Management,,Senior,Remitly,Kraków,23000  – 26000  PLN,,"""Data analysis"" ""Roadmap management"" ""Roadmap creation"" ""risk management"" ""Product vision"" ""Product strategy"" ""Polski"" ""Angielski"" ","""Quality control"" ""Quantitative research"" ",https://nofluffjobs.com/pl/job/senior-product-manager-product-risk-remitly-krakow
SAP ABAP Developer,ERP,,Mid,Devire,Poznań,12000  – 14500  PLN,,"""SAP"" ""ABAP"" ""ServiceNow"" ""Angielski (B2)"" ","""SAP Central Finance"" ""SAP Analytics Cloud"" ""SAP S/4HANA"" ""SAP Fiori"" ""SAP FI/CO"" ",https://nofluffjobs.com/pl/job/sap-abap-developer-devire-poznan
Remote .NET Mid Backend Developer ⚙️,Backend,.NET,Mid,Kellton Poland sp. z o.o.,Remote,,16000  – 21000  PLN,"""C#"" "".NET Core"" ""Azure"" ""SQL Server"" ""SQL"" ""CI/CD"" ""Git"" ""GitHub Actions"" ""Azure SQL Database"" ""Git flow"" ""GitHub"" "".NET"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/remote-net-mid-backend-developer--kellton-poland
PHP/JavaScript Developer (100% Remote),Backend,PHP,Mid,Devire,Remote,,11000  – 13500  PLN,"""PHP"" ""JavaScript"" ""MS SQL"" ""REST API"" ""Polski"" ","""Drupal"" ""Zend"" ""Symfony"" ""Node.js"" ""Express.js"" ""AngularJS"" ""Linux"" ""Unix"" ""TDD"" ""MongoDB"" ""AWS"" ""Docker"" ""Electron"" ""MySQL"" ""Angielski"" ",https://nofluffjobs.com/pl/job/php-javascript-developer-100-remote-devire
Azure DevOps Engineer,DevOps,Azure,Senior,Spyrosoft,Remote,20350  PLN,27720  PLN,"""Azure DevOps"" ""Azure SQL Database"" ""Bash script"" ""Terraform"" ""Kubernetes"" ""Azure"" ""Polski"" ""Angielski"" ","""MySQL"" ""PostgreSQL"" ""CloudAdoptionFramework"" ""MsEntra"" ""IoTservices"" ",https://nofluffjobs.com/pl/job/azure-devops-engineer-spyrosoft-remote
Senior PHP (Full Stack) Engineer,Fullstack,PHP,Senior,Proxet,Wroclaw,,22782  – 26924  PLN,"""PHP"" ""Symfony"" ""Angular"" ""REST API"" ""Git"" ""CI/CD"" ""JavaScript"" ""HTML"" ""CSS"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-php-full-stack-engineer-proxet-wroclaw
Tester ETL,Testing,SQL,Senior,Team Connect Sp. z o.o.,Remote,,15000  – 20000  PLN,"""SQL"" ""Oracle"" ""MS SQL"" ""PostgreSQL"" ""Jira"" ""Confluence"" ""ETL"" ""MSSQL"" ""BigQuery"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/tester-etl-team-connect-remote
UX/UI Designer,Design,,Mid,Oponeo.pl S.A,Bydgoszcz,6300  – 10500  PLN,,"""Team player"" ""Problem solving"" ""Prototyping"" ""UX"" ""Axure"" ""Figma"" ""UI"" ""Mobile"" ""Wireframing"" ""Communication skills"" ""Proactivity"" ""Visual Design"" ""Google Analytics"" ""A/B Testing"" ""User Tests"" ""Presentation"" ""Conducting Workshops"" ""Polski"" ""Angielski"" ","""Critical thinking"" ""Hotjar"" ""Javascript"" ""CSS"" ""HTML"" ""JS"" ",https://nofluffjobs.com/pl/job/ux-ui-designer-oponeo-pl-bydgoszcz
FullStack Developer (Java + React),Fullstack,Java,Senior,Britenet,Remote,,24000  – 27700  PLN,"""Java"" ""Spring"" ""Spring Boot"" ""React"" ""Angielski (B2)"" ""Polski (C2)"" ",,https://nofluffjobs.com/pl/job/fullstack-developer-java-react-britenet-remote
