Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Senior/Lead Developer (.Net & Python),Backend,.NET,Senior,Link Group,Warszawa,35000  – 42000  PLN,35000  – 42000  PLN,"""Python"" ""SQL"" "".NET"" ""AWS"" ""Spark"" ""Angielski (B2)"" ""Polski"" ",,https://nofluffjobs.com/pl/job/senior-lead-developer-net-python-link-group-warszawa
Mid/Senior C++ Engineer,Embedded,C++,Mid,Link Group,Warszawa,26000  – 35000  PLN,,"""C++"" ""Google Test"" ""NUnit"" ""JUnit"" ""Polski"" ""Angielski (C1)"" ","""Qt"" ""QML"" ""Yocto"" ""QNX"" ",https://nofluffjobs.com/pl/job/mid-senior-c-engineer-link-group-warszawa
Lead Frontend Developer (Angular),Frontend,Angular,Expert,Link Group,Warszawa,35000  – 37000  PLN,35000  – 37000  PLN,"""Angular"" ""HTML"" ""CSS"" ""CI/CD"" ""Angielski (B2)"" ""Polski"" ",,https://nofluffjobs.com/pl/job/lead-frontend-developer-angular-link-group-warszawa
Senior Automation Software Tester,Testing,JavaScript,Senior,Avenga,Warsaw,,23520  – 26880  PLN,"""JavaScript"" ""TypeScript"" ""Postman"" ""CI/CD"" ""Automation"" ""Angielski"" ""Polski"" ","""Java"" ""Docker"" ""API testing"" ""Playwright"" ""Protractor"" ""Cypress"" ""Cucumber"" ""Selenium"" ",https://nofluffjobs.com/pl/job/senior-automation-software-tester-avenga-warsaw
Senior Node.js Developer / Backend,Backend,Node.js,Senior,UN7,Remote,,22000  – 33000  PLN,"""JavaScript"" ""ECMAScript"" ""Node.js"" ""Express.js"" ""Nest.js"" ""TypeScript"" ""Docker"" ""SQL"" ""REST API"" ""TDD"" ""Polski"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-node-js-developer-backend-un7-remote
Big Data Engineer,Business Intelligence,,Expert,Lingaro,Remote,,21840  – 28560  PLN,"""SQL"" ""ETL"" ""Azure"" ""Azure Data Factory"" ""Data engineering"" ""DWH"" ""Azure DataLake"" ""Azure Databricks"" ""Agile"" ""Communication Skills"" ""Problem solving"" ""Azure Synapse"" ""Degree"" ""Python"" ""dbt"" ""AWS"" ""AWS EC2"" ""VPC"" ""KMS"" ""CloudWatch"" ""Docker"" ""Airflow"" ""Big Data"" ""Spark"" ""Hadoop"" ""HDFS"" ""Angielski (C1)"" ","""SAP"" ""OData"" ""AWS S3"" ""Glue"" ""AWS Lambda"" ""Databricks"" ",https://nofluffjobs.com/pl/job/big-data-engineer-lingaro-remote
.NET Developer,Backend,.NET,Mid,UN7,Remote,,20000  – 28000  PLN,""".NET"" "".NET Framework"" ""C#"" ""MSSQL"" ""PostgreSQL"" ""Git"" ""CI/CD"" ""Azure DevOps"" ""TeamCity"" ""GitHub Actions"" ""NoSQL"" ""MongoDB"" ""Polski"" ""Angielski"" ","""AWS"" ""Azure"" ""Node.js"" ""Akka"" ""Docker"" ",https://nofluffjobs.com/pl/job/net-developer-un7-remote
Expert Fullstack Engineer (.NET/React),Fullstack,.NET,Expert,C.H. Robinson,Warsawa,22000  – 29000  PLN,,""".NET Core"" ""SQL Server"" ""JavaScript"" ""React"" ""API"" ""Angielski"" ","""Azure"" ""React Native"" ""Kafka"" ""RabbitMQ"" ",https://nofluffjobs.com/pl/job/expert-fullstack-engineer-net-react-c-h-robinson-warsawa
Senior Backend Node.js Developer,Backend,Node.js,Expert,Wingspan,Warszawa,,30428  – 33113  PLN,"""Node.js"" ""TypeScript"" ""MongoDB"" ""BigQuery"" ""SQL"" ""REST API"" ""Microservices"" ""API"" ""Git"" ""CI/CD Pipelines"" ""Angielski"" ""Polski"" ","""GCP"" ""dbt"" ""Google Spanner"" ""Express.js"" ",https://nofluffjobs.com/pl/job/senior-backend-node-js-developer-wingspan-warszawa
Senior Golang / C++ for Linux Engineer,Backend,Golang,Senior,Adaptiq,Remote,25774  – 30070  PLN,25774  – 30070  PLN,"""C++"" ""Networking"" ""Protocols"" ""Golang"" ""Angielski"" ","""NoSQL"" ""cloud environment"" ""DevOps mentality"" ",https://nofluffjobs.com/pl/job/senior-golang-c-for-linux-engineer-adaptiq-remote
