Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
R&D Team Manager - Electronics,Electronics,,Senior,Human Group,Wrocław,,12000  – 17000  PLN,"""C#"" ""Polski"" ","""Umiejętność projektowania brył 3-wymiaro"" ",https://nofluffjobs.com/pl/job/r-d-team-manager-electronics-human-group-wroclaw
Senior Cloud Solutions Engineer (Remote),DevOps,Java,Senior,Appfire,Remote,23500  – 33000  PLN,,"""Java"" ""Maven"" ""AWS"" ""GCP"" ""Docker"" ""PostgreSQL"" ""Jenkins"" ""Polski"" ""Angielski"" ","""Kubernetes"" ""Spring Boot"" ""Tomcat"" ""JVM"" ""ELK Stack"" ""Grafana"" ""BigQuery"" ""AWS Lambda"" ""Python"" ",https://nofluffjobs.com/pl/job/senior-cloud-solutions-engineer-remote-appfire-1
DevOps Engineer,DevOps,Azure,Mid,Euvic S.A.,Remote,13800  – 18700  PLN,18480  – 25200  PLN,"""Azure"" ""Azure Cloud"" ""Azure DevOps"" ""Kubernetes"" ""ARM"" ""Helm"" ""YAML"" ""Terraform"" ""Angielski (B2)"" ""Polski"" ","""GitHub"" ""Bash"" ""Ansible"" ""Bicep"" ""Azure AD"" ""PowerShell"" ""AWS Cloud"" ",https://nofluffjobs.com/pl/job/devops-engineer-euvic-remote-10
PHP Developer,Backend,PHP,Mid,Blau Direkt Poland,Kraków,9000  – 18000  PLN,11000  – 20000  PLN,"""Web applications"" ""PHP"" ""HTML"" ""CSS"" ""OOP"" ""Clean Code"" ""MySQL"" ""MariaDB"" ""Git"" ""Docker"" ""Angielski (B2)"" ","""CI/CD"" ""TypeScript"" ""JavaScript"" ""Niemiecki"" ",https://nofluffjobs.com/pl/job/php-developer-blau-direkt-poland-krakow
Senior Software Engineer,Backend,C++,Senior,Transition Technologies PSC S.A.,Remote,,24000  – 30000  PLN,"""C++"" ""C#"" ""GitHub"" ""Jenkins"" ""Angielski"" ","""CLI"" ""MySQL"" ""RabbitMQ"" ""CI/CD"" ""Python"" ""Bash"" ""AWS"" ""Azure"" ""GCP"" ",https://nofluffjobs.com/pl/job/senior-software-engineer-transition-technologies-psc-remote-1
Główny automatyk,Automation,,Mid,Fibrs S.A.,Przemyśl,5000  – 7000  PLN,,"""PLC"" ""Polski"" ",,https://nofluffjobs.com/pl/job/glowny-automatyk-fibrs-przemysl
Kierownik Ciepłowni -Energetyk,Automation,,Mid,Fibrs S.A.,Przemyśl,5500  – 6500  PLN,,"""Polski"" ",,https://nofluffjobs.com/pl/job/kierownik-cieplowni-energetyk-fibrs-przemysl
UX Designer,Design,,Mid,ITDS,Warsaw,,14700  – 18900  PLN,"""UX"" ""User Interface"" ""Design System"" ""User Research"" ""Figma"" ""Axure"" ""Prototyping"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/ux-designer-itds-warsaw
Senior/Mid UX Designer,Design,,Mid,AVENGA,Warszawa,,23520  – 26880  PLN,"""UX"" ""BS"" ""Degree"" ""User Interface"" ""Design System"" ""User Research"" ""Figma"" ""Prototyping"" ""Axure"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-mid-ux-designer-avenga-warszawa
Remote IT/OT Security Manager,Security,,Mid,Link Group,Remote,,23000  – 25000  PLN,"""OT Security"" ""Angielski"" ""Polski"" ",,https://nofluffjobs.com/pl/job/remote-it-ot-security-manager-link-group
