Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Remote IT Security Specialist (CyberArk Solution),Security,CyberArk,Senior,ITDS,Remote,,16800  – 29400  PLN,"""CyberArk"" ""PIM"" ""IAM"" ""API"" ""CPM"" ""PSM"" ""Integration"" ""Oracle"" ""MSSQL"" ""MySQL"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/remote-it-security-specialist-cyberark-solution-itds
Senior DevOps Engineer,DevOps,AWS,Senior,ITDS,Warsaw,,21000  – 27300  PLN,"""DevOps"" ""SME"" ""AWS"" ""Azure Cloud"" ""CI/CD"" ""Git"" ""GitLab"" ""Jenkins"" ""Tomcat"" ""WildFly"" ""JBoss"" ""TLS"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-devops-engineer-itds-warsaw
DevOps Engineer - Senior,DevOps,GCP,Senior,ITDS,Kraków,,21000  – 25200  PLN,"""DevOps"" ""Linux"" ""Kubernetes"" ""Google Cloud Platform"" ""Ruby"" ""Python"" ""Perl"" ""Java"" ""MySQL"" ""MONGO"" ""Agile"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/devops-engineer-senior-itds-krakow
Network Operations Center Engineer,Sys. Administrator,,Senior,7N,Warszawa,,20160  – 23520  PLN,"""IP"" ""TCP"" ""Cisco"" ""VPN"" ""Angielski (B2)"" ","""SDA"" ""DNA Center"" ",https://nofluffjobs.com/pl/job/network-operations-center-engineer-7n-warszawa
Remote Team Leader Backend .NET,Backend,.NET,Senior,Diagnostyka S.A.,Remote,16000  – 22000  PLN,18000  – 25000  PLN,""".NET"" ""C#"" "".NET Core"" ""TDD"" ""DDD"" ""CQRS"" ""SQL"" ""Polski (NATIVE)"" ","""Git"" ""Entity Framework"" ""MS SQL"" ""Docker"" ""Kubernetes"" ""Azure"" ",https://nofluffjobs.com/pl/job/remote-team-leader-backend-net-diagnostyka
Process Automation Specialist,Automation,,Junior,4IT Solutions,Kielce,6000  – 8000  PLN,,"""RPA"" ""UiPath"" ""Power Automate"" ""ERP"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/process-automation-specialist-4it-solutions-kielce
Application and Operation Support,Architecture,,Mid,emagine Sp. Z o.o.,Remote,,20160  – 23520  PLN,"""Windows"" ""Oracle database"" ""ITIL"" ""Microsoft Windows"" ""PowerShell"" ""Azure Cloud"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/application-and-operation-support-emagine-remote
Senior JavaScript Developer (Vue.js + Node.js),Fullstack,JavaScript,Senior,10Clouds,Remote,14000  – 23000  PLN,17000  – 28000  PLN,"""React.js"" ""JavaScript"" ""HTML"" ""CSS"" ""Communication skills"" ""React"" ""Git"" ""TypeScript"" ""docker"" ""Node.js"" ""Vue.js"" ""nuxt.js"" ""Angielski"" ","""node.js"" ""aws"" ""agile"" ""AWS"" ""Next.js"" ",https://nofluffjobs.com/pl/job/senior-javascript-developer-vue-js-node-js-10clouds-remote
Senior AI Programmer - Gaming,AI,C,Senior,ITDS,Warsaw,,16800  – 31500  PLN,"""AI"" ""C"" ""Unreal Engine"" ""Atlassian"" ""Jira"" ""Confluence"" ""Swarm"" ""Perforce"" ""C++"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-ai-programmer-gaming-itds-warsaw
Senior Fullstack Developer - .NET,Fullstack,.NET,Senior,Decerto Sp. z o.o.,Warszawa,,23520  – 26880  PLN,""".NET"" "".NET Core"" ""React"" ""Redux"" ""Entity Framework"" ""SQL Server"" ""Git"" ""Windows"" ""Polski (C1)"" ",,https://nofluffjobs.com/pl/job/senior-fullstack-developer-net-decerto-warszawa
Software Tester,Testing,SQL,Mid,GGS IT Consulting,Kraków,7000  – 12000  PLN,8000  – 13000  PLN,"""Team player"" ""Communication skills"" ""Problem solving"" ""Proactivity"" ""SQL"" ""T-SQL"" ""Testing"" ""Polski (B2)"" ""Angielski (B2)"" ","""JIRA"" ""REST"" ",https://nofluffjobs.com/pl/job/software-tester-ggs-it-consulting-krakow-7
Full Stack Developer,Fullstack,TypeScript,Mid,AVENGA,Remote,,28240  – 30240  PLN,"""Azure Cloud"" ""TypeScript"" ""C#"" ""React"" "".NET"" ""SQL"" ""NoSQL"" ""Git"" ""SharePoint"" ""Office 365"" ""Azure DevOps"" ""GitHub Actions"" ""CSS"" ""Sass"" ""Degree"" ""Angielski"" ""Polski"" ","""AI"" ",https://nofluffjobs.com/pl/job/full-stack-developer-avenga-remote-9
Support Engineer,IT Support,,Mid,Neontri,Warszawa,,16800  – 20160  PLN,"""Power BI"" ""Linux"" ""Windows"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/support-engineer-neontri-warszawa
Inżynier ds. utrzymania aplikacji,Sys. Administrator,,Mid,emagine Sp. Z o.o.,Warszawa,,20160  – 26880  PLN,"""Unix"" ""Windows"" ""WildFly"" ""Tomcat"" ""WebLogic"" ""Kibana"" ""Zabbix"" ""Oracle"" ""MSSQL"" ""PostgreSQL"" ""Jira"" ""Confluence"" ""AWS"" ""Azure"" ""Polski"" ","""CI/CD"" "".NET"" ""IIS"" ""WCF"" ""ELK Stack"" ""RabbitMQ"" ""HashiCorp"" ""Consul"" ",https://nofluffjobs.com/pl/job/inzynier-ds-utrzymania-aplikacji-emagine-warszawa
Java Developer,Backend,Java,Mid,Connectis_,Warszawa,,17000  – 22000  PLN,"""Java"" ""Spring"" ""Spring Boot"" ""REST API"" ""Hibernate"" ""JUnit"" ""Angielski"" ","""Groovy"" ",https://nofluffjobs.com/pl/job/java-developer-connectis--warszawa-5
Java Cloud Developer (Azure),Backend,Java,Mid,DahliaMatic Sp. z o.o.,Warszawa,,25000  – 31000  PLN,"""Java"" ""Azure"" ""Spring"" ""Polski (NATIVE)"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/java-cloud-developer-azure-dahliamatic-warszawa-2
C++ Developer,Embedded,C++,Senior,Avenga,Remote,19000  – 20500  PLN,25200  – 26880  PLN,"""C++"" ""Python"" ""Git"" ""Design Patterns"" ""Angielski"" ","""Polski"" ",https://nofluffjobs.com/pl/job/c-developer-avenga-remote-10
UX Designer,Design,,Mid,ITDS,Warsaw,,14700  – 18900  PLN,"""UX"" ""User Interface"" ""Design System"" ""User Research"" ""Figma"" ""Axure"" ""Prototyping"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/ux-designer-itds-warsaw
Software Engineer Node.js Games,Game dev,Node.js,Mid,Zone IT Sp. z o.o.,Wrocław,10000  – 15000  PLN,10000  – 15000  PLN,"""Node.js"" ""API"" ""RDBMS"" ""Polski"" ""Angielski"" ","""Angular"" ",https://nofluffjobs.com/pl/job/software-engineer-node-js-games-zone-it-wroclaw
Frontend Developer - Gaming,Game dev,Angular,Mid,Zone IT Sp. z o.o.,Wrocław,10000  – 18000  PLN,12000  – 20000  PLN,"""angular"" ""Polski"" ""Angielski"" ","""React"" ""Ruby on Rails"" ""DevOps"" ""AngularJS"" ""JavaScript"" ""CSS3"" ""HTML5"" ""PHP"" ",https://nofluffjobs.com/pl/job/frontend-developer-gaming-zone-it-wroclaw
JavaScript Developer Gaming Solutions,Game dev,JavaScript,Mid,Zone IT Sp. z o.o.,Wrocław,12000  – 15000  PLN,12000  – 16000  PLN,"""JavaScript"" ""CSS"" ""HTML"" ""Polski"" ""Angielski"" ","""REST API"" ""Linux"" ""React"" ""C#"" ""C"" ""C++"" ",https://nofluffjobs.com/pl/job/javascript-developer-gaming-solutions-zone-it-wroclaw
Backend Developer - Gaming,Game dev,Java,Mid,Zone IT Sp. z o.o.,Wrocław,15000  – 20000  PLN,16000  – 22000  PLN,"""Java"" ""SQL"" ""PL/SQL"" ""Oracle"" ""Polski"" ""Angielski"" ","""React"" ""Ruby on Rails"" ""Jenkins"" ""PostgreSQL"" ""DevOps"" ""AngularJS"" ""Angular"" ",https://nofluffjobs.com/pl/job/backend-developer-gaming-zone-it-wroclaw
React Developer Gaming Solutions,Game dev,React,Mid,Zone IT Sp. z o.o.,Wrocław,12000  – 18000  PLN,12000  – 20000  PLN,"""React"" ""JavaScript"" ""Next.js"" ""HTML"" ""CSS"" ""Polski"" ""Angielski"" ","""React native"" ""TypeScript"" ""Node.js"" ",https://nofluffjobs.com/pl/job/react-developer-gaming-solutions-zone-it-wroclaw
C/C++ Developer Gaming Solutions,Game dev,C++,Mid,Zone IT Sp. z o.o.,Wrocław,12000  – 18000  PLN,12000  – 20000  PLN,"""C"" ""C++"" ""Linux"" ""Git"" ""Polski"" ""Angielski"" ","""Jira"" ""Qt"" ""AWS"" ""MongoDB"" ",https://nofluffjobs.com/pl/job/c-c-developer-gaming-solutions-zone-it-wroclaw
Project Manager with German,Project Manager,,Mid,Objectivity,Remote,13000  – 19000  PLN,20160  – 28560  PLN,"""Communication skills"" ""Leadership skills"" ""Scrum"" ""Project management"" ""Defining priorities"" ""Backlog management"" ""Team management"" ""Project Management in Software Development"" ""CAN"" ""Principle"" ""Angielski (C1)"" ""Niemiecki (C1)"" ","""scaled agile"" ""experience with external clients"" ",https://nofluffjobs.com/pl/job/project-manager-with-german-objectivity-remote
Senior FullStack Engineer - Java & JS,Fullstack,Java,Senior,ITDS,Kraków,,18900  – 25200  PLN,"""Java"" ""JavaScript"" ""ES6"" ""npm"" ""React"" ""Node.js"" ""BDD"" ""TDD"" ""Angielski"" ""Polski"" ","""Microservices"" ""AWS"" ""Android"" ""iOS"" ",https://nofluffjobs.com/pl/job/senior-fullstack-engineer-java-js-itds-krakow
SharePoint and Power Platform Developer,Fullstack,,Mid,emagine Sp. Z o.o.,Remote,,30240  – 33600  PLN,"""SharePoint"" ""Power Platform"" ""Microsoft Power Apps"" ""Angielski"" ","""Azure"" ""Office 365"" ""SAP"" ",https://nofluffjobs.com/pl/job/sharepoint-and-power-platform-developer-emagine-remote-1
Senior Frontend Developer with AWS,Frontend,Vue.js,Senior,ITDS,Kraków,,19950  – 26250  PLN,"""UI"" ""UX"" ""AWS"" ""Vue.js"" ""React"" ""CSS"" ""JavaScript"" ""TypeScript"" ""HTML"" ""Wireframing"" ""Agile"" ""Git"" ""GitHub"" ""Angielski"" ","""Docker"" ""Kubernetes"" ""Jenkins"" ""CBCD"" ""Groovy"" ""Nexus"" ""Splunk"" ",https://nofluffjobs.com/pl/job/senior-frontend-developer-with-aws-itds-krakow
Remote QA Test Automation Engineer - ASAP,Testing,JavaScript,Mid,Giełda Papierów Wartościowych S.A.,Warszawa,13000  – 18000  PLN,14784  – 20800  PLN,"""JavaScript"" ""Docker"" ""TypeScript"" ""Test automation"" ""Git"" ""Polski"" ","""Linux"" ""UDP"" ""TCP"" ""WebSocket"" ",https://nofluffjobs.com/pl/job/remote-qa-test-automation-engineer-asap-gielda-papierow-wartosciowych-warszawa
Senior QA Engineer,Testing,Java,Senior,Link Group,Warszawa,30000  – 33000  PLN,30000  – 35000  PLN,"""Java"" ""Automated testing"" ""JavaScript"" ""C#"" ""Python"" ""Angielski"" ","""gRPC"" ""Kafka"" ""REST"" ""ActiveMQ"" ""WebSocket"" ",https://nofluffjobs.com/pl/job/senior-qa-engineer-link-group-warszawa-1
Scrum Master,Agile,,Senior,ITDS,Kraków,,12600  – 17430  PLN,"""Scrum"" ""Agile"" ""Angielski"" ","""PSM"" ""CSM"" ",https://nofluffjobs.com/pl/job/scrum-master-itds-krakow
REMOTE - Back-end Team Leader,Backend,Node.js,Senior,Startup House,Remote,,18800  – 27200  PLN,"""Node.js"" ""TypeScript"" ""Angielski (C1)"" ","""Java"" ""CQRS"" ""GCP"" ""AWS"" ""Azure"" ""DevOps"" ""Docker"" ""Terraform"" ""Kubernetes"" ""Go"" ""Rust"" ""Zig"" ",https://nofluffjobs.com/pl/job/remote-back-end-team-leader-startup-house
Mid C++ Developer,Backend,C++,Mid,Primetals Technologies Poland Sp. z o. o.,Kraków,7000  – 11000  PLN,,"""C++"" ""Visual Studio"" ""SQL"" ""MS Office"" ""Angielski"" ""Polski"" ","""C#"" "".NET"" ""WCF"" ""Git"" ""SVN"" ""Niemiecki"" ",https://nofluffjobs.com/pl/job/mid-c-developer-primetals-technologies-poland-krakow
Project Manager - Senior,Project Manager,,Senior,ITDS,Kraków,,17850  – 24150  PLN,"""Project management"" ""Agile"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/project-manager-senior-itds-krakow
Remote Web Publisher / Junior Frontend Developer,Frontend,JavaScript,Junior,Execon,Remote,,4000  – 6000  PLN,"""JS"" ""CSS"" ""JavaScript"" ""Polski"" ",,https://nofluffjobs.com/pl/job/remote-web-publisher-junior-frontend-developer-execon
Senior Big Data Engineer,Data,Scala,Senior,ITDS,Warsaw,,21000  – 28560  PLN,"""Scala"" ""Big Data"" ""Apache Spark"" ""SQL"" ""Apache Kafka"" ""Apache Flink"" ""HDFS"" ""NoSQL"" ""Hive"" ""HBase"" ""Cassandra"" ""Elasticsearch"" ""Degree"" ""Agile"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-big-data-engineer-itds-warsaw
Remote Senior Frontend Developer Vue/React/Angular,Frontend,JavaScript,Mid,Execon,Remote,17000  – 21000  PLN,17000  – 21000  PLN,"""JavaScript"" ""Vue.js"" ""React"" ""Vuex"" ""Redux"" ""NgRx"" ""Context API"" ""HTML"" ""CSS"" ""Git"" ""Node.js"" ""Webpack"" ""Babel"" ""UI"" ""UX"" ""Polski"" ","""TypeScript"" ""GraphQL"" ""RxJS"" ""Cypress"" ",https://nofluffjobs.com/pl/job/remote-senior-frontend-developer-vue-react-angular-execon
Software Tester,Testing,C++,Mid,ALTEN Polska,Kraków,8000  – 10500  PLN,10080  – 15120  PLN,"""C++"" ""Protocols"" ""Python"" ""Embedded system"" ""Embedded C++"" ""Embedded C"" ""CAN"" ""Hardware"" ""Testing"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/software-tester-alten-polska-krakow
Senior Java Engineer,Backend,Java,Senior,N-iX,Remote,21537  – 23608  PLN,26508  – 27957  PLN,"""Java"" ""Maven"" ""Spring Framework"" ""Web applications"" ""Microservices"" ""REST API"" ""OOP"" ""DDD"" ""Design Patterns"" ""Relational database"" ""NoSQL"" ""MONGO"" ""IBM MQ"" ""Kafka"" ""Graylog"" ""Grafana"" ""OpenShift"" ""Kubernetes"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-java-engineer-n-ix-remote-3
Senior Data Scientist with Graph Analytics,Data,Python,Senior,Link Group,Warsaw,20000  – 30000  PLN,,"""Python"" ""Spark"" ""SQL"" ""Graph Analytics"" ""Data science"" ""Angielski"" ","""Azure Cloud"" ""GCP"" ",https://nofluffjobs.com/pl/job/senior-data-scientist-with-graph-analytics-link-group-warsaw
Fullstack Developer,Fullstack,Java,Senior,Raiffeisen Bank International AG,Remote,18000  – 28000  PLN,18000  – 28000  PLN,"""Java"" ""GWT"" ""Spring Boot"" ""Hibernate"" ""JPA"" ""JavaScript"" ""Angular"" ""CSS"" ""HTML"" ""API"" ""REST API"" ""Swagger"" ""Gradle"" ""Git"" ""Spring"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/fullstack-developer-raiffeisen-bank-international-remote-2
Senior Java Developer,Backend,Java,Senior,ASTEK Polska,Remote,12000  – 18000  PLN,16800  – 25200  PLN,"""Java"" ""PHP"" ""PL/SQL"" ""Bamboo"" ""Bitbucket"" ""Polski (NATIVE)"" ","""Angielski (B2)"" ",https://nofluffjobs.com/pl/job/senior-java-developer-astek-polska-remote-17
Technical Test Lead,Testing,,Senior,Falck IT Poland Sp. z o.o.,Warszawa,18000  – 23000  PLN,,"""Testing"" ""Angielski (B2)"" ","""MS DevOps"" ""HP ALM"" ""Jira"" ",https://nofluffjobs.com/pl/job/technical-test-lead-falck-it-poland-warszawa
Automation Engineer [Python],Testing,Python,Mid,SILVAIR,Kraków,10000  – 15000  PLN,12000  – 18000  PLN,"""Test automation"" ""Python"" ""Continuous integration"" ""Polski (C1)"" ","""BDD"" ""Gherkin"" ""Git"" ""Jenkins"" ""Linux"" ",https://nofluffjobs.com/pl/job/automation-engineer-python-silvair-krakow
Senior Java Engineer,Backend,Java,Mid,Emerge Soft Sp. z o.o.,Remote,,18000  – 26000  PLN,"""Java"" ""Spring"" ""JPA"" ""MySQL"" ""Microservices"" ""Spring Boot"" ""Polski"" ""Angielski"" ","""Kafka"" ""Kotlin"" ""Akka"" ""Hazelcast"" ""Elasticsearch"" ""RabbitMQ"" ""Consul"" ""Google Cloud Platform"" ""BigQuery"" ",https://nofluffjobs.com/pl/job/senior-java-engineer-emerge-soft-remote-1
.NET Developer,Backend,.NET,Mid,emagine Sp. Z o.o.,Warsaw,,29904  – 33768  PLN,""".NET"" "".NET Core"" ""Docker"" ""Kubernetes"" ""AWS"" ""GCP"" ""Azure"" ""Kafka"" ""RabbitMQ"" ""Angielski"" ","""API Gateway"" ""Redis"" ""Grafana"" ""GraphQL"" ""Node.js"" ",https://nofluffjobs.com/pl/job/net-developer-emagine-warsaw-1
Architekt Systemowy DevOps,Architecture,,Senior,ASTEK Polska,Remote,16500  – 25570  PLN,23100  – 35700  PLN,"""DevOps"" ""CI/CD"" ""Bitbucket"" ""Bamboo"" ""Artifactory"" ""Maven"" ""Git"" ""Polski (NATIVE)"" ","""Business Automation Workflow"" ""IBM FileNet P8/IBM Case Manager"" ""PowerShell"" ""Java"" ""Jenkins"" ""Kubernetes"" ""Ansible"" ""Angielski (B2)"" ",https://nofluffjobs.com/pl/job/architekt-systemowy-devops-astek-polska-remote
ServiceNow Developer,Sys. Administrator,,Mid,AVENGA,Warszawa,,30240  – 36960  PLN,"""SQL"" ""ServiceNow"" ""ITSM"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/servicenow-developer-avenga-warszawa-1
Staż w dziale Internal Infrastructure,IT Support,,Trainee,Ringier Axel Springer Tech,Kraków,,,"""Microsoft"" ""Excel"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/staz-w-dziale-internal-infrastructure-ringier-axel-springer-tech-krakow-2
PMO Analyst,Automation,,Senior,Crowe Advartis Accounting sp. z o.o. z,Warszawa,9000  – 12000  PLN,,"""Angielski"" ",,https://nofluffjobs.com/pl/job/pmo-analyst-crowe-advartis-accounting-z-warszawa
Mid System Analyst (Data modeling),Business Analysis,,Mid,The Stepstone Group Polska Sp. z o.o.,Warszawa,12000  – 17000  PLN,,"""System analyst"" ""Business Analyst"" ""Data modelling"" ""Storage"" ""Data analysis"" ""JSON"" ""Angielski"" ","""DDD"" ""Big Data"" ",https://nofluffjobs.com/pl/job/mid-system-analyst-data-modeling-the-stepstone-group-polska-warszawa
