Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Customer technical support engineer,IT Support,,Mid,Neontri,Remote,,15120  – 21840  PLN,"""Java"" ""Oracle"" ""IBM Db2"" ""SQL"" ""MySQL"" ""Linux"" ""Unix"" ""Operating system"" ""Tomcat"" ""IBM WebSphere"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/customer-technical-support-engineer-neontri-remote
Azure DevOps Engineer (mid/senior),DevOps,Azure,Senior,Euvic S.A.,Remote,13800  – 18700  PLN,16800  – 25200  PLN,"""Azure"" ""Azure Cloud"" ""Azure DevOps"" ""Linux"" ""Docker"" ""Terraform"" ""CI/CD"" ""Bash/Python"" ""Git"" ""Angielski (B2)"" ""Polski"" ","""Ansible"" ""AWS Cloud"" ""Kubernetes"" ""Helm"" ""Grafana"" ""ELK Stack"" ",https://nofluffjobs.com/pl/job/azure-devops-engineer-mid-senior-euvic-remote
Brand Designer,Design,,Senior,AnywhereWorks,Remote,,14000  – 24000  PLN,"""Figma"" ""Design Patterns"" ""UI"" ""Adobe Creative Suite"" ""Photoshop"" ""Illustrator"" ""InDesign"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/brand-designer-anywhereworks-remote
Fullstack Developer,Fullstack,.NET,Mid,PKO FINAT,Katowice,,22680  – 26040  PLN,""".NET"" ""JavaScript"" ""C#"" ""TypeScript"" ""xUnit"" ""NUnit"" ""UI/UX"" ""MS SQL Server"" ""Polski"" ","""NoSQL"" ""Elasticsearch"" ""MONGO"" ""Cosmos DB"" ""GraphQL"" ""CI/CD"" ""GitLab"" ""Azure"" ""React"" ""Relay"" ""Module Federation"" ",https://nofluffjobs.com/pl/job/fullstack-developer-pko-finat-katowice
Regular Front-end Developer,Frontend,React,Mid,Solvbot sp. z o.o.,Kraków,9200  – 18400  PLN,11100  – 22200  PLN,"""React"" ""REST API"" ""JavaScript"" ""CSS3"" ""SCSS"" ""HTML5"" ""Angielski (B2)"" ","""SaaS product management"" ""UX"" ""UI"" ""Jest"" ""Polski (B2)"" ",https://nofluffjobs.com/pl/job/regular-front-end-developer-solvbot-krakow
Senior Java Developer,Backend,Java,Mid,Motorola Solutions Systems Polska,Kraków,12000  – 18000  PLN,,"""Java"" ""Linux"" ""RHEL"" ""Protocols"" ""SQL"" ""Git"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-java-developer-motorola-solutions-systems-polska-krakow
Quality Assurance Specialist (Mid/ Senior),Testing,Web Pages,Mid,Monogo,Warszawa,10000  – 18000  PLN,10500  – 19000  PLN,"""Quality assurance"" ""Test case"" ""SDLC"" ""Jira"" ""Xray"" ""Postman"" ""Manual Testing"" ""ISTQB"" ""DevOps"" ""Git"" ""Web Pages"" ""Angielski (B2)"" ""Polski (B2)"" ","""CMS"" ""Scripting language"" ",https://nofluffjobs.com/pl/job/quality-assurance-specialist-mid-senior-monogo-warszawa
Automation Quality Assurance Specialist Mid/Senior,Testing,Selenium,Mid,Monogo,Warszawa,10000  – 18000  PLN,10000  – 20000  PLN,"""Test automation"" ""Selenium"" ""Cypress"" ""Angielski"" ","""CMS"" ""CAN"" ""Git"" ""JavaScript"" ""Java"" ""Magento"" ""DevOps"" ""Test case"" ""CI/CD Pipelines"" ""Jenkins"" ""JMeter"" ",https://nofluffjobs.com/pl/job/automation-quality-assurance-specialist-mid-senior-monogo-warszawa
"Full-Stack Developer .NET, Angular",Fullstack,.NET,Senior,ETFbook,Remote,,16000  – 30000  PLN,"""Angular"" ""C#"" "".NET"" ""Web development"" ""TypeScript"" ""Angielski"" ","""Data visualization"" ""UX"" ""UI"" ""SaaS"" ""Azure"" ""Automated testing"" ",https://nofluffjobs.com/pl/job/full-stack-developer-net-angular-etfbook-remote
Engineering Manager,Backend,Python,Senior,hyperexponential,Warsaw,38342  – 46862  PLN,46010  – 51123  PLN,"""Python"" ""Angielski"" ","""Rust"" ""Kotlin"" ""Golang"" ",https://nofluffjobs.com/pl/job/engineering-manager-hyperexponential-warsaw
Remote .NET Mid Backend Developer ⚙️,Backend,.NET,Mid,Kellton Poland sp. z o.o.,Remote,,16000  – 21000  PLN,"""C#"" "".NET Core"" ""Azure"" ""SQL Server"" ""SQL"" ""CI/CD"" ""Git"" ""GitHub Actions"" ""Azure SQL Database"" ""Git flow"" ""GitHub"" "".NET"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/remote-net-mid-backend-developer--kellton-poland
