Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Scrum Master (hybrid from Kraków),Agile,,Mid,Antal,Kraków,,20160  – 26880  PLN,"""SAFe"" ""Kanban"" ""SDLC"" ""Confluence"" ""Jira"" ""Angielski"" ""Polski"" ",,https://nofluffjobs.com/pl/job/scrum-master-hybrid-from-krakow-antal-krakow
.NET Developer with Devops,Backend,.NET,Mid,AVENGA,Warszawa,,19320  – 23520  PLN,""".NET"" ""Angular"" ""C#"" ""Docker"" ""MS SQL"" ""Git"" ""TeamCity"" ""Ansible"" ""Kubernetes"" ""Azure"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/net-developer-with-devops-avenga-warszawa
Programista / Programistka robotów przemysłowych,Automatyka,,Mid,RSControls Sp z o.o.,Gdańsk,7000  – 12000  PLN,13000  – 26000  PLN,"""KUKA"" ""Mitsubishi"" ""Angielski (C1)"" ","""Fanuc"" ""ABB"" ""PLC"" ""Niemiecki (B2)"" ",https://nofluffjobs.com/pl/job/programista-programistka-robotow-przemyslowych-rscontrols-gdansk
Database Administrator (MySQL),Data,mySQL,Mid,Sportradar,Remote,12000  – 18000  PLN,,"""MySQL"" ""AWS"" ""Prometheus"" ""Grafana"" ""Amazon CloudWatch"" ""Zabbix"" ""Bash"" ""Python"" ""NoSQL"" ""RabbitMQ"" ""MQTT"" ""Degree"" ""Angielski (B2)"" ","""Kafka"" ""Polski"" ",https://nofluffjobs.com/pl/job/database-administrator-mysql-sportradar-remote
Remote Mid Backend .NET Developer,Backend,.NET,Mid,Aspire Systems Poland,Remote,10500  – 15500  PLN,12600  – 18800  PLN,""".NET"" ""C#"" ""Angular"" ""NoSQL"" ""MongoDB"" ""Microservices"" ""Cloud Native"" "".NET CORE"" "".NET Core"" ""Angielski (C1)"" ""Polski"" ","""Azure"" ""xUnit"" ""Jasmine"" ",https://nofluffjobs.com/pl/job/remote-mid-backend-net-developer-aspire-systems-poland
Python Developer,Backend,Django,Mid,Order Group,Remote,,12000  – 18000  PLN,"""Git"" ""Python"" ""Django"" ""Angielski (B2)"" ""Polski (C1)"" ","""Flask"" ""Twisted"" ",https://nofluffjobs.com/pl/job/python-developer-order-group-remote-1
Senior/Lead Full Stack Java Developer,Fullstack,Java,Senior,EPAM,Wrocław,14000  – 24000  PLN,,"""Java"" ""Data structures"" ""OOP"" ""Design Patterns"" ""Unit testing"" ""Software Development Life Cycle"" ""Excel"" ""TypeScript"" ""Angular"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-lead-full-stack-java-developer-epam-wroclaw-1
Senior/Lead Java Developer,Backend,Java,Senior,EPAM,Kraków,14000  – 24000  PLN,,"""Java"" ""Kubernetes"" ""Spring"" ""Angular"" ""Bootstrap"" ""CSS"" ""Node.js"" ""jQuery"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-lead-java-developer-epam-krakow-1
Senior Java Developer with Azure,Backend,Java,Senior,EPAM,Kraków,14000  – 24000  PLN,,"""Java"" ""J2EE"" ""Kafka"" ""REST API"" ""Microservices"" ""Microsoft Azure"" ""React"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-java-developer-with-azure-epam-krakow
SAP Consultant (PI/PO),ERP,,Mid,Ringier Axel Springer Tech,Warszawa,10000  – 16000  PLN,12000  – 19000  PLN,"""SAP"" ""CRM"" ""PI"" ""PO"" ""Angielski (B2)"" ","""Visual Basic"" ",https://nofluffjobs.com/pl/job/sap-consultant-pi-po-ringier-axel-springer-tech-warszawa
C Developer (Radio FW for IoT),Embedded,C,Mid,Futurehome,Kraków,17000  – 25000  PLN,17000  – 25000  PLN,"""C"" ""Wireless"" ""Angielski (C1)"" ","""Bluetooth"" ""SDK"" ""Silicon Labs"" ",https://nofluffjobs.com/pl/job/c-developer-radio-fw-for-iot-futurehome-krakow
Remote Integration Architect (OpenShift),Architecture,OpenShift,Senior,Link Group,Remote,,42000  – 44500  PLN,"""OpenShift"" ""TOGAF"" ""CA"" ""ArchiMate"" ""Elasticsearch"" ""Kibana"" ""Grafana"" ""Prometheus"" ""Istio"" ""MongoDB"" ""Nginx"" ""Okta"" ""HashiCorp"" ""Vault"" ""Azure"" ""Polski (NATIVE)"" ""Angielski (C1)"" ","""Francuski (B2)"" ""Niemiecki (B2)"" ",https://nofluffjobs.com/pl/job/remote-integration-architect-openshift-link-group
React Developer,Frontend,React,Mid,Order Group,Remote,,12000  – 18000  PLN,"""React"" ""JavaScript"" ""CSS"" ""HTML"" ""Redux"" ""Sass"" ""TypeScript"" ""HTML5"" ""CSS3"" ""Rwd"" ""ES6"" ""Git"" ""Angielski (B2)"" ""Polski (C1)"" ","""Angular"" ""REST"" ""Proactivity"" ""Communication skills"" ""InVision"" ""Sketch"" ""React Native"" ""Python"" ""Next.js"" ""SSR"" ""Firebase"" ""AWS"" ""Figma"" ",https://nofluffjobs.com/pl/job/react-developer-order-group-remote-2
Senior Frontend Developer with Vue.js,Frontend,Vue.js,Senior,AVENGA,Wrocław,,24700  – 27700  PLN,"""Vue.js"" ""HTML"" ""CSS"" ""ES6"" ""Linux"" ""Quasar"" ""Polski (C2)"" ""Angielski (B2)"" ","""GRPC Web"" ",https://nofluffjobs.com/pl/job/senior-frontend-developer-with-vue-js-avenga-wroclaw
Senior Java Developer,Backend,Java,Senior,EPAM,Remote,14000  – 24000  PLN,,"""Java"" ""Enterprise software"" ""Unix"" ""Linux"" ""System integration"" ""Angielski"" ","""SQL"" ""Cloud SQL"" ""Data modeling"" ""Web technologies"" ""Protocols"" ""SFTP"" ""SOAP"" ""Web service"" ",https://nofluffjobs.com/pl/job/senior-java-developer-epam-remote-5
Data Engineer (hybryda z Warszawy),Data,Scala,Mid,Link Group,Warszawa,18000  – 23000  PLN,20000  – 25000  PLN,"""Scala"" ""SQL"" ""Polski (C1)"" ""Angielski"" ","""Spark"" ""Hadoop"" ""Kafka"" ",https://nofluffjobs.com/pl/job/data-engineer-hybryda-z-warszawy-link-group-warszawa
Test Engineer Matlab/Simulink,Testing,Embedded,Mid,AVENGA,Wrocław,12000  – 14000  PLN,16800  – 18480  PLN,"""Embedded"" ""Degree"" ""MATLAB"" ""Simulink"" ""ISTQB"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/test-engineer-matlab-simulink-avenga-wroclaw
Remote Senior C# Developer,Backend,.NET,Senior,eSky Group,Remote,,20000  – 30000  PLN,""".NET"" "".NET CORE"" ""C#"" ""RabbitMQ"" ""ASP/VB.NET"" ""Docker"" ""Kubernetes"" ""Microservices"" ","""Google Cloud Platform"" ""Azure"" ""AWS"" ""MongoDB"" ""Angielski"" ",https://nofluffjobs.com/pl/job/remote-senior-c-developer-esky-group
Senior Java Developer with Azure,Backend,Java,Senior,EPAM,Wrocław,14000  – 24000  PLN,,"""Java"" ""J2EE"" ""Kafka"" ""REST API"" ""Microservices"" ""Microsoft Azure"" ""React"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-java-developer-with-azure-epam-wroclaw-1
Quality Assurance Engineer,Testing,Python,Mid,AVENGA,Remote,,18480  – 20160  PLN,"""Python"" ""Bash"" ""Azure"" ""AWS"" ""SQL"" ""NoSQL"" ""ESP"" ""Jira"" ""Confluence"" ""Jenkins"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/quality-assurance-engineer-avenga-remote-5
Senior DevOps Engineer,DevOps,AWS,Senior,EPAM,Remote,14000  – 21000  PLN,21100  – 24100  PLN,"""DevOps"" ""Amazon Web Services"" ""AWS CDK"" ""Python"" ""AWS Lambda"" ""Linux"" ""AWS"" ""Cloud development"" ""TypeScript"" ""JavaScript"" ""Java"" ""AWS Cloud"" ""Infrastructure as Code"" ""AWS EC"" ""Unit testing"" ""Angielski (B2)"" ","""Google cloud"" ",https://nofluffjobs.com/pl/job/senior-devops-engineer-epam-remote-1
Local IT Project Manager_6000,Project Manager,,Senior,IDBC Creative Solutions Kft.,Gdynia,,20244  – 30366  PLN,"""Project management"" ""Excel"" ""Angielski (C1)"" ""Polski (C1)"" ""Węgierski"" ","""Degree"" ",https://nofluffjobs.com/pl/job/local-it-project-manager-6000-idbc-creative-solutions-kft--gdynia
DevOps Engineer,DevOps,,Mid,EPAM,Remote,14000  – 21000  PLN,21100  – 24100  PLN,"""DevOps"" ""AWS EC2"" ""VPC"" ""AWS Lambda"" ""Amazon RDS"" ""Terraform"" ""Linux"" ""Angielski"" ","""Jenkins"" ""GitLab"" ""CI/CD"" ""Python"" ""Loki"" ""Jira"" ""Confluence"" ",https://nofluffjobs.com/pl/job/devops-engineer-epam-remote
Senior Scrum Master with Spanish,Agile,,Senior,N-iX,Remote,8683  – 13459  PLN,10854  – 16064  PLN,"""SDLC"" ""Degree"" ""CSM"" ""Scrum"" ""Angielski (B2)"" ""Hiszpański (B1)"" ",,https://nofluffjobs.com/pl/job/senior-scrum-master-with-spanish-n-ix-remote
Node.js Engineer,Backend,Node.js,Mid,Appfire,Remote,20000  – 24000  PLN,,"""Node.js"" ""Express"" ""AWS"" ""GCP"" ""OOP"" ""Web applications"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/node-js-engineer-appfire-remote
Performance Tester,Testing,,Mid,EPAM,Remote,8500  – 14000  PLN,10200  – 16600  PLN,"""Grafana"" ""InfluxDB"" ""Angielski (B2)"" ","""Docker"" ""JMeter"" ",https://nofluffjobs.com/pl/job/performance-tester-epam-remote-1
Senior Azure Architect (full/part time),Architecture,Azure,Senior,Skillspark,Remote,,35280  – 43680  PLN,"""Azure"" ""User Interface"" ""Azure DevOps"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/senior-azure-architect-full-part-time-skillspark-remote
Remote Guidewire Developer,Backend,Java,Senior,Link Group,Remote,,25200  – 31920  PLN,"""Java"" ""Guidewire"" ""Degree"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/remote-guidewire-developer-link-group
DevOps Engineer,DevOps,Python,Senior,ULAM LABS,Remote,,15000  – 25000  PLN,"""Python"" ""Docker"" ""Kubernetes"" ""Terraform"" ""CI/CD Pipelines"" ""DevOps"" ""Angielski (B2)"" ""Polski"" ","""Node.js"" ",https://nofluffjobs.com/pl/job/devops-engineer-ulam-labs-remote
Data Engineer / Elasticsearch Ninja,Data,elasticsearch,Senior,SquareOne,Remote,,26880  – 30240  PLN,"""Elasticsearch"" ""DevOps"" ""Kibana"" ""ELK Stack"" ""Angielski (B2)"" ""Polski (C1)"" ",,https://nofluffjobs.com/pl/job/data-engineer-elasticsearch-ninja-squareone-remote
Senior Requirements Analyst,Business Analysis,,Expert,Ework Group,Remote,,27216  – 31080  PLN,"""Degree"" ""Excel"" ""PowerPoint"" ""Requirements gathering"" ""BABOK"" ""Business analysis"" ""Requirements analysis"" ""Use cases"" ""Process modelling"" ""BPM"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/senior-requirements-analyst-ework-group-remote
Senior MLOps Engineer with Azure,AI,,Senior,Nordcloud,Remote,25000  – 30000  PLN,27000  – 32000  PLN,"""MLOps"" ""CI/CD"" ""Machnine Learning"" ""IaC"" ""Kubernetes"" ""Azure"" ""Public cloud"" ""Angielski"" ","""Azure ML"" ",https://nofluffjobs.com/pl/job/senior-mlops-engineer-with-azure-nordcloud-remote
PCB Designer,Elektronika,,Mid,Grafton Recruitment,Wrocław,12500  – 17000  PLN,,"""Angielski"" ",,https://nofluffjobs.com/pl/job/pcb-designer-grafton-recruitment-wroclaw
Backend Tester,Testing,,Mid,Appstral,Warszawa,,13000  – 19000  PLN,"""Manual tests"" ""SOAP"" ""REST API"" ""API"" ""SQL"" ""UAT"" ""SDLC"" ""Angielski (B2)"" ","""Python"" ""JavaScript"" ""ISTQB"" ""Salesforce"" ""Excel"" ""Java"" ",https://nofluffjobs.com/pl/job/backend-tester-appstral-warszawa
Korepetytor online Python/Scratch,Game dev,C#,Trainee,Kodland,Remote,,2800  – 5500  PLN,"""C#"" ""UNITY"" ""Roblox"" ""Lua"" ""Zoom"" ","""Polski (C1)"" ",https://nofluffjobs.com/pl/job/korepetytor-online-python-scratch-kodland-remote-1
Project Manager,Project Manager,,Senior,Ework Group,Remote,,27216  – 31080  PLN,"""PMI"" ""Project management"" ""Angielski (C1)"" ""Polski (C1)"" ","""Szwedzki (B2)"" ",https://nofluffjobs.com/pl/job/project-manager-ework-group-remote-1
Python Developer,Backend,Python,Mid,ULAM LABS,Wrocław,,12000  – 17000  PLN,"""Python"" ""Django"" ""Git"" ""NoSQL"" ""Docker"" ""pytest"" ""Polski"" ""Angielski (C1)"" ","""JavaScript"" ",https://nofluffjobs.com/pl/job/python-developer-ulam-labs-wroclaw-4
Data Governance Consultant,Data,Collibra,Mid,Billigence,Remote,12500  – 18000  PLN,,"""Collibra"" ""Alteryx"" ""SQL"" ""Angielski"" ","""BI"" ""Czeski (NATIVE)"" ""Polski (NATIVE)"" ",https://nofluffjobs.com/pl/job/data-governance-consultant-billigence-remote
Full Stack Developer,Fullstack,Java,Senior,ASTEK Polska,Remote,10500  – 18000  PLN,14700  – 25200  PLN,"""Java"" ""Angular"" ""Spring Data"" ""JDBC"" ""Domain Driven Design"" ""Polski (NATIVE)"" ","""Kafka"" ""Redis"" ""Oracle"" ""Elasticsearch"" ""Kubernetes"" ""Angielski (B2)"" ",https://nofluffjobs.com/pl/job/full-stack-developer-astek-polska-remote-2
Elektromechanik Utrzymania Ruchu,Inżynieria elektryczna,,Junior,Talent Partners,Tychy,5500  – 6500  PLN,,"""schematy elektryczne"" ""SEP 1kv"" ","""Angielski"" ",https://nofluffjobs.com/pl/job/elektromechanik-utrzymania-ruchu-talent-partners-tychy
Inżynier Wsparcia Technicznego,Automatyka,,Junior,Talent Partners,Poznań,4500  – 6000  PLN,,"""CAD"" ""PLC"" ""Prawo jazdy"" ""Angielski (B1)"" ",,https://nofluffjobs.com/pl/job/inzynier-wsparcia-technicznego-talent-partners-poznan
Inżynier,Inżynieria elektryczna,,Junior,Cityboard Media,Warszawa,,4000  – 8000  PLN,"""dokumentacja techniczna"" ""wykształcenie techniczne"" ""Polski"" ",,https://nofluffjobs.com/pl/job/inzynier-cityboard-media-warszawa-1
Fullstack Developer (RoR + Node.js),Fullstack,Ruby on Rails,Mid,HTD Health 🏥,Remote,9000  – 15000  PLN,11000  – 18000  PLN,"""JavaScript"" ""JS"" ""Ruby"" ""Node.js"" ""Auth0"" ""Ruby on Rails"" ""Angielski"" ","""Microservices"" ""K8s"" ",https://nofluffjobs.com/pl/job/fullstack-developer-ror-node-js-htd-health--remote
