Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Ruby / Ruby on Rails - Backend Engineer,Backend,Ruby on Rails,Senior,Knowde,Remote,,18000  – 25000  PLN,"""Ruby"" ""Ruby on Rails"" ""SQL"" ""Web service"" ""Angielski (C1)"" ""Polski (C2)"" ","""Elasticsearch"" ""AWS"" ""Python"" ""Golang"" ",https://nofluffjobs.com/pl/job/ruby-ruby-on-rails-backend-engineer-knowde-remote-1
DevOps Engineer,DevOps,Ansible,Senior,Fluke,Remote,,18480  – 30240  PLN,"""Ansible"" ""AWS"" ""Kubernetes"" ""Python"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/devops-engineer-fluke-remote
Engineering Tools Specialist,IT Support,,Mid,Fluke,Wroclaw,7000  – 13000  PLN,,"""CAD"" ""Python"" ""JavaScript"" ""Angielski (B2)"" ","""Niemiecki"" ",https://nofluffjobs.com/pl/job/engineering-tools-specialist-fluke-wroclaw
Senior BI Consultant (Power BI),Business Intelligence,,Expert,Onwelo S.A.,Remote,,23100  – 27300  PLN,"""Power BI"" ""DWH"" ""BI"" ""SQL"" ""T-SQL"" ""DAX"" ""REST API"" ""Gateway"" ""Angielski (B2)"" ","""AWS"" ""Azure"" ""Tableau"" ""TIBCO Spotfire"" ""QlikView"" ",https://nofluffjobs.com/pl/job/senior-bi-consultant-power-bi-onwelo-remote
Principal Fullstack Engineer,Fullstack,.NET,Expert,Fluke Reliability,Remote,,25200  – 42000  PLN,"""Degree"" ""AWS"" ""Azure"" ""RabbitMQ"" ""CSS"" ""Sass"" ""UX"" ""Continuous integration"" ""Communication skills"" ""React"" "".NET"" ""Angielski (B2)"" ","""Domain-driven design"" "".NET"" ""REST API"" ""GraphQL"" ""React"" ""TypeScript"" ",https://nofluffjobs.com/pl/job/principal-fullstack-engineer-fluke-reliability-remote
Implementation Specialist with English and German,IT Support,,Mid,Fluke Reliability,Remote,5500  – 10000  PLN,,"""Degree"" ""Communication skills"" ""Angielski (B2)"" ""Niemiecki (B2)"" ",,https://nofluffjobs.com/pl/job/implementation-specialist-with-english-and-german-fluke-reliability-remote
FPGA Engineer,Embedded,FPGA,Mid,Fluke,Wroclaw,12000  – 18000  PLN,,"""FPGA"" ""PCB"" ""Angielski (B2)"" ","""Git"" ""Python"" ",https://nofluffjobs.com/pl/job/fpga-engineer-fluke-wroclaw
QA Engineer,Testing,Python,Mid,Stellar Blu Solutions,Remote,,10045  – 19286  PLN,"""Python"" ""Linux"" ""Critical thinking"" ""Git"" ""Bash"" ""Networking"" ""Test automation"" ""Angielski (B2)"" ","""Docker"" ""GitHub Actions"" ""Aviation Industry Background"" ""Telecommunication Industry Background"" ""Jira"" ""Zephyr"" ""Networks"" ""Network protocols"" ""Redis"" ""MQTT"" ""REST"" ""GraphQL"" ",https://nofluffjobs.com/pl/job/qa-engineer-stellar-blu-solutions-remote
Scrum Master/Project Manager,Inne IT,,Mid,Knowit,Remote,9000  – 14500  PLN,13440  – 20160  PLN,"""Communication skills"" ""Data engineering"" ""Project management"" ""Polski"" ""Angielski (B2)"" ","""SAFe"" ",https://nofluffjobs.com/pl/job/scrum-master-project-manager-knowit-remote
QA Test Automation Engineer,Testing,Java,Senior,Ework Group,Warszawa,,21840  – 25200  PLN,"""Java"" ""Test automation"" ""REST API"" ""Cucumber"" ""Postman"" ""Chrome DevTools"" ""Git"" ""CI"" ""CD"" ""Jenkins"" ""Bamboo"" ""Docker"" ""SQL"" ""XML"" ""CSV"" ""JSON"" ""ISTQB"" ""QA"" ""Communication skills"" ""Angielski (B2)"" ""Polski (C1)"" ",,https://nofluffjobs.com/pl/job/qa-test-automation-engineer-ework-group-warszawa
