Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
"Senior C#/.net Developer (remote, Austrian comp.)",Backend,C#,Senior,ec3 NetWorks GmbH,Remote,,17488  – 28419  PLN,"""C#"" "".NET Framework"" ""SQL Server"" ""Angielski (C1)"" ",""".NET CORE"" ""MVC"" ""estjs"" ""Android"" ""iOS"" ""Ruby on Rails"" ""C++"" ""Niemiecki (C1)"" ",https://nofluffjobs.com/pl/job/senior-c-net-developer-remote-austrian-comp--ec3-networks-1
Senior QA Engineer,Testing,SQL,Senior,Hitachi Energy,Kraków,15000  – 23000  PLN,,"""SQL"" ""QA"" ""C#"" ""Selenium"" ""Git"" ""Azure DevOps"" ""Angielski"" ","""RabbitMQ"" ""Kubernetes"" ""Kafka"" ",https://nofluffjobs.com/pl/job/senior-qa-engineer-hitachi-energy-krakow
Data Engineer,Data,Python,Mid,hubQuest,Remote,,30000  – 37000  PLN,"""Python"" ""SQL"" ""ETL"" ""Data engineering"" ""pandas"" ""NumPy"" ""SQLAlchemy"" ""FastAPI"" ""SQL Server"" ""Snowflake"" ""Kubernetes"" ""GitLab"" ""Argo CD"" ""Grafana"" ""Prometheus"" ""Angielski (C1)"" ""Polski (C1)"" ","""Agile"" ""AWS"" ""AWS SageMaker"" ""Athena"" ""Glue"" ""AWS S3"" ""Step Functions"" ",https://nofluffjobs.com/pl/job/data-engineer-hubquest-remote-4
Team Leader / Java Developer,Fullstack,Java,Senior,Bersi Sp. z o.o.,Bydgoszcz,10000  – 20000  PLN,,"""Java"" ""JavaScript"" ""SQL"" ""HTML"" ""CSS"" ""Spring"" ""Hibernate"" ""SOAP"" ""REST API"" ","""Maven"" ""Git"" ""Jenkins"" ""PostgreSQL"" ""Tomcat"" ""Linux"" ""Angielski (C1)"" ",https://nofluffjobs.com/pl/job/team-leader-java-developer-bersi-bydgoszcz
Cloud DevOps Engineer,DevOps,DevOps,Expert,Link Group,Warszawa,38000  – 42000  PLN,38000  – 42000  PLN,"""GCP"" ""AWS"" ""Azure"" ""CI/CD"" ""Linux"" ""Jenkins"" ""DevOps"" ""Terraform"" ""Angielski (B2)"" ""Polski"" ","""Docker"" ""Kubernetes"" ",https://nofluffjobs.com/pl/job/cloud-devops-engineer-link-group-warszawa
IT System Administrator,Sys. Administrator,,Mid,GOG,Warsaw,14000  – 21000  PLN,14000  – 21000  PLN,"""Linux"" ""KVM"" ""Docker"" ""Terraform"" ""Ansible"" ""Packer"" ""Kubernetes"" ""OpenStack"" ""Consul"" ""DNS"" ""GCP"" ""AWS"" ""Polski"" ""Angielski"" ","""MySQL"" ""Elasticsearch"" ""Golang"" ""Python"" ",https://nofluffjobs.com/pl/job/it-system-administrator-gog-warsaw
Senior Frontend Developer,Frontend,Angular,Senior,Ework Group,Warszawa,,25200  – 28560  PLN,"""Angular"" ""TypeScript"" ""HTML"" ""CSS"" ""JavaScript"" ""npm"" ""Angular Material"" ""Polski (NATIVE)"" ",,https://nofluffjobs.com/pl/job/senior-frontend-developer-ework-group-warszawa
Senior PHP (Full Stack) Engineer,Fullstack,PHP,Senior,Proxet,Wroclaw,,22056  – 26066  PLN,"""PHP"" ""Symfony"" ""Angular"" ""REST API"" ""Git"" ""CI/CD"" ""JavaScript"" ""HTML"" ""CSS"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-php-full-stack-engineer-proxet-wroclaw
Product Designer – Telco,Design,,Senior,AVSystem,Kraków,8300  – 12600  PLN,10000  – 15000  PLN,"""Figma"" ""Miro"" ""UX design"" ""UI design"" ""Communication skills"" ""Angielski (B2)"" ""Polski (C1)"" ","""Design System"" ""Styleguides"" ",https://nofluffjobs.com/pl/job/product-designer-telco-avsystem-krakow-1
FullStack Developer (Backend 70%),Fullstack,Java,Senior,Devire,Kraków,,23000  – 28000  PLN,"""Java"" ""JavaScript"" ""React"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/fullstack-developer-backend-70--devire-krakow
Oracle Apex and ORDS Developer,Business Intelligence,,Senior,Avenga,Remote,,27720  – 36960  PLN,"""Oracle"" ""Apex"" ""REST API"" ""BI"" ""SQL"" ""Unit testing"" ""Git"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/oracle-apex-and-ords-developer-avenga-remote
Embedded Software Developer,Embedded,C++,Senior,Ework Group,Kraków,15000  – 25000  PLN,20160  – 28560  PLN,"""C++"" ""C"" ""Python"" ""Linux"" ""Embedded C++"" ""Embedded C"" ""Embedded system"" ""Angielski (C1)"" ","""QNX"" ""AUTOSAR"" ""Polski (C1)"" ",https://nofluffjobs.com/pl/job/embedded-software-developer-ework-group-krakow
Project Manager,Project Manager,,Senior,Brocoders,Warsaw,,14036  – 16041  PLN,"""Project management"" ""Team management"" ""risk management"" ""project discovery"" ""presales"" ""Jira"" ""Communication skills"" ""Angielski (C1)"" ","""Figma"" ""Business analysis"" ",https://nofluffjobs.com/pl/job/project-manager-brocoders-warsaw
QA Engineer with Java,Testing,Selenium,Mid,Knowit,Remote,,13440  – 20160  PLN,"""QA Engineer"" ""Firebug"" ""Selenium"" ""Git"" ""REST API"" ""Java"" ""MySQL"" ""Angielski"" ""Polski"" ","""NoSQL"" ""RabbitMQ"" ""Jira"" ",https://nofluffjobs.com/pl/job/qa-engineer-with-java-knowit-remote
Inżynier Systemu,Sys. Administrator,,Junior,Grafton Recruitment,Warszawa,7000  – 12000  PLN,,"""Windows"" ""Linux"" ""SQL Server"" ""MySQL"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/inzynier-systemu-grafton-recruitment-warszawa
Service Manager,Project Manager,,Mid,AVENGA,Warszawa,,14280  – 15120  PLN,"""Communication skills"" ""DevOps"" ""Angielski (B2)"" ","""Agile"" ""SAFe"" ",https://nofluffjobs.com/pl/job/service-manager-avenga-warszawa
REMOTE Senior Vue.js Developer,Fullstack,Vue.js,Senior,Link Group,Remote,,16800  – 26040  PLN,"""Vue.js"" ""JavaScript"" ""PHP"" ""Laravel"" ""REST API"" ""Nuxt.js"" ""Next.js"" ""CSS"" ""Angielski (C1)"" ""Polski"" ","""Cypress"" ""Jest"" ""PHPUnit"" ",https://nofluffjobs.com/pl/job/remote-senior-vue-js-developer-link-group
Elektryk - Elektromechanik / Leadec Polkowice,Inżynieria elektryczna,,Mid,Leadec sp. z o.o.,Polkowice,4500  – 6900  PLN,,"""uprawnienia SEP do 1kV"" ""Polski (NATIVE)"" ",,https://nofluffjobs.com/pl/job/elektryk-elektromechanik-leadec-polkowice-leadec-polkowice
Data Engineer with Snowflake,Data,Snowflake,Senior,VirtusLab,Remote,15500  – 20500  PLN,21000  – 27000  PLN,"""Snowflake"" ""SQL"" ""AWS"" ""Data modeling"" ""Programming"" ""dbt"" ""Terraform"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/data-engineer-with-snowflake-virtuslab-remote-1
Elektromechanik / Leadec Bolechowo-osiedle,Inżynieria elektryczna,,Mid,Leadec,Bolechowo-Osiedle,5500  – 6900  PLN,,"""uprawnienia elektryczne do 1kV"" ""Polski (NATIVE)"" ",,https://nofluffjobs.com/pl/job/elektromechanik-leadec-bolechowo-osiedle-leadec-bolechowoosiedle
Elektromechanik utrzymania ruchu / Leadec Tychy,Inżynieria elektryczna,,Mid,Leadec sp. z o.o.,Tychy,4700  – 6700  PLN,,"""uprawnienia elektryczne G1E do 1 kV"" ""Polski"" ","""uprawnienia elektryczne G1E pow. 1kV"" ",https://nofluffjobs.com/pl/job/elektromechanik-utrzymania-ruchu-leadec-tychy-leadec-tychy
Automatyk - Robotyk / Leadec Jawor,Automatyka,,Mid,Leadec sp. z o.o.,Jawor,5000  – 10000  PLN,,"""uprawnienia SEP do 1 kV"" ""Polski (NATIVE)"" ","""znajomość programowania robotów KUKA"" ""Angielski (B1)"" ",https://nofluffjobs.com/pl/job/automatyk-robotyk-leadec-jawor-leadec-jawor
Mechanik utrzymania ruchu / Leadec Polkowice,Inżynieria elektryczna,,Mid,Leadec sp. z o.o.,Polkowice,5000  – 7700  PLN,,"""czytanie dokumentacji technicznej"" ""Polski (NATIVE)"" ","""uprawnienia do obsługi wózków widłowych"" ",https://nofluffjobs.com/pl/job/mechanik-utrzymania-ruchu-leadec-polkowice-leadec-polkowice
Data Scientist,Data,Python,Mid,XTB,Remote,14000  – 19000  PLN,13440  – 20160  PLN,"""Python"" ""Langchain"" ""SQL"" ""Prompt Engineering"" ""Retrieval-augmented generation"" ""LLM"" ""Polski"" ""Angielski"" ","""Microsoft Azure"" ""Autogen"" ""Semantic Kernel"" ",https://nofluffjobs.com/pl/job/data-scientist-xtb-remote
Automatyk / Leadec Polkowice,Automatyka,,Mid,Leadec sp. z o.o.,Polkowice,5500  – 7700  PLN,,"""czytanie dokumentacji technicznej"" ""Polski (NATIVE)"" ","""uprawnienia SEP do 1 kV"" ",https://nofluffjobs.com/pl/job/automatyk-leadec-polkowice-leadec-polkowice
Remote Senior Python Developer,Backend,Python,Senior,Link Group,Remote,,23520  – 28560  PLN,"""Python"" ""AWS"" ""Angielski (B2)"" ""Polski"" ","""Kubernetes"" ""Terraform"" ",https://nofluffjobs.com/pl/job/remote-senior-python-developer-link-group
Scientific Business Analyst,Business Analysis,,Mid,AVENGA,Remote,,20160  – 22680  PLN,"""User stories"" ""User story mapping"" ""Requirements gathering"" ""Backlog management"" ""Angielski"" ""Polski"" ",,https://nofluffjobs.com/pl/job/scientific-business-analyst-avenga-remote
Senior Full Stack Developer,Fullstack,.NET,Senior,B2B Soft,Remote,,24061  – 26066  PLN,""".NET Core"" ""JavaScript"" ""HTML"" ""CSS"" ""REST API"" ""API"" ""MS SQL"" ""Docker"" "".NET"" ""Angielski (B2)"" ","""MobX"" ""TypeScript"" ""Rabbit MQ"" ""Redis"" ",https://nofluffjobs.com/pl/job/senior-full-stack-developer-b2b-soft-remote-3
Security Engineering Lead,Security,AWS,Senior,Devire,Warszawa,,31920  – 40320  PLN,"""BGP"" ""LDAP"" ""TLS"" ""Open source"" ""Zabbix"" ""ELK Stack"" ""Grafana"" ""Ansible"" ""AWS"" ""CISSP"" ""CISM"" ""GIAC"" ""CCNP"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/security-engineering-lead-devire-warszawa
IT Analyst with Data Modelling skills,Data,,Mid,Avenga,Remote,16000  – 18500  PLN,21840  – 24360  PLN,"""Data mapping"" ""Data modelling"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/it-analyst-with-data-modelling-skills-avenga-remote
Delivery Manager,Project Manager,,Mid,B2B Soft,Remote,,18046  – 24061  PLN,"""SDLC"" ""QA"" ""Resistance"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/delivery-manager-b2b-soft-remote-1
Computer Vision - Senior Software Engineer,Architecture,Computer Vision,Senior,Tesco Technology,Kraków,20000  – 30000  PLN,24000  – 35000  PLN,"""Computer vision"" ""Docker"" ""Azure"" ""PyTorch"" ""MLOps"" ""OpenCV"" ""TensorFlow"" ""Angielski (B2)"" ","""Polski"" ",https://nofluffjobs.com/pl/job/computer-vision-senior-software-engineer-tesco-technology-krakow
