Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Senior Business / System Analyst-Remote,Business Analysis,,Senior,B2B Soft,Remote,,21479  – 25774  PLN,"""Business analysis"" ""System analysis"" ""SQL"" ""Restful APIs"" ""Wireframes"" ""UX"" ""UI"" ""REST API"" ""API"" ""Kanban"" ""Microservices"" ""Angielski (B2)"" ","""UX/UI"" ""UML"" ""BPMN"" ""Microservices"" ",https://nofluffjobs.com/pl/job/senior-business-system-analyst-remote-b2b-soft
Senior Backend PHP Developer Remote,Backend,PHP,Senior,Superdevs,Remote,,23520  – 28560  PLN,"""PHP"" ""Symfony"" ""Object-oriented programming"" ""Kafka"" ""Angielski (C1)"" ","""TypeScript"" ""React"" ",https://nofluffjobs.com/pl/job/senior-backend-php-developer-remote-superdevs-5
Senior Full Stack Developer,Fullstack,.NET,Senior,B2B Soft,Remote,,21479  – 25774  PLN,"""C#"" "".NET"" "".Net Core"" ""ASP.NET Core"" ""JS/HTML/CSS"" ""React"" ""RESTful"" ""API’s"" ""SPA’s"" ""MS SQL"" ""Angielski (B2)"" ","""MobX"" ""TypeScript"" ""Rabbit MQ, Redis, Hangfire, SignaIR"" ""Docker"" ""Unit test (XUnit, jest-junit)"" ""ES6"" ",https://nofluffjobs.com/pl/job/senior-full-stack-developer-b2b-soft-remote
Java Developer - Regulatory Reporting,Backend,Java,Mid,LeoVegas,Warsaw,17000  – 21500  PLN,20000  – 26000  PLN,"""Java"" ""Spring Boot"" ""MySQL"" ""Microservices"" ""Angielski (B2)"" ","""Kotlin"" ""Google cloud platform"" ""Kafka"" ""RabbitMQ"" ",https://nofluffjobs.com/pl/job/java-developer-regulatory-reporting-leovegas-warsaw
Data Engineer,Data,Azure,Senior,AVENGA,Remote,,27720  – 30240  PLN,"""Azure"" ""Azure Data"" ""Azure Data Factory"" ""Azure SQL"" ""CI/CD"" ""Python"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/data-engineer-avenga-remote-19
Unity Middle Developer,Game dev,UNITY,Mid,Eventyr,Remote,8591  – 10739  PLN,,"""UNITY"" ""C#"" ""CAN"" ""Jira"" ""Angielski (B1)"" ",,https://nofluffjobs.com/pl/job/unity-middle-developer-eventyr-remote-1
Java Developer,Backend,Java,Mid,Pragmile,Warszawa,15000  – 19000  PLN,20000  – 25200  PLN,"""Java"" ""Spring"" ""Hibernate"" ""JPA"" ""Team player"" ""Unit testing"" ""OOP"" ""Polski"" ","""Git"" ""REST"" ""Maven"" ""Jenkins"" ""JUnit"" ""SQL"" ""Docker"" ""PostgreSQL"" ""Communication skills"" ""Problem solving"" ""Proactivity"" ""JavaScript"" ""Angular"" ""Clean Code"" ""TDD"" ""Refactoring skills"" ""DDD"" ""kafka"" ""RabbitMQ"" ",https://nofluffjobs.com/pl/job/java-developer-pragmile-warszawa-3
Java Developer,Backend,Java,Mid,EMPIK S. A.,Remote,14000  – 18000  PLN,14000  – 18000  PLN,"""Java"" ""Kotlin"" ""Spring"" ""Event Sourcing"" ""Hibernate"" ""Spock"" ""JUnit"" ""Hazelcast"" ""REST"" ""Kafka"" ""Kubernetes"" ""Bitbucket"" ""Polski"" ",,https://nofluffjobs.com/pl/job/java-developer-empik-remote-5
Technical Support Specialist I (FR/SP),IT Support,,Mid,Jamf,Remote,8750  – 11500  PLN,,"""macOS"" ""Technical Support Experience"" ""Angielski"" ""Hiszpański"" ""Francuski"" ""Polski"" ",,https://nofluffjobs.com/pl/job/technical-support-specialist-i-fr-sp-jamf-remote
Lead Software Engineer,Embedded,C++,Mid,Liftero,Remote,,16700  – 25300  PLN,"""C++"" ""Git"" ""C"" ""Angielski (B2)"" ","""Python"" ",https://nofluffjobs.com/pl/job/lead-software-engineer-liftero-remote
