Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Senior Java Developer,Backend,Java,Senior,Ework Group,Warszawa,,23520  – 27720  PLN,"""Java"" ""Spring Boot"" ""SQL"" ""Hibernate"" ""Maven"" ""Angielski"" ","""Kubernetes"" ""Kafka"" ""CI/CD"" ""Bamboo"" ""Jenkins"" ""Git"" ""AWS"" ""Docker"" ""Angular"" ""REST API"" ""SOAP"" ""Polski"" ",https://nofluffjobs.com/pl/job/senior-java-developer-ework-group-warszawa-2
Python Developer ( MS SQL),Backend,Python,Mid,Mindbox S.A.,Kraków,22000  – 24000  PLN,27300  – 31500  PLN,"""Python"" ""Data base"" ""Angielski (B2)"" ","""SQL Server"" ""MS SQL"" ",https://nofluffjobs.com/pl/job/python-developer-ms-sql-mindbox-krakow
Finance Risk Business Analyst,Business Analysis,,Mid,IQ Staffing,Amsterdam,30712  – 34551  PLN,,"""Risk"" ""Business analysis"" ""Finance"" ""Requirements gathering"" ""Stakeholder management"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/finance-risk-business-analyst-iq-staffing-amsterdam
SOC Analyst,Security,,Mid,IQ Staffing,Amsterdam,30712  – 36471  PLN,,"""IAM"" ""EDR"" ""REST API"" ""PowerShell"" ""Bash"" ""Azure"" ""API"" ""Ansible"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/soc-analyst-iq-staffing-amsterdam
Business Intelligence Developer (BI),Business Intelligence,,Mid,IQ Staffing,Amsterdam,30712  – 33783  PLN,,"""ETL"" ""Azure"" ""Azure Cloud"" ""SQL"" ""Python"" ""Git"" ""Power BI"" ""BI"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/business-intelligence-developer-bi-iq-staffing-amsterdam
PLM/PDM Support Consultant,Automatyka,,Mid,Endego,Katowice,8000  – 11000  PLN,,"""PLM"" ""PDM"" ""Project management"" ""Angielski"" ","""Niemiecki"" ",https://nofluffjobs.com/pl/job/plm-pdm-support-consultant-endego-katowice
Konstruktor Elektronik,Elektronika,,Mid,Transbit Sp. z o.o.,Warszawa,7000  – 12000  PLN,,"""Altium"" ","""Angielski"" ",https://nofluffjobs.com/pl/job/konstruktor-elektronik-transbit-warszawa
Starszy Inżynier ds. Sieci VAS PCRF,Telekomunikacja,,Senior,Eagle Recruitment for Client,Remote,16000  – 19000  PLN,16000  – 19000  PLN,"""IMS"" ""2G"" ""3G"" ""4G"" ""5G"" ""SIP"" ""VoLTE"" ""DIAMETER"" ""PCRF"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/starszy-inzynier-ds-sieci-vas-pcrf-eagle-recruitment-for-client-remote
Senior Software Engineer (Java + React),Fullstack,Java,Senior,The Stepstone Group Polska Sp. z o.o.,Remote,15000  – 21000  PLN,,"""Java"" ""Excel"" ""HTML"" ""CSS"" ""JavaScript"" ""SQL"" ""REST API"" ""Web Services"" ""Angielski (B2)"" ","""Angular"" ""React"" ""Vue.js"" ",https://nofluffjobs.com/pl/job/senior-software-engineer-java-react-the-stepstone-group-polska-remote
Camera Firmware Engineer with C++,Backend,,Mid,Motorola Solutions Systems Polska,Kraków,11500  – 18000  PLN,,"""C++"" ""MSc"" ""BSc"" ""Degree"" ""Angielski"" ","""Python"" ",https://nofluffjobs.com/pl/job/camera-firmware-engineer-with-c--motorola-solutions-systems-polska-krakow
iOS Software Engineer - Mid,Mobile,iOS,Mid,NATIONAL WESTMINSTER BANK PLC S.A.,Warsaw,12150  – 20250  PLN,,"""iOS"" ""UIKit"" ""Swift"" ""Xcode"" ""Unit testing"" ""Angielski (B2)"" ","""Objective-C"" ",https://nofluffjobs.com/pl/job/ios-software-engineer-mid-national-westminster-bank-plc-warsaw
Quality Automation Specialist - Mid,Testing,,Mid,NATIONAL WESTMINSTER BANK PLC S.A.,Warsaw,12150  – 20250  PLN,,"""Automated testing"" ""CI/CD"" ""Jenkins"" ""GitLab"" ""BDD"" ""Appium"" ""Java"" ""Agile"" ""Jira"" ""Confluence"" ""Groovy"" ""Browserstack"" ""Angielski"" ","""JavaScript"" ""Python"" ""Cloud Jira"" ""AWS"" ""Mobile banking application"" ""Accessability testing"" ",https://nofluffjobs.com/pl/job/quality-automation-specialist-mid-national-westminster-bank-plc-warsaw
Technical Business Analyst - Mid,Business Analysis,,Mid,NATIONAL WESTMINSTER BANK PLC S.A.,Warsaw,12150  – 20250  PLN,,"""Swagger"" ""REST API"" ""Jira"" ""Confluence"" ""UML"" ""Business analysis"" ""Angielski"" ","""SOAP"" ""WSDL"" ",https://nofluffjobs.com/pl/job/technical-business-analyst-mid-national-westminster-bank-plc-warsaw
Senior Android Developer,Mobile,Android,Senior,XTB,Remote,17000  – 25000  PLN,17000  – 28000  PLN,"""Kotlin"" ""Android"" ""RxJava"" ""WebSocket"" ""gRPC"" ""Clean Code"" ""MVVM"" ""Clean Architecture"" ","""Android Jetpack"" ""ROOM"" ""Dagger"" ""Hilt"" ""Jenkins"" ""GitLab"" ""CI"" ""Firebase"" ""UI"" ""Angielski (B2)"" ",https://nofluffjobs.com/pl/job/senior-android-developer-xtb-remote-2
Packet Core Engineer,Telekomunikacja,,Mid,Eagle Recruitment for Client,Warszawa,12000  – 15000  PLN,,"""BGP"" ""VLAN"" ""MST"" ""PVST"" ""OSPF"" ""Firewall"" ""NAT"" ""Angielski (B2)"" ","""Cisco"" ""5G"" ",https://nofluffjobs.com/pl/job/packet-core-engineer-eagle-recruitment-for-client-warszawa
