Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Test Automation Engineer,Testing,Java,Senior,DahliaMatic Sp. z o.o.,Warszawa,,18000  – 28000  PLN,"""Java"" ""Selenium"" ""Polski (NATIVE)"" ""Angielski (B2)"" ","""REST"" ""API Testing"" ""Gradle"" ",https://nofluffjobs.com/pl/job/test-automation-engineer-dahliamatic-warszawa-11
DevOps (Infrastructure) Engineer,DevOps,AWS,Senior,VOLT.io Open Banking Payments,Warszawa,21900  – 25800  PLN,25500  – 30000  PLN,"""AWS"" ""Docker"" ""Team player"" ""Communication skills"" ""CI/CD"" ""Terraform"" ""CloudWatch"" ""GitLab"" "".NET"" ""Linux"" ""macOS"" ""Scripting language"" ""Bash"" ""Ruby"" ""Python"" ""Java"" ""PHP"" ""Google Workspace"" ""AWS EC2"" ""ECS"" ""AWS ECS"" ""IAM"" ""Amazon RDS"" ""Route53"" ""SQL"" ""Networking"" ""DNS"" ""Load balancing"" ""Angielski"" ""Polski"" ","""ECS/Kubernetes"" ""DevOps"" ""Kubernetes"" ",https://nofluffjobs.com/pl/job/devops-infrastructure-engineer-volt-io-open-banking-payments-warszawa
QA Engineer,Testing,Python,Mid,Stellar Blu Solutions,Remote,,10037  – 19271  PLN,"""Python"" ""Linux"" ""Critical thinking"" ""Git"" ""Bash"" ""Networking"" ""Test automation"" ""Angielski (B2)"" ","""Docker"" ""GitHub Actions"" ""Aviation Industry Background"" ""Telecommunication Industry Background"" ""Jira"" ""Zephyr"" ""Networks"" ""Network protocols"" ""Redis"" ""MQTT"" ""REST"" ""GraphQL"" ",https://nofluffjobs.com/pl/job/qa-engineer-stellar-blu-solutions-remote
QA Test Automation Engineer,Testing,Java,Senior,Ework Group,Warszawa,,21840  – 25200  PLN,"""Java"" ""Test automation"" ""REST API"" ""Cucumber"" ""Postman"" ""Chrome DevTools"" ""Git"" ""CI"" ""CD"" ""Jenkins"" ""Bamboo"" ""Docker"" ""SQL"" ""XML"" ""CSV"" ""JSON"" ""ISTQB"" ""QA"" ""Communication skills"" ""Angielski (B2)"" ""Polski (C1)"" ",,https://nofluffjobs.com/pl/job/qa-test-automation-engineer-ework-group-warszawa
Operator (frezer/tokarz) CNC,Automatyka,,Mid,L.M. Group Poland,Poznań,5000  – 7000  PLN,,"""Polski"" ",,https://nofluffjobs.com/pl/job/operator-frezer-tokarz-cnc-l-m-group-poland-poznan
Platform Engineer,DevOps,,Senior,AVSystem,Kraków,,18000  – 28000  PLN,"""Kubernetes"" ""Linux"" ""Prometheus"" ""Thanos"" ""Terraform"" ""Ansible"" ""ArgoCD"" ""Flux"" ""Rancher Fleet"" ""SRE"" ""DevOps"" ""Angielski (B2)"" ","""Python"" ""Go"" ""Shell"" ""GCP"" ""Istio"" ""Cilium"" ",https://nofluffjobs.com/pl/job/platform-engineer-avsystem-krakow
Senior AQA Engineer,Testing,Java,Senior,Soft Industry Alliance,Remote,,15256  – 17264  PLN,"""AQA"" ""Agile"" ""Test automation"" ""Java"" ""SDLC"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-aqa-engineer--soft-industry-alliance-remote
Senior Data Scientist,Data,Python,Senior,Harvey Nash Technology,Warszawa,20000  PLN,,"""Python"" ""Machine Learning"" ""AWS"" ""scikit-learn"" ""pandas"" ""TensorFlow"" ""PyTorch"" ""Airflow"" ""PySpark"" ""SQL"" ""NoSQL"" ""Snowflake"" ""CI/CD"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-data-scientist-harvey-nash-technology-warszawa
Data QA Specialist,Data,Python,Mid,ComScore,Remote,,16000  PLN,"""QA"" ""Python"" ""SQL"" ""API testing"" ""Angielski"" ","""Linux"" ",https://nofluffjobs.com/pl/job/data-qa-specialist-comscore-remote-1
Senior Full Stack - Java/Angular,Fullstack,,Senior,Soft Industry Alliance,Remote,,18211  – 20235  PLN,"""Java"" ""API"" ""SQL Server"" ""JavaScript"" ""Angular"" ""MongoDB"" ""SSO"" ""REST API"" ""API Gateway"" ""Microservice architecture"" ""Jenkins"" ""Git"" ""GCP"" ""Angielski"" ","""OpenAPI"" ""Swagger"" ""Jira"" ",https://nofluffjobs.com/pl/job/senior-full-stack-java-angular-soft-industry-alliance-remote
